# Matter power spectrum P(k) at redshift z=2
# for k=1.21025e-05 to 1.05968 h/Mpc,
# number of wavenumbers equal to 112
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.210245747416e-05       4.067008425172e+00 
       1.523609125938e-05       5.080712054793e+00 
       1.918110246285e-05       6.347077571409e+00 
       2.414757731670e-05       7.929075915721e+00 
       3.039999871726e-05       9.905368262085e+00 
       3.827133090367e-05       1.237421155938e+01 
       4.818075101782e-05       1.545833236417e+01 
       6.065597181566e-05       1.931100527774e+01 
       7.636134429580e-05       2.412362623664e+01 
       9.613323681275e-05       3.013513356875e+01 
       1.210245747416e-04       3.764369868466e+01 
       1.523609125938e-04       4.702117615128e+01 
       1.918110246285e-04       5.873085293516e+01 
       2.414757731670e-04       7.334903326503e+01 
       3.039999871726e-04       9.159087101823e+01 
       3.827133090367e-04       1.143404968230e+02 
       4.818075101782e-04       1.426847003219e+02 
       6.065597181566e-04       1.779480112891e+02 
       7.636134429580e-04       2.217249196679e+02 
       9.613323681275e-04       2.759026666401e+02 
       1.210245747416e-03       3.426666193156e+02 
       1.523609125938e-03       4.244786402073e+02 
       1.918110246285e-03       5.240060876005e+02 
       2.414757731670e-03       6.439043335122e+02 
       3.039999871726e-03       7.865499504329e+02 
       3.827133090367e-03       9.534786664460e+02 
       4.818075101782e-03       1.144613209135e+03 
       6.065597181566e-03       1.357282068425e+03 
       7.636134429580e-03       1.584912483368e+03 
       9.613323681275e-03       1.815590539354e+03 
       1.210245747416e-02       2.030508325125e+03 
       1.523609125938e-02       2.203031434907e+03 
       1.918110246281e-02       2.299547454158e+03 
       2.414757709659e-02       2.285222552165e+03 
       3.039983681606e-02       2.139922115435e+03 
       3.824953962378e-02       1.882594724415e+03 
       4.747364008392e-02       1.600875629536e+03 
       5.519951454991e-02       1.423954763275e+03 
       6.081187342701e-02       1.327058474903e+03 
       6.544821605766e-02       1.260580271666e+03 
       6.959165791171e-02       1.206948991864e+03 
       7.345820205824e-02       1.158801498468e+03 
       7.716243886512e-02       1.112519213311e+03 
       8.077319037634e-02       1.066259710888e+03 
       8.433571910124e-02       1.019206548442e+03 
       8.788195566255e-02       9.712206476104e+02 
       9.143574190872e-02       9.226392130166e+02 
       9.501574768340e-02       8.741281343838e+02 
       9.863720067817e-02       8.265516293343e+02 
       1.023129663306e-01       7.808477068001e+02 
       1.060542507417e-01       7.379090976295e+02 
       1.098710742391e-01       6.984745035801e+02 
       1.137725996323e-01       6.630379878909e+02 
       1.177673651369e-01       6.317836078219e+02 
       1.218634528120e-01       6.045509657178e+02 
       1.260686121863e-01       5.808359782530e+02 
       1.303903519960e-01       5.598291914141e+02 
       1.348360087614e-01       5.404961780813e+02 
       1.394127982597e-01       5.217014378029e+02 
       1.441278542156e-01       5.023729635489e+02 
       1.489882573909e-01       4.816905310725e+02 
       1.540010574971e-01       4.592604259547e+02 
       1.591732898503e-01       4.352227277463e+02 
       1.645119883503e-01       4.102407116502e+02 
       1.700241961484e-01       3.853541609364e+02 
       1.757169752226e-01       3.617268839387e+02 
       1.802451333814e-01       3.449729994621e+02 
       1.815974159883e-01       3.403561871060e+02 
       1.876726480170e-01       3.218198626211e+02 
       1.939498528980e-01       3.061220264264e+02 
       2.004362802565e-01       2.926807959269e+02 
       2.071392679261e-01       2.804818764252e+02 
       2.140662672646e-01       2.683845907245e+02 
       2.212248745949e-01       2.555277546922e+02 
       2.286228697597e-01       2.415752705241e+02 
       2.362682627903e-01       2.268769460103e+02 
       2.441693497328e-01       2.123380238844e+02 
       2.523347787377e-01       1.989562654350e+02 
       2.607736276355e-01       1.873011270919e+02 
       2.694954943916e-01       1.772790999875e+02 
       2.785106020854e-01       1.683193730791e+02 
       2.878299204116e-01       1.597001288305e+02 
       2.974653061886e-01       1.508492337616e+02 
       3.074296660129e-01       1.416676782025e+02 
       3.177371450686e-01       1.325881981717e+02 
       3.284033472590e-01       1.241712413251e+02 
       3.394455933498e-01       1.166988977655e+02 
       3.508832258395e-01       1.100207619174e+02 
       3.627379719623e-01       1.036644902874e+02 
       3.750343798482e-01       9.731032700500e+01 
       3.878003477701e-01       9.102412655247e+01 
       4.010677731395e-01       8.506468668737e+01 
       4.148733572791e-01       7.962844738377e+01 
       4.292596152128e-01       7.460412726394e+01 
       4.442761586632e-01       6.977321802751e+01 
       4.599813480716e-01       6.504974691438e+01 
       4.764444505080e-01       6.056390323307e+01 
       4.937485025644e-01       5.637360850958e+01 
       5.119941737826e-01       5.240574342008e+01 
       5.313050793757e-01       4.858627839710e+01 
       5.518352410549e-01       4.492704895358e+01 
       5.737798154200e-01       4.144987062472e+01 
       5.973909414851e-01       3.812410270475e+01 
       6.230018828788e-01       3.490787163109e+01 
       6.510651409060e-01       3.181337323028e+01 
       6.822151769000e-01       2.881024167632e+01 
       7.173767977650e-01       2.587548383043e+01 
       7.579635462801e-01       2.298498107027e+01 
       8.062662198112e-01       2.010167050647e+01 
       8.662745655449e-01       1.718011506077e+01 
       9.455549134447e-01       1.415835686724e+01 
       1.059684463723e+00       1.097465519511e+01 
