# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=2.4
# for k=9.66158e-06 to 1.01628 h/Mpc,
# number of wavenumbers equal to 113
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_scf                  7:delta_phi_scf       8:delta_phi_over_phi_scf    9:delta_phi_prime_scf    10:d_tot                 11:phi                   12:psi                
       9.661578650525e-06      -5.085306001525e-04      -3.814672527231e-04      -3.814672608189e-04      -5.085280229329e-04      -3.885541873201e-04      -3.661430941143e-06      -2.900639276955e-03      -6.405381666094e-10      -3.815722711415e-04       5.926390963463e-01       5.921350570136e-01 
       1.216320688119e-05      -8.058804576003e-04      -6.045844145675e-04      -6.045844349026e-04      -8.058739844133e-04      -6.156775978139e-04      -5.802533219609e-06      -4.596862093030e-03      -1.014954877959e-09      -6.047507877917e-04       5.926385330108e-01       5.921345720950e-01 
       1.531257023164e-05      -1.277017883300e-03      -9.582006244934e-04      -9.582006755698e-04      -1.277001625363e-03      -9.754338289238e-04      -9.195255284197e-06      -7.284657440492e-03      -1.608018873582e-09      -9.584641331115e-04       5.926376401959e-01       5.921338035417e-01 
       1.927738378450e-05      -2.023393069096e-03      -1.518642887494e-03      -1.518643015779e-03      -2.023352238858e-03      -1.545080597317e-03      -1.457065458391e-05      -1.154321543323e-02      -2.547090521616e-09      -1.519060080579e-03       5.926362252875e-01       5.921325855275e-01 
       2.426878831922e-05      -3.205496186537e-03      -2.406879844145e-03      -2.406880166333e-03      -3.205393656877e-03      -2.446584644743e-03      -2.308573801670e-05      -1.828922391749e-02      -4.033233336379e-09      -2.407539945986e-03       5.926339830302e-01       5.921306552030e-01 
       3.055259432851e-05      -5.076940361348e-03      -3.814630073114e-03      -3.814630882216e-03      -5.076682942890e-03      -3.872042312279e-03      -3.657045098970e-05      -2.897262444989e-02      -6.383119521250e-09      -3.815673490731e-03       5.926304299447e-01       5.921275961943e-01 
       3.846343739641e-05      -8.037802803647e-03      -6.045737514768e-03      -6.045739546345e-03      -8.037156692624e-03      -6.122882776577e-03      -5.791499761902e-05      -4.588366129865e-02      -1.009365547480e-08      -6.047384259865e-03       5.926247999326e-01       5.921227484746e-01 
       4.842259876329e-05      -1.271747156989e-02      -9.581738436079e-03      -9.581743536012e-03      -1.271585058098e-02      -9.669282075495e-03      -9.167572849062e-05      -7.263341856289e-02      -1.593992246296e-08      -9.584330891584e-03       5.926158812696e-01       5.921150677384e-01 
       6.096044008822e-05      -2.010172214327e-02      -1.518575631849e-02      -1.518576911639e-02      -2.009765822750e-02      -1.523752033738e-02      -1.450120563805e-04      -1.148973865865e-01      -2.511917572411e-08      -1.518982132298e-02       5.926017561866e-01       5.921028998160e-01 
       7.674464714121e-05      -3.172360849529e-02      -2.406710965100e-02      -2.406714174795e-02      -3.171343147332e-02      -2.393138450530e-02      -2.291151940676e-04      -1.815506748167e-01      -3.945095196865e-08      -2.407344270122e-02       5.925793940374e-01       5.920836274701e-01 
       9.661578650525e-05      -4.994001647382e-02      -3.814206101073e-02      -3.814214143633e-02      -4.991457617045e-02      -3.738295828773e-02      -3.613387912302e-04      -2.863642737618e-01      -6.162558197321e-08      -3.815182453434e-02       5.925440142973e-01       5.920531145199e-01 
       1.216320688119e-04      -7.830632905106e-02      -6.044673469848e-02      -6.044693593194e-02      -7.824291340673e-02      -5.788941815802e-02      -5.682249593636e-04      -4.504227468231e-01      -9.542953663675e-08      -6.046152726959e-02       5.924880957711e-01       5.920048339180e-01 
       1.531257023164e-04      -1.220167766731e-01      -9.579069337291e-02      -9.579119573527e-02      -1.218594055521e-01      -8.838426388634e-02      -8.894696915074e-04      -7.053156626146e-01      -1.456975988941e-07      -9.581244922726e-02       5.923998564184e-01       5.919285123928e-01 
