# Matter power spectrum P(k) at redshift z=16
# for k=9.50123e-06 to 1.20496 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.501234399475e-06       3.195294894302e-01 
       1.196134542891e-05       3.991724315380e-01 
       1.505844171970e-05       4.986661584170e-01 
       1.895745494296e-05       6.229581565304e-01 
       2.386602177063e-05       7.782287314504e-01 
       3.004554128548e-05       9.721979462970e-01 
       3.782509543540e-05       1.214508728225e+00 
       4.761897384717e-05       1.517204798079e+00 
       5.994873625976e-05       1.895326404133e+00 
       7.547098748236e-05       2.367651934401e+00 
       9.501234399475e-05       2.957619210174e+00 
       1.196134542891e-04       3.694466213076e+00 
       1.505844171970e-04       4.614635996354e+00 
       1.895745494296e-04       5.763492090756e+00 
       2.386602177063e-04       7.197383518731e+00 
       3.004554128548e-04       8.986072051248e+00 
       3.782509543540e-04       1.121546848437e+01 
       4.761897384717e-04       1.399048292675e+01 
       5.994873625976e-04       1.743751647571e+01 
       7.547098748236e-04       2.170562096028e+01 
       9.501234399475e-04       2.696456020996e+01 
       1.196134542891e-03       3.339700678474e+01 
       1.505844171970e-03       4.118144204804e+01 
       1.895745494296e-03       5.044654466146e+01 
       2.386602177063e-03       6.126664042727e+01 
       3.004554128548e-03       7.361935127557e+01 
       3.782509543540e-03       8.728690109050e+01 
       4.761897384717e-03       1.017816180903e+02 
       5.994873625976e-03       1.162608512955e+02 
       7.547098748236e-03       1.295296457396e+02 
       9.501234399475e-03       1.398842599688e+02 
       1.196134542891e-02       1.453510826501e+02 
       1.505844171970e-02       1.437818516238e+02 
       1.895745493635e-02       1.334824880836e+02 
       2.386601072617e-02       1.142646443952e+02 
       3.004263807358e-02       8.896171399207e+01 
       3.765705252779e-02       6.438772977687e+01 
       4.523685051160e-02       4.943565272715e+01 
       5.069536772200e-02       4.334256199193e+01 
       5.498223548641e-02       4.028324845517e+01 
       5.871179741158e-02       3.833512309805e+01 
       6.213938324876e-02       3.681325357240e+01 
       6.539183619359e-02       3.537665030093e+01 
       6.854185387983e-02       3.384870212034e+01 
       7.163561193896e-02       3.216052482551e+01 
       7.470480701504e-02       3.030670006230e+01 
       7.777258190826e-02       2.831271502983e+01 
       8.085671924394e-02       2.622465052783e+01 
       8.397148890887e-02       2.410032546508e+01 
       8.712877840852e-02       2.200730088344e+01 
       9.033881662627e-02       2.002107220314e+01 
       9.361065485048e-02       1.821334690726e+01 
       9.695249648247e-02       1.664011039098e+01 
       1.003719288477e-01       1.533751491395e+01 
       1.038760895952e-01       1.431597138084e+01 
       1.074717881312e-01       1.355786775840e+01 
       1.111655953591e-01       1.302448682038e+01 
       1.149639105860e-01       1.265921524771e+01 
       1.188730116741e-01       1.238962904342e+01 
       1.228990927255e-01       1.213570698111e+01 
       1.270482924124e-01       1.182216247326e+01 
       1.313267152910e-01       1.139085436017e+01 
       1.357404479193e-01       1.081220355231e+01 
       1.402955712529e-01       1.009350238757e+01 
       1.423690205011e-01       9.739482278063e+00 
       1.449981705695e-01       9.280071349065e+00 
       1.498543440189e-01       8.443395039399e+00 
       1.548702108060e-01       7.661262688153e+00 
       1.600519199472e-01       6.998402267370e+00 
       1.654056605102e-01       6.492784186207e+00 
       1.709376742188e-01       6.148126705241e+00 
       1.766542712906e-01       5.932937117674e+00 
       1.825618503654e-01       5.790494708070e+00 
       1.886669233757e-01       5.644894750676e+00 
       1.949761462098e-01       5.429407720079e+00 
       2.014963560264e-01       5.115119446884e+00 
       2.082346161058e-01       4.721247776769e+00 
       2.151982691656e-01       4.302191970663e+00 
       2.223950001518e-01       3.920768277013e+00 
       2.298329096408e-01       3.622941787772e+00 
       2.375205991728e-01       3.419515491438e+00 
       2.454672701076e-01       3.281493217053e+00 
       2.536828379560e-01       3.156736950457e+00 
       2.621780646471e-01       2.999067910525e+00 
       2.709647118572e-01       2.793421990640e+00 
       2.800557194144e-01       2.564611130559e+00 
       2.894654139707e-01       2.356017918906e+00 
       2.992097546821e-01       2.194319284673e+00 
       3.093066247071e-01       2.075287753659e+00 
       3.197761800919e-01       1.970526390889e+00 
       3.306412713423e-01       1.851585670221e+00 
       3.419279580751e-01       1.715386272788e+00 
       3.536661441835e-01       1.581459893353e+00 
       3.658903708306e-01       1.469642304045e+00 
       3.786408186489e-01       1.377954856252e+00 
       3.919645908877e-01       1.290499866544e+00 
       4.059173792653e-01       1.197156945705e+00 
       4.205656593892e-01       1.104190799789e+00 
       4.359896318681e-01       1.021557754909e+00 
       4.522872340938e-01       9.485185203685e-01 
       4.695797232709e-01       8.760076957139e-01 
       4.880196228472e-01       8.035168801366e-01 
       5.078023245591e-01       7.371736883702e-01 
       5.291835277758e-01       6.747942290093e-01 
       5.525063464861e-01       6.131547639130e-01 
       5.782451165934e-01       5.544968113281e-01 
       6.070794963812e-01       4.979568243730e-01 
       6.400267269070e-01       4.424103028234e-01 
       6.786931256278e-01       3.878929309346e-01 
       7.257887086889e-01       3.333150632587e-01 
       7.862672944481e-01       2.777782850523e-01 
       8.700144792845e-01       2.201475673404e-01 
       9.977572535954e-01       1.601490389051e-01 
       1.204961476302e+00       1.026871405492e-01 
