# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0.307692
# for k=8.7061e-06 to 1.0995 h/Mpc,
# number of wavenumbers equal to 114
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_scf                  7:delta_phi_scf       8:delta_phi_over_phi_scf    9:delta_phi_prime_scf    10:d_tot                 11:phi                   12:psi                
       8.706100334382e-06      -1.137876878291e-03      -8.537860487849e-04      -8.537860690341e-04      -1.137861571159e-03      -6.802510494394e-04      -2.278111066574e-06      -6.500850677825e-04      -1.740347763706e-10      -8.538876207511e-04       4.859704538982e-01       4.857886494494e-01 
       1.096033094858e-05      -1.802944261713e-03      -1.353158554117e-03      -1.353158604978e-03      -1.802905819240e-03      -1.077400568454e-03      -3.609906114575e-06      -1.029759282322e-03      -2.756411451380e-10      -1.353319377856e-03       4.859699065043e-01       4.857881708060e-01 
       1.379823915284e-05      -2.856296237579e-03      -2.144608911226e-03      -2.144609038970e-03      -2.856199703528e-03      -1.705744540871e-03      -5.719668897202e-06      -1.630662019142e-03      -4.363961159706e-10      -2.144863405489e-03       4.859690390331e-01       4.857874122570e-01 
       1.737095390753e-05      -4.523967302143e-03      -3.398968856527e-03      -3.398969177356e-03      -4.523724935278e-03      -2.698854344466e-03      -9.060923919252e-06      -2.580919466609e-03      -6.904725201130e-10      -3.399371213122e-03       4.859676644071e-01       4.857862101606e-01 
       2.186873530129e-05      -7.162582749598e-03      -5.386984500011e-03      -5.386985305703e-03      -7.161974411940e-03      -4.265929908804e-03      -1.435020162451e-05      -4.081683633071e-03      -1.091392016110e-09      -5.387619708454e-03       4.859654863339e-01       4.857843052760e-01 
       2.753110659460e-05      -1.133330799213e-02      -8.537749599539e-03      -8.537751622571e-03      -1.133178174818e-02      -6.732281176179e-03      -2.271744457845e-05      -6.446963799382e-03      -1.722381966999e-09      -8.538750106257e-03       4.859620357308e-01       4.857812870145e-01 
       3.465960970676e-05      -1.791540176756e-02      -1.353130705274e-02      -1.353131213129e-02      -1.791157529494e-02      -1.059797784352e-02      -3.593924931040e-05      -1.016250071256e-02      -2.711380678449e-09      -1.353287713067e-02       4.859565703779e-01       4.857765052891e-01 
       4.363386342270e-05      -2.827710672511e-02      -2.144538978950e-02      -2.144540253402e-02      -2.826752397457e-02      -1.661622650084e-02      -5.679573651512e-05      -1.596804827496e-02      -4.251090223999e-09      -2.144783909211e-02       4.859479173294e-01       4.857689317377e-01 
       5.493177947760e-05      -4.452402578296e-02      -3.398793277369e-02      -3.398796473786e-02      -4.450006970151e-02      -2.588409648429e-02      -8.960406321729e-05      -2.496183481381e-02      -6.622189827162e-09      -3.399171694531e-02       4.859342254266e-01       4.857569407663e-01 
       6.915501309942e-05      -6.983767269593e-02      -5.386543793190e-02      -5.386551802916e-02      -6.977795178145e-02      -3.990073411587e-02      -1.409853008979e-04      -3.870089476603e-02      -1.020823478807e-08      -5.387119202430e-02       4.859125808505e-01       4.857379671320e-01 
       8.706100334382e-05      -1.088788637378e-01      -8.536643895573e-02      -8.536663938523e-02      -1.087306429268e-01      -6.045648963611e-02      -2.208843791518e-04      -5.920454531789e-02      -1.546730422373e-08      -8.537495513210e-02       4.858784152837e-01       4.857079729112e-01 
       1.096033094858e-04      -1.681128118271e-01      -1.352853480755e-01      -1.352858485018e-01      -1.677475281665e-01      -8.898039099947e-02      -3.437183073350e-04      -8.859647651962e-02      -2.276509209105e-08      -1.352973608513e-01       4.858246114081e-01       4.856606273322e-01 
       1.379823915284e-04      -2.556124820598e-01      -2.143844659971e-01      -2.143857110657e-01      -2.547222905178e-01      -1.244427242986e-01      -5.290817062947e-04      -1.277294757969e-01      -3.183838343825e-08      -2.143998980564e-01       4.857401898631e-01       4.855860670519e-01 
       1.737095390753e-04      -3.792470630017e-01      -3.397057246962e-01      -3.397088053351e-01      -3.771160672055e-01      -1.578651597395e-01      -8.003392878110e-04      -1.723722175146e-01      -4.039071022423e-08      -3.397215903083e-01       4.856084740812e-01       4.854690764286e-01 
       2.186873530129e-04      -5.410721655051e-01      -5.382214446994e-01      -5.382290009420e-01      -5.361143203674e-01      -1.600258677288e-01      -1.177054192439e-03      -2.044946300708e-01      -4.094722709829e-08      -5.382267615630e-01       4.854047352067e-01       4.852865444906e-01 
       2.753110659460e-04      -7.249734890640e-01      -8.525890490594e-01      -8.526073322819e-01      -7.139552126748e-01      -5.928791022948e-02      -1.653261172625e-03      -1.765997763352e-01      -1.518306430702e-08      -8.525540284047e-01       4.850936178038e-01       4.850042028691e-01 
       3.465960970676e-04      -8.782940654592e-01      -1.350198616452e+00      -1.350241928996e+00      -8.555561809361e-01       2.808470438795e-01      -2.151290074738e-03       3.294296936729e-03       7.181848715479e-08      -1.350055739583e+00       4.846271786629e-01       4.845730638248e-01 
       4.363386342270e-04      -9.073659596070e-01      -2.137348049874e+00      -2.137447386640e+00      -8.658106375438e-01       1.019540534791e+00      -2.457981970526e-03       4.387831945736e-01       2.607713495841e-07      -2.136969897021e+00       4.839446695127e-01       4.839267054540e-01 
       5.493177947760e-04      -7.466879345799e-01      -3.381356015003e+00      -3.381573074970e+00      -6.847306328289e-01       2.044076683990e+00      -2.238534057139e-03       1.040069622219e+00       5.228437772109e-07      -3.380555343386e+00       4.829732813325e-01       4.829808905987e-01 
