# Matter power spectrum P(k) at redshift z=2
# for k=1.17223e-05 to 1.02464 h/Mpc,
# number of wavenumbers equal to 112
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.172234799244e-05       5.345817214317e+00 
       1.475756177357e-05       6.678264296217e+00 
       1.857866953287e-05       8.342818699745e+00 
       2.338915919226e-05       1.042225136701e+01 
       2.944520686763e-05       1.301995677981e+01 
       3.706931918120e-05       1.626508629380e+01 
       4.666750791512e-05       2.031895399474e+01 
       5.875091161945e-05       2.538302543973e+01 
       7.396301560380e-05       3.170887036007e+01 
       9.311391987656e-05       3.961054229729e+01 
       1.172234799244e-04       4.947993785166e+01 
       1.475756177357e-04       6.180577580943e+01 
       1.857866953287e-04       7.719689873332e+01 
       2.338915919226e-04       9.641058890657e+01 
       2.944520686763e-04       1.203864144753e+02 
       3.706931918120e-04       1.502856202762e+02 
       4.666750791512e-04       1.875350043834e+02 
       5.875091161945e-04       2.338722949136e+02 
       7.396301560380e-04       2.913871755659e+02 
       9.311391987656e-04       3.625489145804e+02 
       1.172234799244e-03       4.502093302612e+02 
       1.475756177357e-03       5.575666407991e+02 
       1.857866953287e-03       6.880495184214e+02 
       2.338915919226e-03       8.450526039337e+02 
       2.944520686763e-03       1.031460053600e+03 
       3.706931918120e-03       1.248918392905e+03 
       4.666750791512e-03       1.496803788143e+03 
       5.875091161945e-03       1.770883639885e+03 
       7.396301560380e-03       2.061647067370e+03 
       9.311391987656e-03       2.352579522761e+03 
       1.172234799244e-02       2.618526162730e+03 
       1.475756177357e-02       2.824914811831e+03 
       1.857866953283e-02       2.929551928038e+03 
       2.338915894979e-02       2.890542545593e+03 
       2.944503430083e-02       2.685798729283e+03 
       3.704670696978e-02       2.345197231107e+03 
       4.595138691940e-02       1.985786196809e+03 
       5.335817157696e-02       1.767739198857e+03 
       5.874871134465e-02       1.650257396264e+03 
       6.321011652346e-02       1.570932618919e+03 
       6.720115295359e-02       1.507812922833e+03 
       7.092761520840e-02       1.451515835765e+03 
       7.449895809505e-02       1.397300077965e+03 
       7.798103994652e-02       1.342653995821e+03 
       8.141723397542e-02       1.286402798913e+03 
       8.483817154338e-02       1.228286602172e+03 
       8.826674509213e-02       1.168702820144e+03 
       9.172089480237e-02       1.108511850910e+03 
       9.521526293169e-02       1.048869427616e+03 
       9.876222740501e-02       9.910683979004e+02 
       1.023725750361e-01       9.363817663790e+02 
       1.060559553323e-01       8.859134360450e+02 
       1.098211951969e-01       8.404676463472e+02 
       1.136765223182e-01       8.004513226155e+02 
       1.176297267602e-01       7.658131478999e+02 
       1.216882795897e-01       7.360241885766e+02 
       1.258594209183e-01       7.101093599769e+02 
       1.301502257238e-01       6.867351700836e+02 
       1.345676532563e-01       6.643588281137e+02 
       1.391185841755e-01       6.414410487057e+02 
       1.438098484736e-01       6.167083349002e+02 
       1.486482465102e-01       5.894190607090e+02 
       1.536405650036e-01       5.595567892663e+02 
       1.587935895025e-01       5.278700187019e+02 
       1.641141146479e-01       4.957176216577e+02 
       1.686625063248e-01       4.698569238922e+02 
       1.696089534021e-01       4.647470215991e+02 
       1.752849463297e-01       4.364881840503e+02 
       1.811489719654e-01       4.119676964817e+02 
       1.872079592666e-01       3.914372891839e+02 
       1.934689031280e-01       3.742898522511e+02 
       1.999388839203e-01       3.592092739516e+02 
       2.066250920074e-01       3.445536657341e+02 
       2.135348581892e-01       3.289586900201e+02 
       2.206756910235e-01       3.116419419138e+02 
       2.280553219930e-01       2.928568770721e+02 
       2.356817595235e-01       2.738051811139e+02 
       2.435633529238e-01       2.560064709479e+02 
       2.517088674271e-01       2.405062285364e+02 
       2.601275716830e-01       2.274409950833e+02 
       2.688293392898e-01       2.161487816032e+02 
       2.778247663052e-01       2.055334723975e+02 
       2.871253071387e-01       1.945659120088e+02 
       2.967434318671e-01       1.828979609573e+02 
       3.066928088604e-01       1.710512576842e+02 
       3.169885177206e-01       1.599147570311e+02 
       3.276472990208e-01       1.501123781929e+02 
       3.386878492876e-01       1.415757930095e+02 
       3.501311722859e-01       1.336065195477e+02 
       3.620010011687e-01       1.255939393535e+02 
       3.743243108149e-01       1.174826424608e+02 
       3.871319462108e-01       1.096776154009e+02 
       4.004594018160e-01       1.025935997329e+02 
       4.143477996847e-01       9.616424494588e+01 
       4.288451325055e-01       9.002955411275e+01 
       4.440078645622e-01       8.395689929755e+01 
       4.599030234929e-01       7.812183308861e+01 
       4.766109762159e-01       7.269643929399e+01 
       4.942291761703e-01       6.761003784365e+01 
       5.128773180631e-01       6.270367217777e+01 
       5.327045796763e-01       5.796660801063e+01 
       5.539000399235e-01       5.347429073692e+01 
       5.767080757315e-01       4.919667001772e+01 
       6.014518313615e-01       4.504423956758e+01 
       6.285702942175e-01       4.104749642925e+01 
       6.586793584110e-01       3.717483185942e+01 
       6.926774420975e-01       3.338371161131e+01 
       7.319390230036e-01       2.965208845569e+01 
       7.786941340407e-01       2.592751297333e+01 
       8.368321031951e-01       2.215145882196e+01 
       9.137403670789e-01       1.824293987715e+01 
       1.024644533662e+00       1.412404685864e+01 
