# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0.0851064
# for k=1.13288e-05 to 1.03285 h/Mpc,
# number of wavenumbers equal to 112
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_scf                  7:delta_phi_scf       8:delta_phi_over_phi_scf    9:delta_phi_prime_scf    10:d_tot                 11:phi                   12:psi                
       1.132881154049e-05      -1.269185066029e-03      -9.523556964632e-04      -9.523557259116e-04      -1.269170671415e-03      -3.080264561484e-03      -8.247981805308e-07       6.334646415043e-04      -4.707871068934e-09      -9.524622756046e-04       5.089166284002e-01       5.087664264270e-01 
       1.426212873375e-05      -2.010944255662e-03      -1.509380826910e-03      -1.509380900877e-03      -2.010908106490e-03      -4.880644760561e-03      -1.307086255287e-06       1.003870476391e-03      -7.460089182915e-09      -1.509549593305e-03       5.089160957553e-01       5.087659562887e-01 
       1.795495628920e-05      -3.185679197469e-03      -2.392204299840e-03      -2.392204485624e-03      -3.185588428547e-03      -7.732172800573e-03      -2.071263688709e-06       1.590767994147e-03      -1.181996992571e-08      -2.392471399508e-03       5.089152516579e-01       5.087652112174e-01 
       2.260395074013e-05      -5.045314342359e-03      -3.791380529616e-03      -3.791380996230e-03      -5.045086475210e-03      -1.224681482828e-02      -3.281907015864e-06       2.520545758424e-03      -1.872466565295e-08      -3.791802907541e-03       5.089139140741e-01       5.087640304787e-01 
       2.845668799369e-05      -7.987131616697e-03      -6.008913650706e-03      -6.008914822569e-03      -7.986559773692e-03      -1.939017905805e-02      -5.199400276296e-06       3.993158917700e-03      -2.965469031273e-08      -6.009580699301e-03       5.089117947025e-01       5.087621594362e-01 
       3.582484765076e-05      -1.263579145906e-02      -9.523437263792e-03      -9.523440206511e-03      -1.263435717562e-02      -3.068189310879e-02      -8.235290512106e-06       6.324619336840e-03      -4.694453843824e-08      -9.524488507039e-03       5.089084371185e-01       5.087591947915e-01 
       4.510081108120e-05      -1.996883478559e-02      -1.509350765142e-02      -1.509351503973e-02      -1.996524045933e-02      -4.850346423650e-02      -1.303898810900e-05       1.001352285488e-02      -7.426415854791e-08      -1.509515883068e-02       5.089031192026e-01       5.087544980479e-01 
       5.677855716264e-05      -3.150442194977e-02      -2.392128810855e-02      -2.392130665343e-02      -3.149542688584e-02      -7.656199324366e-02      -2.063259066109e-05       1.584444583930e-02      -1.173550261131e-07      -2.392386769284e-02       5.088946996387e-01       5.087470589820e-01 
       7.147996845706e-05      -4.957128682539e-02      -3.791191000412e-02      -3.791195653211e-02      -4.954882495900e-02      -1.205650381478e-01      -3.261807506192e-05       2.504669813365e-02      -1.851295399692e-07      -3.791590509041e-02       5.088813774861e-01       5.087352808251e-01 
       8.998794872484e-05      -7.766909255141e-02      -6.008437934478e-02      -6.008449600078e-02      -7.761319574501e-02      -1.891422879911e-01      -5.148943483836e-05       3.953312855847e-02      -2.912473131654e-07      -6.009047904203e-02       5.088603181775e-01       5.087166436671e-01 
       1.132881154049e-04      -1.208771217679e-01      -9.522243745817e-02      -9.522272962373e-02      -1.207387829669e-01      -2.949463236363e-01      -8.108673832207e-05       6.224661288283e-02      -4.562062023919e-07      -9.523153059367e-02       5.088270782728e-01       5.086871807036e-01 
       1.426212873375e-04      -1.861214462129e-01      -1.509051532342e-01      -1.509058837116e-01      -1.857820501179e-01      -4.555384531142e-01      -1.272145190202e-04       9.762968071411e-02      -7.096739413983e-07      -1.509181567324e-01       5.087747363233e-01       5.086406719755e-01 
       1.795495628920e-04      -2.817468126354e-01      -2.391379405654e-01      -2.391397619854e-01      -2.809256736383e-01      -6.928106395457e-01      -1.983709034167e-04       1.521723707544e-01      -1.091871654723e-06      -2.391551455427e-01       5.086926177396e-01       5.085674250072e-01 
       2.260395074013e-04      -4.150847876969e-01      -3.789317363810e-01      -3.789362587359e-01      -4.131419742599e-01      -1.027754412551e+00      -3.062882052110e-04       2.348014971632e-01      -1.650557143382e-06      -3.789509616171e-01       5.085645122602e-01       5.084524825012e-01 
       2.845668799369e-04      -5.855542923495e-01      -6.003765875563e-01      -6.003877412898e-01      -5.811201176369e-01      -1.463766951748e+00      -4.653145743530e-04       3.563571277982e-01      -2.425385535251e-06      -6.003887503726e-01       5.083663799153e-01       5.082731104493e-01 
       3.582484765076e-04      -7.704879228414e-01      -9.510640588705e-01      -9.510912833084e-01      -7.609444857732e-01      -1.947569810360e+00      -6.880565787571e-04       5.261800543147e-01      -3.403827371295e-06      -9.510441509104e-01       5.080638057036e-01       5.079955532241e-01 
       4.510081108120e-04      -9.067984929015e-01      -1.506187286789e+00      -1.506252679455e+00      -8.881688472187e-01      -2.302444061135e+00      -9.715317832749e-04       7.414817910948e-01      -4.429411976214e-06      -1.506080203630e+00       5.076098814634e-01       5.075714068593e-01 
       5.677855716265e-04      -8.962172780802e-01      -2.384371089039e+00      -2.384524379899e+00      -8.654920163023e-01      -2.181068475411e+00      -1.264814824308e-03       9.629180486727e-01      -5.078916729270e-06      -2.384081010966e+00       5.069442334514e-01       5.069345705437e-01 
       7.147996845706e-04      -7.011420574177e-01      -3.772377409845e+00      -3.772724005226e+00      -6.642058410801e-01      -1.250307479993e+00      -1.420244730372e-03       1.078616113126e+00      -4.692538412191e-06      -3.771790472092e+00       5.059916476790e-01       5.059997865522e-01 
       8.998794872484e-04      -5.165360883568e-01      -5.963458154685e+00      -5.964202475739e+00      -4.958930685016e-01       3.466338479300e-02      -1.211398742644e-03       9.197250735705e-01      -3.071991635557e-06      -5.962522213223e+00       5.046523056960e-01       5.046605819421e-01 
       1.132881154049e-03      -5.678679923304e-01      -9.416461086169e+00      -9.417952308017e+00      -5.771253106231e-01      -2.139851843324e-01      -6.941191186431e-04       5.308030808793e-01      -1.952748621671e-06      -9.415195933721e+00       5.027749382663e-01       5.027759762517e-01 
       1.426212873375e-03      -4.811029527351e-01      -1.484589234600e+01      -1.484863338058e+01      -4.793124012419e-01      -1.798627190021e+00      -8.030987896575e-04       6.068910343115e-01      -3.577086803171e-06      -1.484413268902e+01       5.001377174458e-01       5.001395401184e-01 
       1.795495628920e-03      -4.174160385410e-01      -2.335696554190e+01      -2.336155995753e+01      -3.988331315606e-01       6.237676490827e-01      -1.496499270864e-03       1.120394358598e+00      -3.318414682133e-06      -2.335431687260e+01       4.964722027297e-01       4.964731026474e-01 
       2.260395074013e-03      -3.073949136643e-01      -3.664380119194e+01      -3.665103209368e+01      -3.091294221188e-01      -1.019592217020e+00      -5.569557570009e-04       4.318491503002e-01      -2.265469328854e-06      -3.663958892029e+01       4.914444096361e-01       4.914453922412e-01 
       2.845668799369e-03      -3.268623505328e-01      -5.727392692488e+01      -5.728558593832e+01      -3.076537125298e-01       2.389936657522e+00      -1.438537113163e-03       1.070225212143e+00      -1.667076893108e-06      -5.726757540509e+01       4.846520898049e-01       4.846523702577e-01 
       3.582484765076e-03      -2.777620480287e-01      -8.908135190063e+01      -8.910175373343e+01      -2.598635659773e-01       5.845582666160e-01      -1.242746113490e-03       9.204497616331e-01      -2.729137233777e-06      -8.907341601528e+01       4.756284269520e-01       4.756286491636e-01 
       4.510081108120e-03      -1.665297074861e-01      -1.376890747527e+02      -1.377254277565e+02      -3.736101294728e-01      -1.772999056107e+00      -9.003625365431e-04       6.919827232741e-01      -3.866704437975e-06      -1.376809852450e+02       4.638661239715e-01       4.638663566234e-01 
       5.677855716265e-03      -6.614647996515e-02      -2.111464420157e+02      -2.112135115112e+02      -6.503962193007e-02       4.455404654728e+00      -1.541535589191e-03       1.113447446635e+00      -4.175328113406e-07      -2.111437760466e+02       4.488449356438e-01       4.488449387689e-01 
       7.147996845706e-03      -6.244943085486e-02      -3.206277643254e+02      -3.207580311873e+02      -5.884475876638e-02       2.390008276781e+00      -1.482962320265e-03       1.144511027853e+00      -3.577288025539e-06      -3.206485511391e+02       4.300777265132e-01       4.300777265095e-01 
       8.998794872484e-03      -5.912366811313e-02      -4.810278347657e+02      -4.812921322913e+02      -5.571245397969e-02       2.811025196760e+00      -1.060454454602e-03       7.717905565305e-01      -1.277152214217e-06      -4.811191267365e+02       4.071646378838e-01       4.071646378838e-01 
       1.132881154049e-02      -5.515714176335e-02      -7.110787086748e+02      -7.116342611680e+02      -5.197483255358e-02       7.911386594364e-01      -9.059458023769e-04       6.883523208366e-01      -1.879524278023e-06      -7.113575742890e+02       3.798439777046e-01       3.798439777046e-01 
