# Matter power spectrum P(k) at redshift z=0.186047
# for k=1.04503e-05 to 1.06984 h/Mpc,
# number of wavenumbers equal to 113
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045027166727e-05       3.034142597089e+01 
       1.315611256208e-05       3.790402442550e+01 
       1.656256442483e-05       4.735155768691e+01 
       2.085103323890e-05       5.915379356638e+01 
       2.624989560661e-05       7.389753584148e+01 
       3.304666063611e-05       9.231574230537e+01 
       4.160328084973e-05       1.153238483233e+02 
       5.237542747574e-05       1.440650410889e+02 
       6.593675660279e-05       1.799666149968e+02 
       8.300945845854e-05       2.248099733941e+02 
       1.045027166727e-04       2.808172928151e+02 
       1.315611256208e-04       3.507582554125e+02 
       1.656256442483e-04       4.380804182123e+02 
       2.085103323890e-04       5.470664126590e+02 
       2.624989560661e-04       6.830197330097e+02 
       3.304666063611e-04       8.524776528438e+02 
       4.160328084973e-04       1.063444155802e+03 
       5.237542747574e-04       1.325627875471e+03 
       6.593675660279e-04       1.650661412099e+03 
       8.300945845854e-04       2.052266947878e+03 
       1.045027166727e-03       2.546295849346e+03 
       1.315611256208e-03       3.150469049063e+03 
       1.656256442483e-03       3.883434961274e+03 
       2.085103323890e-03       4.763438058179e+03 
       2.624989560661e-03       5.805576251872e+03 
       3.304666063611e-03       7.017651079343e+03 
       4.160328084973e-03       8.394618290702e+03 
       5.237542747574e-03       9.910810976571e+03 
       6.593675660279e-03       1.151059760491e+04 
       8.300945845854e-03       1.309725141384e+04 
       1.045027166727e-02       1.452177817453e+04 
       1.315611256208e-02       1.557602219395e+04 
       1.656256442479e-02       1.600114966442e+04 
       2.085103301056e-02       1.553996741876e+04 
       2.624973536770e-02       1.407556160381e+04 
       3.302590252296e-02       1.184965209478e+04 
       4.095268240075e-02       9.661610794220e+03 
       4.752672117127e-02       8.436565653660e+03 
       5.231510271514e-02       7.828706755063e+03 
       5.628127412241e-02       7.444090737272e+03 
       5.983077505699e-02       7.149232763481e+03 
       6.314578081033e-02       6.887903134193e+03 
       6.632328969127e-02       6.631850812118e+03 
       6.942171063690e-02       6.366251844913e+03 
       7.247953346244e-02       6.084347724270e+03 
       7.552395344778e-02       5.785011063965e+03 
       7.857530292311e-02       5.471310577552e+03 
       8.164952100965e-02       5.149383598662e+03 
       8.475962043879e-02       4.827361799390e+03 
       8.791660430108e-02       4.514283750481e+03 
       9.113006333267e-02       4.219019651717e+03 
       9.440857862784e-02       3.949280240757e+03 
       9.776000096419e-02       3.710789640011e+03 
       1.011916491106e-01       3.506684254032e+03 
       1.047104532935e-01       3.337162786309e+03 
       1.083230605280e-01       3.199384841617e+03 
       1.120359127981e-01       3.087612699952e+03 
       1.158553055073e-01       2.993630718548e+03 
       1.197874313525e-01       2.907528430162e+03 
       1.238384133040e-01       2.818941236364e+03 
       1.280143294020e-01       2.718732689048e+03 
       1.323212314367e-01       2.600863113002e+03 
       1.367651591522e-01       2.463920546602e+03 
       1.413521513257e-01       2.311698338609e+03 
       1.460882548904e-01       2.152436685186e+03 
       1.509795331445e-01       1.996827990652e+03 
       1.560320740154e-01       1.855341507118e+03 
       1.573069057732e-01       1.823510395627e+03 
       1.612519992970e-01       1.735611138087e+03 
       1.666454757488e-01       1.640535994405e+03 
       1.722187289266e-01       1.567518645880e+03 
       1.779780606013e-01       1.509064633997e+03 
       1.839298706140e-01       1.454936716609e+03 
       1.900806840113e-01       1.395480481578e+03 
       1.964371843084e-01       1.323566517322e+03 
       2.030062537413e-01       1.239449662190e+03 
       2.097950214024e-01       1.150030417021e+03 
       2.168109202132e-01       1.065086146633e+03 
       2.240617537856e-01       9.923002037544e+02 
       2.315557743726e-01       9.344039503017e+02 
       2.393017733266e-01       8.887297284076e+02 
       2.473091857906e-01       8.483461386345e+02 
       2.555882117674e-01       8.055734297928e+02 
       2.641499562765e-01       7.567494031765e+02 
       2.730065920644e-01       7.040436258082e+02 
       2.821715493311e-01       6.533173493091e+02 
       2.916597382546e-01       6.099373199398e+02 
       3.014878118450e-01       5.745617278904e+02 
       3.116744789876e-01       5.431993638046e+02 
       3.222408806643e-01       5.112981456084e+02 
       3.332110465859e-01       4.771963905081e+02 
       3.446124552960e-01       4.433134327749e+02 
       3.564767289141e-01       4.129300986340e+02 
       3.688405051326e-01       3.866444066388e+02 
       3.817465454979e-01       3.621376481728e+02 
       3.952451629560e-01       3.373168502023e+02 
       4.093960872449e-01       3.128253473731e+02 
       4.242709407149e-01       2.902519309331e+02 
       4.399565809044e-01       2.696367634137e+02 
       4.565596993125e-01       2.498568882675e+02 
       4.742132832090e-01       2.304079575858e+02 
       4.930859133489e-01       2.120256674865e+02 
       5.133955080686e-01       1.948147409303e+02 
       5.354302784976e-01       1.780177655668e+02 
       5.595818422593e-01       1.618536755346e+02 
       5.863997799378e-01       1.463159285472e+02 
       6.166860351719e-01       1.310807954335e+02 
       6.516679767862e-01       1.161660450556e+02 
       6.933379346533e-01       1.012991136670e+02 
       7.451727403479e-01       8.628786320552e+01 
       8.137807491220e-01       7.081035549909e+01 
       9.127881706672e-01       5.456881393191e+01 
       1.069844877222e+00       3.787685860619e+01 
