# Matter power spectrum P(k) at redshift z=0.821429
# for k=1.13577e-05 to 1.16558 h/Mpc,
# number of wavenumbers equal to 113
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.135772854613e-05       1.846740233671e+01 
       1.429853308698e-05       2.307040519924e+01 
       1.800078665458e-05       2.882068438586e+01 
       2.266164775173e-05       3.600417061973e+01 
       2.852932422778e-05       4.497803397775e+01 
       3.591629125167e-05       5.618841163468e+01 
       4.521593175413e-05       7.019252604001e+01 
       5.692348550322e-05       8.768626070246e+01 
       7.166242242791e-05       1.095384987776e+02 
       9.021764466522e-05       1.368338042144e+02 
       1.135772854613e-04       1.709253146650e+02 
       1.429853308698e-04       2.134999824387e+02 
       1.800078665458e-04       2.666584498034e+02 
       2.266164775173e-04       3.330116952953e+02 
       2.852932422778e-04       4.157958084283e+02 
       3.591629125167e-04       5.190043148241e+02 
       4.521593175413e-04       6.475337105790e+02 
       5.692348550322e-04       8.073318017490e+02 
       7.166242242791e-04       1.005530526393e+03 
       9.021764466522e-04       1.250536046620e+03 
       1.135772854613e-03       1.552032854756e+03 
       1.429853308698e-03       1.920807589394e+03 
       1.800078665458e-03       2.368158145174e+03 
       2.266164775173e-03       2.904878501766e+03 
       2.852932422778e-03       3.539360091135e+03 
       3.591629125167e-03       4.274685831204e+03 
       4.521593175413e-03       5.104880303541e+03 
       5.692348550322e-03       6.010034189253e+03 
       7.166242242791e-03       6.950369061044e+03 
       9.021764466522e-03       7.860658809433e+03 
       1.135772854613e-02       8.650199997377e+03 
       1.429853308698e-02       9.210299621744e+03 
       1.800078665455e-02       9.422043072125e+03 
       2.266164758373e-02       9.171947795552e+03 
       2.852919395707e-02       8.405990239291e+03 
       3.589798683799e-02       7.240155094379e+03 
       4.459849071153e-02       6.051588528036e+03 
       5.196816378089e-02       5.340402727758e+03 
       5.730684434525e-02       4.973568249481e+03 
       6.170382196296e-02       4.734414029714e+03 
       6.562708551463e-02       4.548037578015e+03 
       6.928477697008e-02       4.383084409981e+03 
       7.278686246950e-02       4.223821880308e+03 
       7.619919250246e-02       4.061890341238e+03 
       7.956497940723e-02       3.893268384653e+03 
       8.291465400994e-02       3.716911545969e+03 
       8.627090536897e-02       3.533980291172e+03 
       8.965147875833e-02       3.347265286815e+03 
       9.307083241954e-02       3.160659376794e+03 
       9.654117048734e-02       2.978627181314e+03 
       1.000731146191e-01       2.805670441202e+03 
       1.036761560819e-01       2.645815648817e+03 
       1.073589688948e-01       2.502159773193e+03 
       1.111296318968e-01       2.376510366529e+03 
       1.149957892590e-01       2.269147212310e+03 
       1.189647682499e-01       2.178721739698e+03 
       1.230436666026e-01       2.102305679145e+03 
       1.272394178138e-01       2.035610420180e+03 
       1.315588401525e-01       1.973413367473e+03 
       1.360086734976e-01       1.910226238951e+03 
       1.405956070353e-01       1.841189083750e+03 
       1.453263001191e-01       1.763058701595e+03 
       1.502073981183e-01       1.675028283779e+03 
       1.552455447572e-01       1.579061149387e+03 
       1.604473922354e-01       1.479530892871e+03 
       1.609269391696e-01       1.470532605211e+03 
       1.658196102863e-01       1.382200859160e+03 
       1.713688952403e-01       1.292808201873e+03 
       1.771019801057e-01       1.215623099797e+03 
       1.830256466479e-01       1.152334633060e+03 
       1.891467404229e-01       1.101544996646e+03 
       1.954721897081e-01       1.059065715552e+03 
       2.020090292661e-01       1.019070199162e+03 
       2.087644298672e-01       9.762026256294e+02 
       2.157457345049e-01       9.267705091017e+02 
       2.229605022498e-01       8.706942893603e+02 
       2.304165607231e-01       8.118223154425e+02 
       2.381220682350e-01       7.558661622539e+02 
       2.460855867381e-01       7.074183795566e+02 
       2.543161669052e-01       6.679083515692e+02 
       2.628234468789e-01       6.354650818439e+02 
       2.716177665690e-01       6.060167135614e+02 
       2.807102998295e-01       5.752369121138e+02 
       2.901132074596e-01       5.410931714822e+02 
       2.998398147914e-01       5.050433463238e+02 
       3.099048187069e-01       4.705738921723e+02 
       3.203245303597e-01       4.406608731934e+02 
       3.311171617696e-01       4.156684457108e+02 
       3.423031669839e-01       3.931016218367e+02 
       3.539056518845e-01       3.701435521360e+02 
       3.659508713163e-01       3.460438401135e+02 
       3.784688385120e-01       3.223306915313e+02 
       3.914940805530e-01       3.010137787522e+02 
       4.050665859636e-01       2.822543422483e+02 
       4.192330082505e-01       2.645952391552e+02 
       4.340482150125e-01       2.467648040237e+02 
       4.495773105837e-01       2.292911871839e+02 
       4.658983182491e-01       2.131885789864e+02 
       4.831057980453e-01       1.983749212006e+02 
       5.013158189524e-01       1.840257700808e+02 
       5.206729371629e-01       1.700056568538e+02 
       5.413602235183e-01       1.567625649919e+02 
       5.636140637298e-01       1.442609586025e+02 
       5.877466842896e-01       1.320588858044e+02 
       6.141816757891e-01       1.203079730789e+02 
       6.435123800104e-01       1.089783172205e+02 
       6.766026350046e-01       9.785932798662e+01 
       7.147708590103e-01       8.694628758598e+01 
       7.601498209438e-01       7.605447523696e+01 
       8.164458334871e-01       6.503226041163e+01 
       8.906702025142e-01       5.364139476077e+01 
       9.972315551558e-01       4.165341444481e+01 
       1.165583384145e+00       2.922983963401e+01 
