# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0.133333
# for k=9.79861e-06 to 1.23612 h/Mpc,
# number of wavenumbers equal to 114
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_scf                  7:delta_phi_scf       8:delta_phi_over_phi_scf    9:delta_phi_prime_scf    10:d_tot                 11:phi                   12:psi                
       9.798614485329e-06      -1.223556713165e-03      -9.181084360841e-04      -9.181084596218e-04      -1.223540554572e-03      -8.479126216745e-04       2.581271558820e-07       7.763683208537e-04       2.373222877941e-10      -9.181950306164e-04       4.832780493012e-01       4.831346162185e-01 
       1.233572477595e-05      -1.938660566593e-03      -1.455102774117e-03      -1.455102833238e-03      -1.938619986869e-03      -1.343308167761e-03       4.090543618943e-07       1.230311640929e-03       3.760464376490e-10      -1.455239879075e-03       4.832775910234e-01       4.831342165422e-01 
       1.552975739335e-05      -3.071198558097e-03      -2.306179878403e-03      -2.306180026895e-03      -3.071096661572e-03      -2.127636975246e-03       6.481828615626e-07       1.949537716610e-03       5.957823800139e-10      -2.306396828285e-03       4.832768647832e-01       4.831335831421e-01 
       1.955080622148e-05      -4.864078784153e-03      -3.655042252863e-03      -3.655042625808e-03      -4.863822971474e-03      -3.368655291228e-03       1.026987839745e-06       3.088868270895e-03       9.437215904577e-10      -3.655385224556e-03       4.832757139737e-01       4.831325793818e-01 
       2.461300677329e-05      -7.700404485194e-03      -5.792835166469e-03      -5.792836103060e-03      -7.699762469074e-03      -5.330369061214e-03       1.626880016664e-06       4.893161980867e-03       1.494367392075e-09      -5.793376554876e-03       4.832738905748e-01       4.831309888083e-01 
       3.098593968756e-05      -1.218264286187e-02      -9.180983787438e-03      -9.180986139238e-03      -1.218103240264e-02      -8.426514094305e-03       2.576457838486e-06       7.749203732810e-03       2.365073775239e-09      -9.181836349504e-03       4.832710019657e-01       4.831284686202e-01 
       3.900898688099e-05      -1.925385626306e-02      -1.455077516343e-02      -1.455078106767e-02      -1.924981976595e-02      -1.330108670983e-02       4.078460062366e-06       1.226676955998e-02       3.740015690564e-09      -1.455211264795e-02       4.832664270465e-01       4.831244761491e-01 
       4.910940487282e-05      -3.037929046419e-02      -2.306116454154e-02      -2.306117935950e-02      -3.036918616158e-02      -2.094545972133e-02       6.451493414157e-06       1.940413011411e-02       5.906534587315e-09      -2.306324993595e-02       4.832591843643e-01       4.831181529272e-01 
       6.182507775248e-05      -4.780809697091e-02      -3.654883019496e-02      -3.654886736508e-02      -4.778285457073e-02      -3.285791165648e-02       1.019375735556e-05       3.065971373313e-02       9.308688489707e-09      -3.655204947343e-02       4.832477257060e-01       4.831081423671e-01 
       7.783316146875e-05      -7.492430973849e-02      -5.792435512760e-02      -5.792444829249e-02      -7.486145144947e-02      -5.123233369166e-02       1.607773916393e-05       4.835691630798e-02       1.462193508882e-08      -5.792924367096e-02       4.832296155138e-01       4.830923044302e-01 
       9.798614485329e-05      -1.166493324785e-01      -9.179981182148e-02      -9.180004503901e-02      -1.164935984564e-01      -7.910256808815e-02       2.528605067990e-05       7.605264627662e-02       2.284747750933e-08      -9.180703070665e-02       4.832010388600e-01       4.830672723338e-01 
       1.233572477595e-04      -1.797189228481e-01      -1.454826180156e-01      -1.454832006571e-01      -1.793361953963e-01      -1.202022115740e-01       3.958754644182e-05       1.190670086899e-01       3.540146788559e-08      -1.454927610334e-01       4.831560609358e-01       4.830277720685e-01 
       1.552975739335e-04      -2.723120608778e-01      -2.305487128476e-01      -2.305501638564e-01      -2.713835266599e-01      -1.779054768177e-01       6.152819781725e-05       1.850573332328e-01       5.411989559613e-08      -2.305616459578e-01       4.830855477143e-01       4.829655978439e-01 
       1.955080622148e-04      -4.017848587651e-01      -3.653310099220e-01      -3.653346055760e-01      -3.995780495534e-01      -2.517645243405e-01       9.451455377832e-05       2.842690497834e-01       8.095723259235e-08      -3.653440663142e-01       4.829756754574e-01       4.828681178618e-01 
       2.461300677329e-04      -5.681264621005e-01      -5.788515265244e-01      -5.788603673674e-01      -5.630521058448e-01      -3.287355749418e-01       1.424498568833e-04       4.284408979315e-01       1.168850851020e-07      -5.788552169381e-01       4.828060588680e-01       4.827162088362e-01 
       3.098593968756e-04      -7.502895954854e-01      -9.170252734055e-01      -9.170467475083e-01      -7.392289414603e-01      -3.651181048444e-01       2.080901073664e-04       6.258597657795e-01       1.590997623133e-07      -9.169944805301e-01       4.825477924014e-01       4.824816578005e-01 
       3.900898688099e-04      -8.878230028265e-01      -1.452427603229e+00      -1.452478788938e+00      -8.657375259403e-01      -2.606130376665e-01       2.884912703005e-04       8.676660618417e-01       1.957248351199e-07      -1.452307226230e+00       4.821621239504e-01       4.821244315496e-01 
       4.910940487282e-04      -8.832972588743e-01      -2.299629042194e+00      -2.299747594632e+00      -8.452399399825e-01       1.426540853005e-01       3.656631685710e-04       1.099742389004e+00       2.002257348988e-07      -2.299320688679e+00       4.816005645068e-01       4.815907905243e-01 
       6.182507775248e-04      -6.905095789613e-01      -3.639189345802e+00      -3.639452459871e+00      -6.399506153615e-01       9.143887866476e-01       3.956772374068e-04       1.189956326285e+00       1.397616484940e-07      -3.638563445986e+00       4.808051759389e-01       4.808132780022e-01 
       7.783316146875e-04      -4.859326259381e-01      -5.755048217554e+00      -5.755597750073e+00      -4.459290591191e-01       1.577851840677e+00       3.236156076224e-04       9.731438267520e-01       3.032842138048e-08      -5.753999555606e+00       4.797015985688e-01       4.797106414521e-01 
       9.798614485329e-04      -5.039213016111e-01      -9.092471599302e+00      -9.093530722584e+00      -4.992222298773e-01       9.459593241995e-01       1.887894510706e-04       5.676201468872e-01       1.510898402503e-08      -9.090902179043e+00       4.781759005121e-01       4.781778643571e-01 
       1.233572477596e-03      -3.995671035569e-01      -1.434676567013e+01      -1.434862743706e+01      -4.044401291118e-01      -7.769608847587e-02       2.240069440173e-04       6.736926420507e-01       1.393525578018e-07      -1.434433496495e+01       4.760474923807e-01       4.760497614813e-01 
       1.552975739335e-03      -3.023620160727e-01      -2.259841789474e+01      -2.260145200644e+01      -2.850864141794e-01       2.379252500775e+00       3.151124635811e-04       9.477020521667e-01      -5.573729498296e-08      -2.259457682220e+01       4.731142276433e-01       4.731155708463e-01 
       1.955080622148e-03      -2.138251320254e-01      -3.551472696161e+01      -3.551965949187e+01      -2.007767802000e-01      -1.959197770143e-01       1.374858760799e-04       4.131798787748e-01       1.004962020884e-07      -3.550875333225e+01       4.691296987223e-01       4.691307528461e-01 
       2.461300677329e-03      -1.970692658127e-01      -5.564601806395e+01      -5.565472589021e+01      -1.857783740802e-01       8.873898659775e-01       2.412679729115e-04       7.255445213903e-01       5.183556977241e-08      -5.563742269677e+01       4.637902713031e-01       4.637906399038e-01 
       3.098593968756e-03      -1.527580895015e-01      -8.685184017827e+01      -8.686800781794e+01      -1.264349290267e-01       3.095715099135e+00       4.146216723800e-04       1.247127260087e+00      -6.970596917358e-08      -8.684049205925e+01       4.567464267636e-01       4.567466794306e-01 
       3.900898688099e-03      -3.923576519240e-02      -1.348891697489e+02      -1.349199333858e+02      -2.856243677514e-01       3.838071550046e-01       2.839479100663e-04       8.539874210744e-01       1.277151095443e-07      -1.348761514090e+02       4.475967756814e-01       4.475970333783e-01 
       4.910940487282e-03       1.170876371705e-01      -2.081840805799e+02      -2.082462623728e+02       1.241344391907e-01      -1.490554449284e+00       1.813630740195e-04       5.444360790790e-01       2.562073295730e-07      -2.081759584833e+02       4.358948498343e-01       4.358948485738e-01 
       6.182507775248e-03       1.128570980982e-01      -3.187657478768e+02      -3.188964291108e+02       1.182042519884e-01       4.326465800324e+00       3.017458393204e-04       9.082120052389e-01      -2.572651044481e-07      -3.187824121221e+02       4.211580181241e-01       4.211580181240e-01 
       7.783316146875e-03       1.079522369174e-01      -4.831919911502e+02      -4.834764905387e+02       1.130670106183e-01      -3.055415386714e+00       2.564463444081e-04       7.706679301068e-01       4.480175295536e-07      -4.832881214212e+02       4.028622377447e-01       4.028622377447e-01 
       9.798614485329e-03       1.019432386967e-01      -7.230122503440e+02      -7.236449449974e+02       1.067732937306e-01      -2.271838360608e+00       1.604297232518e-04       4.760125306593e-01       3.267608721167e-07      -7.233258261552e+02       3.804383016733e-01       3.804383016733e-01 
