#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:a                      2:tau [Mpc]              3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_phi_scf      19:delta_phi_over_phi_scf   20:delta_phi_prime_scf    21:delta_scf             22:theta_scf          
       8.977791727550e-05       4.182816403200e+01      -3.672591526076e+00      -2.431190737956e-02      -1.143027970986e-04      -2.857569927464e-04      -7.965056991242e-08      -5.715139854929e-05      -2.754523902079e+00      -2.430210815461e-02       3.601777311170e-01       3.596226573450e-01      -3.065670166597e+00      -4.614625333462e-02      -5.608986656953e-03      -4.249994245769e+00       9.704119447899e-02       1.783683738436e-03       1.197405579052e-03       2.168993635540e-04       8.599260351328e-03       4.651411313946e-02 
       1.013268747772e-04       4.682816403200e+01      -3.637219839075e+00      -4.948743814653e-02      -3.060479862603e-04      -7.651199656507e-04      -2.716638241338e-07      -1.530239931301e-04      -2.728055731587e+00      -4.947287099060e-02       3.146074876561e-01       3.071386837622e-01      -2.905436051533e+00      -6.416225367082e-02      -9.993409199773e-02      -4.905368952959e+00       1.018611963851e-01       3.127913931485e-03       2.102787572638e-03       3.241944157081e-04       1.342883547594e-02       3.914610995626e-02 
       1.130659970127e-04       5.182816403200e+01      -3.417332938809e+00      -7.481830473322e-02      -5.843955999786e-04      -1.460988999946e-03      -6.458982310266e-07      -2.921977999893e-04      -2.563226448091e+00      -7.479849237243e-02       2.705468200671e-01       2.583919452272e-01      -2.627413672880e+00      -7.666975021297e-02      -2.025986657958e-01      -5.569702765118e+00       1.051253753377e-01       5.053156611614e-03       3.403767731257e-03       4.478559143316e-04       2.017151203514e-02       3.078808140302e-02 
       1.250038526271e-04       5.682816403200e+01      -3.015034837811e+00      -9.813407091325e-02      -9.161181604767e-04      -2.290295401192e-03      -1.237637016193e-06      -4.580590802383e-04      -2.261614573525e+00      -9.810934265757e-02       2.291107363901e-01       2.144127280981e-01      -2.269548575821e+00      -8.225539035289e-02      -2.992926429352e-01      -6.232399746102e+00       1.069503014134e-01       7.616024400370e-03       5.143714735271e-03       5.771418426647e-04       2.931158628379e-02       2.224463979682e-02 
       1.371507760578e-04       6.182816403200e+01      -2.448083079195e+00      -1.174044400256e-01      -1.329049847779e-03      -3.322624619448e-03      -2.161524458625e-06      -6.645249238897e-04      -1.836533926368e+00      -1.173762491946e-01       1.912094041390e-01       1.758441390870e-01      -1.876834242974e+00      -8.069446061961e-02      -3.762694852255e-01      -6.884705304407e+00       1.074898123533e-01       1.081095952619e-02       7.326889381530e-03       6.982267071824e-04       4.131399574006e-02       1.422615655322e-02 
       1.495188778117e-04       6.682816403200e+01      -1.748249272687e+00      -1.309111197253e-01      -1.773208775266e-03      -4.433021938164e-03      -3.430766970067e-06      -8.866043876328e-04      -1.311802664129e+00      -1.308822505042e-01       1.575219363124e-01       1.429714883361e-01      -1.493293099932e+00      -7.290626012867e-02      -4.228867261973e-01      -7.519780765941e+00       1.069254046284e-01       1.455999209251e-02       9.911602707587e-03       7.963916126139e-04       5.653393826163e-02       7.292875050297e-03 
       1.621219475155e-04       7.182816403200e+01      -9.585547651849e-01      -1.373866666382e-01      -2.223249017077e-03      -5.558122542693e-03      -5.121058540031e-06      -1.111624508539e-03      -7.196697372389e-01      -1.373610734553e-01       1.284846550035e-01       1.157722162353e-01      -1.154889924240e+00      -6.070150228751e-02      -4.335112414666e-01      -8.132666328405e+00       1.054559527648e-01       1.871486570913e-02       1.281108278249e-02       8.586996545059e-04       7.511356722802e-02       1.822156629478e-03 
       1.749752246322e-04       7.682816403200e+01      -1.296733017387e-01      -1.361090104195e-01      -2.686654342668e-03      -6.716635856669e-03      -7.515732325101e-06      -1.343327171334e-03      -9.811812471614e-02      -1.360919829033e-01       1.042918278504e-01       9.397841210925e-02      -8.846122029722e-01      -4.638253639827e-02      -4.084204519093e-01      -8.720154571779e+00       1.032874190460e-01       2.307262686045e-02       1.590275157958e-02       8.766068259180e-04       9.688870997555e-02      -2.000828370103e-03 
       1.880950172693e-04       8.182816403200e+01       6.841720393354e-01      -1.269543965953e-01      -2.948866219212e-03      -7.372165548030e-03      -9.652272130063e-06      -1.474433109606e-03       5.122186708083e-01      -1.269538515289e-01       8.489877126354e-02       7.714453805233e-02      -6.904475824030e-01      -3.228350680497e-02      -3.535451938324e-01      -9.280597191276e+00       1.006226599176e-01       2.740286452820e-02       1.904488673102e-02       8.479161027323e-04       1.213313640134e-01      -4.171992859118e-03 
       2.014981601872e-04       8.682816403200e+01       1.429496880058e+00      -1.103983092003e-01      -2.956672940946e-03      -7.391682352365e-03      -1.111551647682e-05      -1.478336470473e-03       1.071266486361e+00      -1.104217213049e-01       7.007178841382e-02       6.471169718062e-02      -5.663805493665e-01      -2.034340925858e-02      -2.791413387892e-01      -9.813673610666e+00       9.765263908103e-02       3.148200368070e-02       2.209801481617e-02       7.775771601158e-04       1.475505527954e-01      -4.840569121469e-03 
       2.152013191647e-04       9.182816403200e+01       2.057612335311e+00      -8.746011075811e-02      -2.731501828156e-03      -6.828754570390e-03      -1.171369630735e-05      -1.365750914078e-03       1.542544174368e+00      -8.751414175705e-02       5.941296407802e-02       5.606434363748e-02      -4.959243048318e-01      -1.179353065625e-02      -1.976925126532e-01      -1.032014372862e+01       9.454953285327e-02       3.512808234347e-02       2.494721336816e-02       6.770592041914e-04       1.743635821271e-01      -4.270231401601e-03 
       2.292201693479e-04       9.682816403200e+01       2.528162058337e+00      -5.961501227887e-02      -2.119081708663e-03      -5.297704271657e-03      -1.030995713989e-05      -1.059540854331e-03       1.895814025887e+00      -5.970462914176e-02       5.240378285521e-02       5.057656049004e-02      -4.572351451546e-01      -7.013434054347e-03      -1.214947865099e-01      -1.080160062601e+01       9.146126384746e-02       3.822884504855e-02       2.752107134737e-02       5.623409353663e-04       2.004334825724e-01      -2.795641570423e-03 
       2.323717091955e-04       9.793644553249e+01       2.607953336358e+00      -5.295530134313e-02      -1.913850674226e-03      -4.784626685566e-03      -9.569253371131e-06      -9.569253371132e-04       1.955761393191e+00      -5.305321240623e-02       5.128583777691e-02       4.972673343321e-02      -4.507181518249e-01      -6.434736831675e-03      -1.063766395658e-01      -1.090514304087e+01       9.079136882714e-02       3.883787491686e-02       2.805154578476e-02       5.367554359311e-04       2.059772736420e-01      -2.382657085426e-03 
       2.323717091955e-04       9.793644553249e+01       2.607953336358e+00      -5.295530134313e-02      -1.913850674226e-03      -4.784626685566e-03      -9.569253371131e-06      -9.569253371132e-04       1.955761393191e+00      -5.305321240623e-02       5.128678545901e-02       4.972673343321e-02      -4.507181518249e-01      -6.434736831675e-03      -1.063766395658e-01      -1.090514304087e+01       9.079136882714e-02       3.883787491686e-02       2.805154578476e-02       5.367554359311e-04       2.059772736420e-01      -2.382657085426e-03 
       2.325142746385e-04       9.798644553249e+01       2.611331628193e+00      -5.265156883287e-02      -1.903073510303e-03      -4.782003792263e-03      -9.570931515373e-06      -9.564136711727e-04       1.958300020957e+00      -5.274996539322e-02       5.123971554076e-02       4.969124883812e-02      -4.504318539327e-01      -6.412404535080e-03      -1.057138693078e-01      -1.090978831191e+01       9.076132411814e-02       3.886468400289e-02       2.807513807555e-02       5.356081270406e-04       2.062247704865e-01      -2.363462501543e-03 
       2.326570483866e-04       9.803650690364e+01       2.614694741815e+00      -5.234721535810e-02      -1.893507603209e-03      -4.775286178072e-03      -9.572640072032e-06      -9.550780012461e-04       1.960827291665e+00      -5.244599406456e-02       5.119291868662e-02       4.965596302763e-02      -4.501457161817e-01      -6.390364064509e-03      -1.050520132158e-01      -1.091443705305e+01       9.073125867722e-02       3.889146854236e-02       2.809873010656e-02       5.344601504002e-04       2.064723356047e-01      -2.344198628024e-03 
       2.328000309377e-04       9.808662977333e+01       2.618042594864e+00      -5.204222426013e-02      -1.884617859549e-03      -4.765627874068e-03      -9.571671897329e-06      -9.531511213006e-04       1.963343141991e+00      -5.214138065307e-02       5.114637877372e-02       4.962087620941e-02      -4.498597207807e-01      -6.368615572712e-03      -1.043910831393e-01      -1.091908927049e+01       9.070117260194e-02       3.891822842936e-02       2.812232185770e-02       5.333115227106e-04       2.067199675879e-01      -2.324865595969e-03 
       2.329432227915e-04       9.813681426934e+01       2.621375104371e+00      -5.173659474057e-02      -1.876085269268e-03      -4.753786485866e-03      -9.567100457462e-06      -9.507857562487e-04       1.965847509722e+00      -5.183612923480e-02       5.110008634096e-02       4.958598859875e-02      -4.495738498339e-01      -6.347159210673e-03      -1.037310909560e-01      -1.092374497045e+01       9.067106598393e-02       3.894496355849e-02       2.814591330938e-02       5.321622607710e-04       2.069676650127e-01      -2.305463544516e-03 
       2.330866244493e-04       9.818706051981e+01       2.624692187087e+00      -5.143032689654e-02      -1.867721173520e-03      -4.740271071806e-03      -9.558839160613e-06      -9.480844475406e-04       1.968340332508e+00      -5.153024011360e-02       5.105403594005e-02       4.955130041524e-02      -4.492880853541e-01      -6.325995124964e-03      -1.030720485713e-01      -1.092840415913e+01       9.064093891143e-02       3.897167382480e-02       2.816950444259e-02       5.310123814797e-04       2.072154264436e-01      -2.285992618262e-03 
       2.332302364141e-04       9.823736865330e+01       2.627993759493e+00      -5.112342093410e-02      -1.859415314884e-03      -4.725432991008e-03      -9.547159334626e-06      -9.451179099357e-04       1.970821547801e+00      -5.122371348821e-02       5.100822453234e-02       4.951681188082e-02      -4.490024092706e-01      -6.305123456100e-03      -1.024139679184e-01      -1.093306684279e+01       9.061079147093e-02       3.899835912387e-02       2.819309523885e-02       5.298619018341e-04       2.074632504350e-01      -2.266452965700e-03 
