# Matter power spectrum P(k) at redshift z=0.108696
# for k=9.50123e-06 to 1.20496 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.501234399475e-06       4.689301266065e+01 
       1.196134542891e-05       5.858107572841e+01 
       1.505844171970e-05       7.318230533195e+01 
       1.895745494296e-05       9.142271096902e+01 
       2.386602177063e-05       1.142091608117e+02 
       3.004554128548e-05       1.426743626488e+02 
       3.782509543540e-05       1.782329601833e+02 
       4.761897384717e-05       2.226514213640e+02 
       5.994873625976e-05       2.781349716174e+02 
       7.547098748236e-05       3.474354574672e+02 
       9.501234399475e-05       4.339846483280e+02 
       1.196134542891e-04       5.420579414539e+02 
       1.505844171970e-04       6.769734133114e+02 
       1.895745494296e-04       8.453300779941e+02 
       2.386602177063e-04       1.055286102991e+03 
       3.004554128548e-04       1.316871292014e+03 
       3.782509543540e-04       1.642317205865e+03 
       4.761897384717e-04       2.046373171029e+03 
       5.994873625976e-04       2.546559032814e+03 
       7.547098748236e-04       3.163278957614e+03 
       9.501234399475e-04       3.919638702662e+03 
       1.196134542891e-03       4.840621846920e+03 
       1.505844171970e-03       5.951193784984e+03 
       1.895745494296e-03       7.270567287724e+03 
       2.386602177063e-03       8.811503389750e+03 
       3.004554128548e-03       1.057257331319e+04 
       3.782509543540e-03       1.252206664943e+04 
       4.761897384717e-03       1.459109464670e+04 
       5.994873625976e-03       1.666133442104e+04 
       7.547098748236e-03       1.855590180408e+04 
       9.501234399475e-03       2.003713539174e+04 
       1.196134542891e-02       2.081705030448e+04 
       1.505844171970e-02       2.059060870706e+04 
       1.895745493635e-02       1.911442077290e+04 
       2.386601072617e-02       1.636174552599e+04 
       3.004263807358e-02       1.273827538553e+04 
       3.765705252779e-02       9.219265115507e+03 
       4.523685051160e-02       7.078333285318e+03 
       5.069536772200e-02       6.205926116592e+03 
       5.498223548641e-02       5.767990460766e+03 
       5.871179741158e-02       5.489024947921e+03 
       6.213938324876e-02       5.271162292808e+03 
       6.539183619359e-02       5.065449597251e+03 
       6.854185387983e-02       4.846668799161e+03 
       7.163561193896e-02       4.604914393763e+03 
       7.470480701504e-02       4.339466300887e+03 
       7.777258190826e-02       4.053987630355e+03 
       8.085671924394e-02       3.755007414923e+03 
       8.397148890887e-02       3.450793539434e+03 
       8.712877840852e-02       3.151092166240e+03 
       9.033881662627e-02       2.866719763841e+03 
       9.361065485048e-02       2.607859077586e+03 
       9.695249648247e-02       2.382589630700e+03 
       1.003719288477e-01       2.196095824622e+03 
       1.038760895952e-01       2.049808020672e+03 
       1.074717881312e-01       1.941271383925e+03 
       1.111655953591e-01       1.864903703938e+03 
       1.149639105860e-01       1.812599120817e+03 
       1.188730116741e-01       1.774008608207e+03 
       1.228990927255e-01       1.737657130924e+03 
       1.270482924124e-01       1.692751143194e+03 
       1.313267152910e-01       1.631001127779e+03 
       1.357404479193e-01       1.548150719173e+03 
       1.402955712529e-01       1.445240784338e+03 
       1.423690205011e-01       1.394548177977e+03 
       1.449981705695e-01       1.328765824917e+03 
       1.498543440189e-01       1.208962509718e+03 
       1.548702108060e-01       1.096970459121e+03 
       1.600519199472e-01       1.002058822530e+03 
       1.654056605102e-01       9.296625060449e+02 
       1.709376742188e-01       8.803122162904e+02 
       1.766542712906e-01       8.495034695966e+02 
       1.825618503654e-01       8.291096854407e+02 
       1.886669233757e-01       8.082632782014e+02 
       1.949761462098e-01       7.774089831467e+02 
       2.014963560264e-01       7.324072337299e+02 
       2.082346161058e-01       6.760094444785e+02 
       2.151982691656e-01       6.160060170604e+02 
       2.223950001518e-01       5.613914616352e+02 
       2.298329096408e-01       5.187473692334e+02 
       2.375205991728e-01       4.896204166128e+02 
       2.454672701076e-01       4.698585379621e+02 
       2.536828379560e-01       4.519959375062e+02 
       2.621780646471e-01       4.294202573529e+02 
       2.709647118572e-01       3.999746846119e+02 
       2.800557194144e-01       3.672119808686e+02 
       2.894654139707e-01       3.373443907605e+02 
       2.992097546821e-01       3.141917353026e+02 
       3.093066247071e-01       2.971486182874e+02 
       3.197761800919e-01       2.821486516810e+02 
       3.306412713423e-01       2.651181736097e+02 
       3.419279580751e-01       2.456163869358e+02 
       3.536661441835e-01       2.264400954248e+02 
       3.658903708306e-01       2.104295816081e+02 
       3.786408186489e-01       1.973014730523e+02 
       3.919645908877e-01       1.847793546760e+02 
       4.059173792653e-01       1.714140579755e+02 
       4.205656593892e-01       1.581027088300e+02 
       4.359896318681e-01       1.462709544413e+02 
       4.522872340938e-01       1.358129173478e+02 
       4.695797232709e-01       1.254305008102e+02 
       4.880196228472e-01       1.150509333978e+02 
       5.078023245591e-01       1.055516344392e+02 
       5.291835277758e-01       9.661988103514e+01 
       5.525063464861e-01       8.779407032283e+01 
       5.782451165934e-01       7.939517328285e+01 
       6.070794963812e-01       7.129953525368e+01 
       6.400267269070e-01       6.334614650881e+01 
       6.786931256278e-01       5.554011575024e+01 
       7.257887086889e-01       4.772542355758e+01 
       7.862672944481e-01       3.977343052245e+01 
       8.700144792845e-01       3.152161933595e+01 
       9.977572535954e-01       2.293077572407e+01 
       1.204961476302e+00       1.470313911138e+01 
