# Matter power spectrum P(k) at redshift z=1.55
# for k=9.01096e-06 to 1.1375 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.010962392119e-06       2.358830879366e+01 
       1.134412954016e-05       2.946769498104e+01 
       1.428141295279e-05       3.681248657087e+01 
       1.797923368260e-05       4.598789696271e+01 
       2.263451416761e-05       5.745012891428e+01 
       2.849516506922e-05       7.176901389407e+01 
       3.587328741891e-05       8.965625517190e+01 
       4.516179313626e-05       1.120006338264e+02 
       5.685532902143e-05       1.399118364912e+02 
       7.157661850099e-05       1.747749071404e+02 
       9.010962392119e-05       2.183176786488e+02 
       1.134412954016e-04       2.726938502240e+02 
       1.428141295279e-04       3.405845061851e+02 
       1.797923368260e-04       4.253205567007e+02 
       2.263451416761e-04       5.310273383441e+02 
       2.849516506922e-04       6.627896589754e+02 
       3.587328741891e-04       8.268298520775e+02 
       4.516179313626e-04       1.030682159361e+03 
       5.685532902143e-04       1.283334992476e+03 
       7.157661850099e-04       1.595302823470e+03 
       9.010962392119e-04       1.978583453165e+03 
       1.134412954016e-03       2.446303279965e+03 
       1.428141295279e-03       3.012243721639e+03 
       1.797923368260e-03       3.689457394271e+03 
       2.263451416761e-03       4.487719077711e+03 
       2.849516506922e-03       5.410386703505e+03 
       3.587328741891e-03       6.449588087306e+03 
       4.516179313626e-03       7.580007933196e+03 
       5.685532902143e-03       8.751320236255e+03 
       7.157661850099e-03       9.879180254900e+03 
       9.010962392119e-03       1.083589358381e+04 
       1.134412954016e-02       1.144648595329e+04 
       1.428141295277e-02       1.150244461074e+04 
       1.797923353820e-02       1.081495362141e+04 
       2.263440446423e-02       9.336574908976e+03 
       2.848000508878e-02       7.335850307258e+03 
       3.536951392033e-02       5.523656393067e+03 
       4.117978207606e-02       4.604534238696e+03 
       4.539324614359e-02       4.214750656239e+03 
       4.886755501380e-02       4.006869049938e+03 
       5.196947495438e-02       3.869151115906e+03 
       5.486246007700e-02       3.755245915414e+03 
       5.763300485920e-02       3.641414402687e+03 
       6.033296351585e-02       3.514573710824e+03 
       6.299639297275e-02       3.368160223632e+03 
       6.564729297692e-02       3.200390945882e+03 
       6.830356765312e-02       3.013280444131e+03 
       7.097922661401e-02       2.811820184593e+03 
       7.368568909652e-02       2.603102894331e+03 
       7.643259745176e-02       2.395349201438e+03 
       7.922834631014e-02       2.196892335056e+03 
       8.208043889376e-02       2.015229645023e+03 
       8.499573388882e-02       1.856256693585e+03 
       8.798062055783e-02       1.723759335309e+03 
       9.104114533463e-02       1.619167773942e+03 
       9.418310471889e-02       1.541507880137e+03 
       9.741211419844e-02       1.487463005162e+03 
       1.007336597661e-01       1.451513997835e+03 
       1.041531365852e-01       1.426237592574e+03 
       1.076758780537e-01       1.402945234005e+03 
       1.113071776554e-01       1.372829383014e+03 
       1.150523054191e-01       1.328585232731e+03 
       1.189165204255e-01       1.266150520645e+03 
       1.229050805471e-01       1.185947351662e+03 
       1.270232504446e-01       1.093030327582e+03 
       1.312763087309e-01       9.958969185897e+02 
       1.324854266031e-01       9.694210119114e+02 
       1.356695551483e-01       9.042510911780e+02 
       1.402083185595e-01       8.264594787949e+02 
       1.448979665284e-01       7.675320078631e+02 
       1.497439172468e-01       7.281051486439e+02 
       1.547516545542e-01       7.045440701432e+02 
       1.599267467888e-01       6.898061181005e+02 
       1.652748702059e-01       6.739195651583e+02 
       1.708018376999e-01       6.486003659469e+02 
       1.765136335795e-01       6.103702791016e+02 
       1.824164551735e-01       5.619334860181e+02 
       1.885167620950e-01       5.105375256274e+02 
       1.948213340740e-01       4.646027471155e+02 
       2.013373383987e-01       4.300883919053e+02 
       2.080724081899e-01       4.078821803968e+02 
       2.150347329985e-01       3.936370587937e+02 
       2.222331635752e-01       3.801670766817e+02 
       2.296773331486e-01       3.611845923845e+02 
       2.373777981972e-01       3.351237108022e+02 
       2.453462025601e-01       3.062140856047e+02 
       2.535954698637e-01       2.806958048643e+02 
       2.621400307509e-01       2.620907922819e+02 
       2.709960933980e-01       2.492419514454e+02 
       2.801819684968e-01       2.374758694859e+02 
       2.897184635263e-01       2.228468352396e+02 
       2.996293661442e-01       2.054362437412e+02 
       3.099420434858e-01       1.887743564894e+02 
       3.206881939813e-01       1.757026410614e+02 
       3.319048023693e-01       1.654096644198e+02 
       3.436353691072e-01       1.550244871790e+02 
       3.559315158457e-01       1.432802452942e+02 
       3.688551148146e-01       1.317205673262e+02 
       3.824811615121e-01       1.220560492630e+02 
       3.969017236871e-01       1.135497150045e+02 
       4.122314849032e-01       1.045901427126e+02 
       4.286157125375e-01       9.567260837705e+01 
       4.462420219704e-01       8.784385143329e+01 
       4.653582880472e-01       8.031027761653e+01 
       4.863009031116e-01       7.272996370877e+01 
       5.095412451781e-01       6.568870004127e+01 
       5.357659030372e-01       5.875048769944e+01 
       5.660233641943e-01       5.196652140210e+01 
       6.020109240179e-01       4.523985280930e+01 
       6.466806493988e-01       3.848335392060e+01 
       7.056224066463e-01       3.154000701345e+01 
       7.903317387440e-01       2.429149846656e+01 
       9.242742676546e-01       1.686476361852e+01 
       1.137499997880e+00       1.032022424985e+01 
