# Matter power spectrum P(k) at redshift z=0.59375
# for k=8.52997e-06 to 1.07856 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.529969801220e-06       4.440685126604e+01 
       1.073859574459e-05       5.547523210552e+01 
       1.351909106985e-05       6.930232066671e+01 
       1.701952729220e-05       8.657562546199e+01 
       2.142631540487e-05       1.081539154221e+02 
       2.697413294431e-05       1.351098066581e+02 
       3.395842142470e-05       1.687828659417e+02 
       4.275111967598e-05       2.108457569654e+02 
       5.382047094274e-05       2.633864904977e+02 
       6.775595854454e-05       3.290104225398e+02 
       8.529969801220e-05       4.109661941795e+02 
       1.073859574459e-04       5.133001638814e+02 
       1.351909106985e-04       6.410436999679e+02 
       1.701952729220e-04       8.004363300791e+02 
       2.142631540487e-04       9.991840602765e+02 
       2.697413294431e-04       1.246744495508e+03 
       3.395842142470e-04       1.554616861821e+03 
       4.275111967598e-04       1.936595214726e+03 
       5.382047094274e-04       2.408920167540e+03 
       6.775595854454e-04       2.990237364251e+03 
       8.529969801220e-04       3.701128651137e+03 
       1.073859574459e-03       4.562810701300e+03 
       1.351909106985e-03       5.594791628265e+03 
       1.701952729220e-03       6.810365863410e+03 
       2.142631540487e-03       8.209730777428e+03 
       2.697413294431e-03       9.771187559184e+03 
       3.395842142470e-03       1.144181912132e+04 
       4.275111967598e-03       1.313068148281e+04 
       5.382047094274e-03       1.470425999869e+04 
       6.775595854454e-03       1.598478484220e+04 
       8.529969801220e-03       1.676619696800e+04 
       1.073859574459e-02       1.685137712577e+04 
       1.351909106985e-02       1.607806554099e+04 
       1.701952725976e-02       1.436586372547e+04 
       2.142627991826e-02       1.180918625459e+04 
       2.696753290069e-02       8.814346861119e+03 
       3.367352842981e-02       6.203203991385e+03 
       3.979358733457e-02       4.851572470584e+03 
       4.417592311872e-02       4.342517120253e+03 
       4.771208015180e-02       4.113741075544e+03 
       5.083333583562e-02       3.990536612240e+03 
       5.372529509543e-02       3.904725078098e+03 
       5.648338812452e-02       3.821659903319e+03 
       5.916366386019e-02       3.721396316517e+03 
       6.180237340205e-02       3.592703156169e+03 
       6.442475517041e-02       3.430856193318e+03 
       6.704945064175e-02       3.236587577335e+03 
       6.969092379512e-02       3.015242046062e+03 
       7.236087886872e-02       2.775766017093e+03 
       7.506913687273e-02       2.529426898813e+03 
       7.782420159896e-02       2.288333248257e+03 
       8.063363844882e-02       2.063942138734e+03 
       8.350433559999e-02       1.865786969652e+03 
       8.644268850275e-02       1.700615115994e+03 
       8.945473282390e-02       1.571996191730e+03 
       9.254624175485e-02       1.480298694306e+03 
       9.572279807860e-02       1.422820888588e+03 
       9.898984797595e-02       1.393886861504e+03 
       1.023527413873e-01       1.384907548226e+03 
       1.058167623472e-01       1.384681467695e+03 
       1.093871517905e-01       1.380383715013e+03 
       1.130691247185e-01       1.359553423439e+03 
       1.168678832101e-01       1.312886380258e+03 
       1.203369434416e-01       1.247028764909e+03 
       1.207886264896e-01       1.236999410596e+03 
       1.248365590888e-01       1.135965778290e+03 
       1.290168980214e-01       1.020647160253e+03 
       1.333348798168e-01       9.057107896025e+02 
       1.377957682108e-01       8.053915889075e+02 
       1.424048632656e-01       7.297645249259e+02 
       1.471675126684e-01       6.827856158900e+02 
       1.520891259507e-01       6.619758165503e+02 
       1.571751923589e-01       6.593127800773e+02 
       1.624313031034e-01       6.612004007327e+02 
       1.678631787145e-01       6.525425676226e+02 
       1.734767022432e-01       6.229222491031e+02 
       1.792779590687e-01       5.718823082314e+02 
       1.852732841188e-01       5.091946933194e+02 
       1.914693173864e-01       4.495498609408e+02 
       1.978730687403e-01       4.052789787243e+02 
       2.044919932049e-01       3.811597571795e+02 
       2.113340781218e-01       3.730759041127e+02 
       2.184079439494e-01       3.701277586078e+02 
       2.257229609075e-01       3.597415484717e+02 
       2.332893842835e-01       3.351540075988e+02 
       2.411185120233e-01       3.006120913104e+02 
       2.492228692930e-01       2.676973529644e+02 
       2.576164261099e-01       2.457357678722e+02 
       2.663148560158e-01       2.356225581990e+02 
       2.753358462784e-01       2.299276165387e+02 
       2.846994735133e-01       2.191652838045e+02 
       2.944286632709e-01       2.005278023814e+02 
       3.045497585975e-01       1.800647975187e+02 
       3.150932316649e-01       1.654557595051e+02 
       3.260945855491e-01       1.574904904944e+02 
       3.375955121058e-01       1.501695509211e+02 
       3.496453998119e-01       1.385692620002e+02 
       3.623033275875e-01       1.253070740498e+02 
       3.756407456294e-01       1.155107027793e+02 
       3.897451470195e-01       1.087233323981e+02 
       4.047252005586e-01       1.005409726774e+02 
       4.207180938701e-01       9.094269476586e+01 
       4.379003171363e-01       8.345948239508e+01 
       4.565039810704e-01       7.689878102480e+01 
       4.768423778917e-01       6.921943441061e+01 
       4.993516650072e-01       6.258146940572e+01 
       5.246621263283e-01       5.611639873386e+01 
       5.537269690949e-01       4.958913284206e+01 
       5.880708544995e-01       4.330206684606e+01 
       6.303069642323e-01       3.698762328575e+01 
       6.853011515997e-01       3.050705692054e+01 
       7.629279831152e-01       2.378357557092e+01 
       8.837217173674e-01       1.685234414702e+01 
       1.078558330423e+00       1.049720357363e+01 
