# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=50
# for k=1.11656e-05 to 1.15648 h/Mpc,
# number of wavenumbers equal to 113
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_scf                  7:delta_phi_scf       8:delta_phi_over_phi_scf    9:delta_phi_prime_scf    10:d_tot                 11:phi                   12:psi                
       1.116557684842e-05      -3.105979760138e-05      -2.329506538354e-05      -2.329506584793e-05      -3.105978252425e-05      -2.527887461080e-05      -7.347884814715e-07      -6.967762022031e-05      -5.335512799079e-10      -2.340722464726e-05       6.069514123669e-01       5.987472293260e-01 
       1.405662843182e-05      -4.922618115588e-05      -3.692018140327e-05      -3.692018256977e-05      -4.922614328410e-05      -4.006389512693e-05      -1.164556988650e-06      -1.104309968961e-04      -8.456128826597e-10      -3.709793809905e-05       6.069511534835e-01       5.987470408221e-01 
       1.769624673697e-05      -7.801753449927e-05      -5.851452119416e-05      -5.851452412429e-05      -7.801743937065e-05      -6.349597112903e-05      -1.845688518079e-06      -1.750199353648e-04      -1.340184449399e-09      -5.879623714613e-05       6.069507435805e-01       5.987467424431e-01 
       2.227825471055e-05      -1.236476890429e-04      -9.273920884709e-05      -9.273921620723e-05      -1.236474500946e-04      -1.006314670919e-04      -2.925187593347e-06      -2.773837256376e-04      -2.123988609112e-09      -9.318567474825e-05       6.069500926985e-01       5.987462683494e-01 
       2.804666098554e-05      -1.959639339215e-04      -1.469815964272e-04      -1.469816149150e-04      -1.959633337259e-04      -1.594829206457e-04      -4.636032423899e-06      -4.396132120118e-04      -3.366142669662e-09      -1.476891374257e-04       6.069490613184e-01       5.987455171731e-01 
       3.530865423067e-05      -3.105707361589e-04      -2.329497694959e-04      -2.329498159352e-04      -3.105692285977e-04      -2.527447310879e-04      -7.347415367893e-06      -6.967131572317e-04      -5.334581874292e-09      -2.340709960524e-04       6.069474265653e-01       5.987443265117e-01 
       4.445096206724e-05      -4.921933929491e-04      -3.691995948687e-04      -3.691997115189e-04      -4.921896063733e-04      -4.005256377815e-04      -1.164435391883e-05      -1.104147279976e-03      -8.453732327566e-09      -3.709762411890e-04       6.069448351812e-01       5.987424389673e-01 
       5.596044572515e-05      -7.800034964124e-04      -5.851396404276e-04      -5.851399334389e-04      -7.799939859468e-04      -6.346714348842e-04      -1.845378293154e-05      -1.749785027831e-03      -1.339574778439e-08      -5.879544860483e-04       6.069407287165e-01       5.987394479216e-01 
       7.045002717872e-05      -1.236045260368e-03      -9.273780966135e-04      -9.273788326225e-04      -1.236021375070e-03      -1.005586066930e-03      -2.924405020951e-05      -2.772791434070e-03      -2.122447712935e-08      -9.318369420036e-04       6.069342203543e-01       5.987347071697e-01 
       8.869132947687e-05      -1.958555260564e-03      -1.469780824477e-03      -1.469782673239e-03      -1.958495278979e-03      -1.592992049238e-03      -4.634059255337e-05      -4.393495566161e-03      -3.362257364144e-08      -1.476841630253e-03       6.069239062601e-01       5.987271939860e-01 
