# Matter power spectrum P(k) at redshift z=50
# for k=1.02887e-05 to 1.07291 h/Mpc,
# number of wavenumbers equal to 113
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.028873718784e-05       3.132276306967e-02 
       1.295275270104e-05       3.912998662218e-02 
       1.630654952803e-05       4.888314480070e-02 
       2.052872957952e-05       6.106723189416e-02 
       2.584413933951e-05       7.628810207103e-02 
       3.253584376045e-05       9.530255804084e-02 
       4.096020050420e-05       1.190559177686e-01 
       5.156583728692e-05       1.487288831006e-01 
       6.491754294095e-05       1.857959872327e-01 
       8.172634447960e-05       2.320983687102e-01 
       1.028873718784e-04       2.899342483725e-01 
       1.295275270104e-04       3.621710683517e-01 
       1.630654952803e-04       4.523838402914e-01 
       2.052872957952e-04       5.650244990009e-01 
       2.584413933951e-04       7.056266882908e-01 
       3.253584376045e-04       8.810481067424e-01 
       4.096020050420e-04       1.099746867013e+00 
       5.156583728692e-04       1.372075081467e+00 
       6.491754294095e-04       1.710545327676e+00 
       8.172634447960e-04       2.129971101320e+00 
       1.028873718784e-03       2.647280286946e+00 
       1.295275270104e-03       3.280622374086e+00 
       1.630654952803e-03       4.047005659698e+00 
       2.052872957952e-03       4.958049977723e+00 
       2.584413933951e-03       6.012044496207e+00 
       3.253584376045e-03       7.183948350236e+00 
       4.096020050420e-03       8.418623718361e+00 
       5.156583728692e-03       9.639252473331e+00 
       6.491754294095e-03       1.076677135972e+01 
       8.172634447960e-03       1.167937296267e+01 
       1.028873718784e-02       1.214595247746e+01 
       1.295275270104e-02       1.215111480999e+01 
       1.630654952803e-02       1.162455645957e+01 
       2.052872956268e-02       1.052539213027e+01 
       2.584411659088e-02       8.948279476376e+00 
       3.253081697085e-02       7.124732307645e+00 
       4.070877565889e-02       5.455634628478e+00 
       4.851286686534e-02       4.466314881075e+00 
       5.409977989176e-02       4.037943808558e+00 
       5.854852654429e-02       3.806092546589e+00 
       6.244776546239e-02       3.648909483224e+00 
       6.604620320447e-02       3.520428221190e+00 
       6.946955827038e-02       3.398650583958e+00 
       7.279078063799e-02       3.271838956482e+00 
       7.605663091947e-02       3.133878063248e+00 
       7.929943627366e-02       2.982680726573e+00 
       8.254293701450e-02       2.819060348248e+00 
       8.580546407643e-02       2.646119040210e+00 
       8.910178904696e-02       2.468644634706e+00 
       9.244426203324e-02       2.292367896784e+00 
       9.584354334119e-02       2.123317318175e+00 
       9.930909147923e-02       1.967100925524e+00 
       1.028494986221e-01       1.828309228045e+00 
       1.064727270327e-01       1.710064848060e+00 
       1.101862790987e-01       1.613717975531e+00 
       1.139973216064e-01       1.538711699359e+00 
       1.179127776811e-01       1.482574028599e+00 
       1.219393953827e-01       1.441013875297e+00 
       1.260837991440e-01       1.408178706336e+00 
       1.303525284258e-01       1.377189785955e+00 
       1.347520667782e-01       1.341063587823e+00 
       1.392888637088e-01       1.294001454871e+00 
       1.439693512370e-01       1.232781799956e+00 
       1.487999566637e-01       1.157764394408e+00 
       1.505343971097e-01       1.128784215854e+00 
       1.537871128553e-01       1.073022219096e+00 
       1.589372671922e-01       9.854134396193e-01 
       1.642568902344e-01       9.028320700924e-01 
       1.697524850978e-01       8.321778990910e-01 
       1.754305984952e-01       7.776316623138e-01 
       1.812978343751e-01       7.396414663352e-01 
       1.873608710728e-01       7.147737808856e-01 
       1.936264828795e-01       6.964599759368e-01 
       2.001015669301e-01       6.767095125513e-01 
       2.067931763066e-01       6.492535874725e-01 
       2.137085602705e-01       6.105818096713e-01 
       2.208552125594e-01       5.632112756668e-01 
       2.282409287385e-01       5.141542876667e-01 
       2.358738736857e-01       4.712771360500e-01 
       2.437626604275e-01       4.393532408211e-01 
       2.519164417488e-01       4.181950937087e-01 
       2.603450162890e-01       4.032272911072e-01 
       2.690589512433e-01       3.878022750903e-01 
       2.780697243290e-01       3.668308212931e-01 
       2.873898884108e-01       3.400335136946e-01 
       2.970332631416e-01       3.117894457103e-01 
       3.070151592561e-01       2.875445726504e-01 
       3.173526428452e-01       2.699566541230e-01 
       3.280648491890e-01       2.571294624407e-01 
       3.391733587359e-01       2.443696872349e-01 
       3.507026518879e-01       2.285476308681e-01 
       3.626806648171e-01       2.107049586717e-01 
       3.751394762463e-01       1.944919786850e-01 
       3.881161659543e-01       1.819400441324e-01 
       4.016539012071e-01       1.714901917041e-01 
       4.158033297177e-01       1.603595453198e-01 
       4.306243908118e-01       1.480523691492e-01 
       4.461887063004e-01       1.366236561058e-01 
       4.625827892291e-01       1.271394166909e-01 
       4.799124295032e-01       1.182291292446e-01 
       4.983088108517e-01       1.088559478635e-01 
       5.179372392122e-01       9.992745993108e-02 
       5.390099230879e-01       9.198093641921e-02 
       5.618052474276e-01       8.416904554088e-02 
       5.866978465917e-01       7.644645734178e-02 
       6.142074217163e-01       6.927909150322e-02 
       6.450817488752e-01       6.215905527949e-02 
       6.804457558648e-01       5.526393806959e-02 
       7.220870515820e-01       4.841418973046e-02 
       7.730450091885e-01       4.156531071868e-02 
       8.389264551627e-01       3.455493178844e-02 
       9.310161523895e-01       2.725102688523e-02 
       1.072911296993e+00       1.964641913723e-02 
