# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=1.31818
# for k=1.04629e-05 to 1.08667 h/Mpc,
# number of wavenumbers equal to 113
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_scf                  7:delta_phi_scf       8:delta_phi_over_phi_scf    9:delta_phi_prime_scf    10:d_tot                 11:phi                   12:psi                
       1.046294440213e-05      -7.034073929091e-04      -5.276897200100e-04      -5.276897387827e-04      -7.034019343615e-04      -1.270515745147e-03       6.047360652734e-07       6.900884896073e-04       2.858703163823e-09      -5.278148874262e-04       5.825243907159e-01       5.821097516944e-01 
       1.317206659003e-05      -1.114658954365e-03      -8.363312248791e-04      -8.363312720321e-04      -1.114645244656e-03      -2.013332861151e-03       9.583739543098e-07       1.093621555869e-03       4.530281006086e-09      -8.365294997816e-04       5.825238157328e-01       5.821092668475e-01 
       1.658264935604e-05      -1.766196899529e-03      -1.325494107389e-03      -1.325494225825e-03      -1.766162468442e-03      -3.190166854461e-03       1.518749249838e-06       1.733034757874e-03       7.178860722821e-09      -1.325808095561e-03       5.825229045055e-01       5.821084984454e-01 
       2.087631866919e-05      -2.798182551787e-03      -2.100762675213e-03      -2.100762972681e-03      -2.798096089261e-03      -5.054188444273e-03       2.406625524842e-06       2.746075672632e-03       1.137483705420e-08      -2.101259669153e-03       5.825214604572e-01       5.821072806820e-01 
       2.628172807736e-05      -4.432181978661e-03      -3.329474636581e-03      -3.329475383670e-03      -4.431964891929e-03      -8.005615093932e-03       3.813165077007e-06       4.350731741056e-03       1.802064395137e-08      -3.330260702604e-03       5.825191721700e-01       5.821053508370e-01 
       3.308673534245e-05      -7.017912288287e-03      -5.276837006328e-03      -5.276838882469e-03      -7.017367378270e-03      -1.267616116322e-02       6.040749090389e-06       6.891666604580e-03       2.854257365817e-08      -5.278078780262e-03       5.825155464213e-01       5.821022926907e-01 
       4.165373191592e-05      -1.110602509724e-02      -8.363161068433e-03      -8.363165779240e-03      -1.110465788533e-02      -2.006053928278e-02       9.567138218150e-06       1.091307126113e-02       4.519119479540e-08      -8.365118970043e-03       5.825098023605e-01       5.820974469892e-01 
       5.243894160501e-05      -1.756020201414e-02      -1.325456140393e-02      -1.325457322960e-02      -1.755677385625e-02      -3.171900826928e-02       1.514581129978e-05       1.727225027353e-02       7.150845454027e-08      -1.325763895458e-02       5.825007045729e-01       5.820897699193e-01 
       6.601671615414e-05      -2.772670037182e-02      -2.100667337431e-02      -2.100670304988e-02      -2.771811355262e-02      -5.008377147136e-02       2.396163432100e-05       2.731497632969e-02       1.130455031662e-07      -2.101148707431e-02       5.824863004348e-01       5.820776097342e-01 
       8.311012156965e-05      -4.368296728043e-02      -3.329235282171e-02      -3.329242724733e-02      -4.366149467042e-02      -7.890823970076e-02       3.786916290821e-05       4.314174324072e-02       1.784442714173e-07      -3.329982233293e-02       5.824635087016e-01       5.820583550747e-01 
