# Matter power spectrum P(k) at redshift z=1.04
# for k=9.57229e-06 to 1.2103 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.572289362416e-06       1.796403243299e+01 
       1.205079832739e-05       2.244156488230e+01 
       1.517105624676e-05       2.803509547972e+01 
       1.909922823281e-05       3.502275445123e+01 
       2.404450376794e-05       4.375196282303e+01 
       3.027023680744e-05       5.465667030875e+01 
       3.810797033791e-05       6.827885746452e+01 
       4.797509225029e-05       8.529533372782e+01 
       6.039706276706e-05       1.065510886865e+02 
       7.603539711518e-05       1.331007081119e+02 
       9.572289362416e-05       1.662596248047e+02 
       1.205079832739e-04       2.076671870660e+02 
       1.517105624676e-04       2.593635846143e+02 
       1.909922823281e-04       3.238823568554e+02 
       2.404450376794e-04       4.043591396954e+02 
       3.027023680744e-04       5.046548776668e+02 
       3.810797033791e-04       6.294871827681e+02 
       4.797509225029e-04       7.845563922359e+02 
       6.039706276706e-04       9.766439503761e+02 
       7.603539711518e-04       1.213651835794e+03 
       9.572289362416e-04       1.504537175784e+03 
       1.205079832739e-03       1.859016340030e+03 
       1.517105624676e-03       2.286892938599e+03 
       1.909922823281e-03       2.796834893661e+03 
       2.404450376794e-03       3.394254674923e+03 
       3.027023680744e-03       4.078352711253e+03 
       3.810797033791e-03       4.838292361017e+03 
       4.797509225029e-03       5.648177669200e+03 
       6.039706276706e-03       6.462163179482e+03 
       7.603539711518e-03       7.211732858606e+03 
       9.572289362417e-03       7.803097437990e+03 
       1.205079832739e-02       8.118184014152e+03 
       1.517105624676e-02       8.039749355120e+03 
       1.909922819523e-02       7.494374576465e+03 
       2.404446298645e-02       6.485327322556e+03 
       3.026270127808e-02       5.162300038638e+03 
       3.778452241080e-02       3.910166317073e+03 
       4.463729960301e-02       3.210988447252e+03 
       4.954489852273e-02       2.916760821724e+03 
       5.350684505799e-02       2.760592215782e+03 
       5.700484128878e-02       2.656571112541e+03 
       6.024634429789e-02       2.571271589143e+03 
       6.333808786414e-02       2.488322563414e+03 
       6.634278835849e-02       2.398948336975e+03 
       6.930102294179e-02       2.298773900408e+03 
       7.224104939427e-02       2.186502501100e+03 
       7.518374388599e-02       2.063201574742e+03 
       7.814530728514e-02       1.931756716933e+03 
       8.113885139556e-02       1.796331801002e+03 
       8.417537982284e-02       1.661791833879e+03 
       8.726442147159e-02       1.533108196235e+03 
       9.041445459866e-02       1.414798313521e+03 
       9.363319919028e-02       1.310459632742e+03 
       9.692782352505e-02       1.222440869808e+03 
       1.003050930292e-01       1.151659914770e+03 
       1.037714792369e-01       1.097543481573e+03 
       1.073332404906e-01       1.058050888513e+03 
       1.109964821941e-01       1.029769079335e+03 
       1.147672020111e-01       1.008121342382e+03 
       1.186513238355e-01       9.877840462044e+02 
       1.226547233297e-01       9.633967510090e+02 
       1.267832471491e-01       9.305407408073e+02 
       1.310427275128e-01       8.867753953136e+02 
       1.354389934805e-01       8.323705447241e+02 
       1.386193512614e-01       7.892448415624e+02 
       1.399778800964e-01       7.703873948999e+02 
       1.446652364308e-01       7.059726258992e+02 
       1.495069334663e-01       6.450389324759e+02 
       1.545088727259e-01       5.927458799417e+02 
       1.596769965048e-01       5.522429257821e+02 
       1.650173005509e-01       5.239736141399e+02 
       1.705358500203e-01       5.056036852968e+02 
       1.762387995318e-01       4.927758498046e+02 
       1.821324181321e-01       4.796075337062e+02 
       1.882231199913e-01       4.607953077483e+02 
       1.945175016539e-01       4.340758245136e+02 
       2.010223866998e-01       4.011141257762e+02 
       2.077448787213e-01       3.664564730980e+02 
       2.146924236044e-01       3.352553061656e+02 
       2.218728822362e-01       3.111351317874e+02 
       2.292946149538e-01       2.947497011194e+02 
       2.369665793232e-01       2.834831529267e+02 
       2.448984432161e-01       2.728501901626e+02 
       2.531007156628e-01       2.590104058831e+02 
       2.615848986422e-01       2.409581970682e+02 
       2.703636638744e-01       2.211340644480e+02 
       2.794510598753e-01       2.034395530495e+02 
       2.888627561194e-01       1.900944397158e+02 
       2.986163332561e-01       1.803804979639e+02 
       3.087316311537e-01       1.715016576384e+02 
       3.192311703594e-01       1.609633243372e+02 
       3.301406677946e-01       1.488164392892e+02 
       3.414896747576e-01       1.371444805377e+02 
       3.533123755076e-01       1.277313112280e+02 
       3.656485992839e-01       1.201021054870e+02 
       3.785451198027e-01       1.125098576815e+02 
       3.920573476235e-01       1.041566193811e+02 
       4.062515681159e-01       9.598662806601e+01 
       4.212079507762e-01       8.897367891328e+01 
       4.370246710433e-01       8.273863499787e+01 
       4.538236730246e-01       7.632624554951e+01 
       4.717589145520e-01       6.994373456712e+01 
       4.910284768601e-01       6.425221020747e+01 
       5.118928913697e-01       5.881148209761e+01 
       5.347038516703e-01       5.336992629099e+01 
       5.599510440072e-01       4.827103152255e+01 
       5.883422241015e-01       4.328409083710e+01 
       6.209479825408e-01       3.839503666988e+01 
       6.594811691058e-01       3.356437394790e+01 
       7.068784206800e-01       2.871703953425e+01 
       7.686098404414e-01       2.375089377973e+01 
       8.557796327307e-01       1.857226309853e+01 
       9.914727451582e-01       1.320698054224e+01 
       1.210297678226e+00       8.263634665300e+00 
