# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0.378378
# for k=9.00321e-06 to 1.13606 h/Mpc,
# number of wavenumbers equal to 114
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_scf                  7:delta_phi_scf       8:delta_phi_over_phi_scf    9:delta_phi_prime_scf    10:d_tot                 11:phi                   12:psi                
       9.003207192964e-06      -1.096536258932e-03      -8.227492260701e-04      -8.227492462673e-04      -1.096522263213e-03      -3.636318995227e-03       8.468377592210e-07      -5.936859291495e-04      -2.542726865631e-10      -8.228508637846e-04       5.041094666830e-01       5.039162448320e-01 
       1.133436632287e-05      -1.737462732148e-03      -1.303968652827e-03      -1.303968703557e-03      -1.737427582949e-03      -5.761670686900e-03       1.341789305905e-06      -9.406777415506e-04      -4.029889715516e-10      -1.304129592564e-03       5.041089511442e-01       5.039157988021e-01 
       1.426912179045e-05      -2.752612766467e-03      -2.066648542651e-03      -2.066648670068e-03      -2.752524501371e-03      -9.127850357485e-03       2.125693707605e-06      -1.490243473633e-03      -6.386792439515e-10      -2.066903250373e-03       5.041081341533e-01       5.039150919366e-01 
       1.796376002598e-05      -4.359885455515e-03      -3.275410931206e-03      -3.275411251216e-03      -4.359663845895e-03      -1.445716901586e-02       3.366739687990e-06      -2.360293879392e-03      -1.012199710961e-09      -3.275813700435e-03       5.041068395176e-01       5.039139717409e-01 
       2.261503398808e-05      -6.903146203224e-03      -5.191160726409e-03      -5.191161530056e-03      -6.902589951984e-03      -2.288922195892e-02       5.330254724076e-06      -3.736840019443e-03      -1.604130206909e-09      -5.191796775298e-03       5.041047881802e-01       5.039121966278e-01 
       2.847064097618e-05      -1.092367239456e-02      -8.227395713438e-03      -8.227397731378e-03      -1.092227677332e-02      -3.621713474055e-02       8.433662097082e-06      -5.912521571181e-03      -2.542124995954e-09      -8.228398019643e-03       5.041015383392e-01       5.039093839605e-01 
       3.584241341498e-05      -1.727003921480e-02      -1.303944405555e-02      -1.303944912148e-02      -1.726654000804e-02      -5.725023771941e-02       1.333078969584e-05      -9.345712542759e-03      -4.028355377128e-09      -1.304101815580e-02       5.040963908793e-01       5.039049278376e-01 
       4.512292506815e-05      -2.726394250907e-02      -2.066587654463e-02      -2.066588925815e-02      -2.725517845330e-02      -9.035960074160e-02       2.103853671877e-05      -1.474932250814e-02      -6.382850450731e-09      -2.066833514819e-02       5.040882410645e-01       5.038978698697e-01 
       5.680639702278e-05      -4.294237250916e-02      -3.275258059438e-02      -3.275261248341e-02      -4.292045960524e-02      -1.422701712902e-01       3.312040934021e-05      -2.321946652289e-02      -1.011176397465e-08      -3.275638680003e-02       5.040753451781e-01       5.038866948063e-01 
       7.151501676444e-05      -6.739076634363e-02      -5.190777016744e-02      -5.190785008674e-02      -6.733612515537e-02      -2.231370770274e-01       5.193486487231e-05      -3.640956982655e-02      -1.601425817260e-08      -5.191357727575e-02       5.040549582387e-01       5.038690111279e-01 
       9.003207192964e-05      -1.051483453647e-01      -8.226433015299e-02      -8.226453017804e-02      -1.050126775861e-01      -3.478183713711e-01       8.092612224438e-05      -5.673424407676e-02      -2.534807812594e-08      -8.227297492016e-02       5.040227760349e-01       5.038410534425e-01 
       1.133436632287e-04      -1.625602360725e-01      -1.303703037303e-01      -1.303708033085e-01      -1.622256761359e-01      -5.368569596223e-01       1.248396153840e-04      -8.752033357750e-02      -4.007930237306e-08      -1.303826287996e-01       5.039720911897e-01       5.037969158892e-01 
       1.426912179045e-04      -2.476746315378e-01      -2.065983144702e-01      -2.065995580647e-01      -2.468584882168e-01      -8.156587899821e-01       1.895005531319e-04      -1.328516720333e-01      -6.323654309060e-08      -2.066145006585e-01       5.038925532229e-01       5.037273914181e-01 
       1.796376002598e-04      -3.686745870440e-01      -3.273746606120e-01      -3.273777400913e-01      -3.667176995441e-01      -1.208036984033e+00       2.802467854564e-04      -1.964704243677e-01      -9.933162017044e-08      -3.273923218845e-01       5.037684329118e-01       5.036182630370e-01 
       2.261503398808e-04      -5.287770562392e-01      -5.187007829111e-01      -5.187083459367e-01      -5.242125214958e-01      -1.716042399713e+00       3.971143005040e-04      -2.784018208760e-01      -1.545569726520e-07      -5.187102677410e-01       5.035763909678e-01       5.034479052760e-01 
       2.847064097618e-04      -7.146389815284e-01      -8.217071419361e-01      -8.217254782108e-01      -7.044526095664e-01      -2.273405074800e+00       5.238428164817e-04      -3.672463936263e-01      -2.356079032014e-07      -8.216813943955e-01       5.032830353937e-01       5.031841844494e-01 
       3.584241341498e-04      -8.782060352787e-01      -1.301392004185e+00      -1.301435578251e+00      -8.570427875625e-01      -2.667433675327e+00       6.097320017345e-04      -4.274600585844e-01      -3.436114079432e-07      -1.301268407795e+00       5.028430790902e-01       5.027810343478e-01 
       4.512292506815e-04      -9.290168888685e-01      -2.060328904759e+00      -2.060429324495e+00      -8.899072282756e-01      -2.486736128317e+00       5.585511857021e-04      -3.915791327293e-01      -4.556130748826e-07      -2.059986861179e+00       5.021992802875e-01       5.021758086647e-01 
       5.680639702278e-04      -7.929734756707e-01      -3.260085864672e+00      -3.260306900572e+00      -7.335554650887e-01      -1.335650230338e+00       2.820360254482e-04      -1.977248208200e-01      -4.908175316499e-07      -3.259343506684e+00       5.012837414254e-01       5.012890308608e-01 
       7.151501676444e-04      -5.785018978772e-01      -5.154544678181e+00      -5.155000171715e+00      -5.142508685180e-01       3.285883692321e-01      -1.016646126133e-04       7.127318592913e-02      -3.213996119783e-07      -5.153207744910e+00       5.000134250811e-01       5.000259146224e-01 
       9.003207192964e-04      -5.619528200100e-01      -8.141428176006e+00      -8.142288523834e+00      -5.250884329501e-01       6.181024907206e-01      -1.489345006523e-04       1.044123359854e-01      -2.511042876812e-08      -8.139304241705e+00       4.982663793365e-01       4.982699847865e-01 
       1.133436632287e-03      -5.432587653275e-01      -1.284077715314e+01      -1.284225459769e+01      -5.382043694117e-01      -4.992909673739e-01       1.116310777323e-04      -7.826033496789e-02      -9.854012455413e-08      -1.283740152624e+01       4.958345469002e-01       4.958362073911e-01 
       1.426912179045e-03      -3.514687046439e-01      -2.021498317979e+01      -2.021736622167e+01      -3.472583705181e-01       1.278810070917e-02      -1.140387372254e-05       7.994823956956e-03      -1.145155409743e-07      -2.020952842752e+01       4.924985554751e-01       4.925013008921e-01 
       1.796376002598e-03      -3.966738999022e-01      -3.174517676881e+01      -3.174914465319e+01      -3.662042337597e-01      -8.940781127672e-01       1.834744918564e-04      -1.286271025147e-01      -4.013939746902e-07      -3.173672656887e+01       4.879832206639e-01       4.879839207801e-01 
       2.261503398808e-03      -3.237564817393e-01      -4.969003559604e+01      -4.969726172359e+01      -3.155105836843e-01       3.554366413487e-01      -5.918127948147e-05       4.148994039393e-02       3.480138810417e-07      -4.967749239342e+01       4.819460535562e-01       4.819464395009e-01 
       2.847064097618e-03      -2.882120076438e-01      -7.745356634537e+01      -7.746711311468e+01      -2.507557836717e-01       1.155296614626e+00      -2.899802738783e-04       2.032942755584e-01      -2.062391013222e-07      -7.743570641546e+01       4.739992095038e-01       4.739994419899e-01 
