# Matter power spectrum P(k) at redshift z=2.92308
# for k=8.52997e-06 to 1.07856 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.529969801220e-06       9.520669482707e+00 
       1.073859574459e-05       1.189369394464e+01 
       1.351909106985e-05       1.485817955102e+01 
       1.701952729220e-05       1.856152989570e+01 
       2.142631540487e-05       2.318787038980e+01 
       2.697413294431e-05       2.896718282881e+01 
       3.395842142470e-05       3.618669871624e+01 
       4.275111967598e-05       4.520509684907e+01 
       5.382047094274e-05       5.647016901561e+01 
       6.775595854454e-05       7.054074989276e+01 
       8.529969801220e-05       8.811383863070e+01 
       1.073859574459e-04       1.100579409931e+02 
       1.351909106985e-04       1.374536652512e+02 
       1.701952729220e-04       1.716423793964e+02 
       2.142631540487e-04       2.142830311260e+02 
       2.697413294431e-04       2.674156074174e+02 
       3.395842142470e-04       3.335264897859e+02 
       4.275111967598e-04       4.156053292767e+02 
       5.382047094274e-04       5.171746468348e+02 
       6.775595854454e-04       6.422635560388e+02 
       8.529969801220e-04       7.952771137661e+02 
       1.073859574459e-03       9.807262679855e+02 
       1.351909106985e-03       1.202807983523e+03 
       1.701952729220e-03       1.464373461773e+03 
       2.142631540487e-03       1.765436052342e+03 
       2.697413294431e-03       2.101352425753e+03 
       3.395842142470e-03       2.460731803293e+03 
       4.275111967598e-03       2.824007615778e+03 
       5.382047094274e-03       3.162493102491e+03 
       6.775595854454e-03       3.437945799559e+03 
       8.529969801220e-03       3.606039578348e+03 
       1.073859574459e-02       3.624376738171e+03 
       1.351909106985e-02       3.458064760674e+03 
       1.701952725976e-02       3.089808405477e+03 
       2.142627991826e-02       2.539920205462e+03 
       2.696753290069e-02       1.895791406416e+03 
       3.367352842981e-02       1.334186814318e+03 
       3.979358733457e-02       1.043477650472e+03 
       4.417592311872e-02       9.339898396403e+02 
       4.771208015180e-02       8.847845653309e+02 
       5.083333583562e-02       8.582856630211e+02 
       5.372529509543e-02       8.398292586433e+02 
       5.648338812452e-02       8.219635546956e+02 
       5.916366386019e-02       8.003988285718e+02 
       6.180237340205e-02       7.727194756765e+02 
       6.442475517041e-02       7.379094065891e+02 
       6.704945064175e-02       6.961260898637e+02 
       6.969092379512e-02       6.485190693749e+02 
       7.236087886872e-02       5.970125390295e+02 
       7.506913687273e-02       5.440298915146e+02 
       7.782420159896e-02       4.921754348367e+02 
       8.063363844882e-02       4.439133563486e+02 
       8.350433559999e-02       4.012941011466e+02 
       8.644268850275e-02       3.657688959123e+02 
       8.945473282390e-02       3.381054956634e+02 
       9.254624175485e-02       3.183831580403e+02 
       9.572279807860e-02       3.060207948772e+02 
       9.898984797595e-02       2.997976316618e+02 
       1.023527413873e-01       2.978663326907e+02 
       1.058167623472e-01       2.978176838419e+02 
       1.093871517905e-01       2.968933046733e+02 
       1.130691247185e-01       2.924131115397e+02 
       1.168678832101e-01       2.823759532603e+02 
       1.203369434416e-01       2.682112891115e+02 
       1.207886264896e-01       2.660541745412e+02 
       1.248365590888e-01       2.443238506899e+02 
       1.290168980214e-01       2.195211090919e+02 
       1.333348798168e-01       1.948005773889e+02 
       1.377957682108e-01       1.732239034644e+02 
       1.424048632656e-01       1.569580130139e+02 
       1.471675126684e-01       1.468537685563e+02 
       1.520891259507e-01       1.423779785495e+02 
       1.571751923589e-01       1.418051973637e+02 
       1.624313031034e-01       1.422111749702e+02 
       1.678631787145e-01       1.403490397435e+02 
       1.734767022432e-01       1.339782953834e+02 
       1.792779590687e-01       1.230006187040e+02 
       1.852732841188e-01       1.095177583126e+02 
       1.914693173864e-01       9.668933712611e+01 
       1.978730687403e-01       8.716754389096e+01 
       2.044919932049e-01       8.197997041606e+01 
       2.113340781218e-01       8.024128588558e+01 
       2.184079439494e-01       7.960719165409e+01 
       2.257229609075e-01       7.737332037859e+01 
       2.332893842835e-01       7.208502756176e+01 
       2.411185120233e-01       6.465574683464e+01 
       2.492228692930e-01       5.757643818969e+01 
       2.576164261099e-01       5.285293337916e+01 
       2.663148560158e-01       5.067777806039e+01 
       2.753358462784e-01       4.945290529147e+01 
       2.846994735133e-01       4.713813911395e+01 
       2.944286632709e-01       4.312958591466e+01 
       3.045497585975e-01       3.872839841648e+01 
       3.150932316649e-01       3.558628187553e+01 
       3.260945855491e-01       3.387310784705e+01 
       3.375955121058e-01       3.229851704829e+01 
       3.496453998119e-01       2.980352400158e+01 
       3.623033275875e-01       2.695108934071e+01 
       3.756407456294e-01       2.484408253416e+01 
       3.897451470195e-01       2.338425216772e+01 
       4.047252005586e-01       2.162438778125e+01 
       4.207180938701e-01       1.955998756126e+01 
       4.379003171363e-01       1.795049570947e+01 
       4.565039810704e-01       1.653941784074e+01 
       4.768423778917e-01       1.488774174122e+01 
       4.993516650072e-01       1.346004603255e+01 
       5.246621263283e-01       1.206953658913e+01 
       5.537269690949e-01       1.066565016193e+01 
       5.880708544995e-01       9.313425993301e+00 
       6.303069642323e-01       7.955313421487e+00 
       6.853011515997e-01       6.561471097799e+00 
       7.629279831152e-01       5.115382509624e+00 
       8.837217173674e-01       3.624610914163e+00 
       1.078558330423e+00       2.257745045801e+00 
