# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0.342105
# for k=1.09772e-05 to 1.12999 h/Mpc,
# number of wavenumbers equal to 113
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_scf                  7:delta_phi_scf       8:delta_phi_over_phi_scf    9:delta_phi_prime_scf    10:d_tot                 11:phi                   12:psi                
       1.097715918904e-05      -1.092864894900e-03      -8.199867918104e-04      -8.199868156796e-04      -1.092853026673e-03      -2.838453364727e-04      -1.288731714864e-06       7.334086222516e-04      -3.837466250111e-10      -8.200705534514e-04       5.378864822161e-01       5.377082298085e-01 
       1.381942465239e-05      -1.731655171238e-03      -1.299590602402e-03      -1.299590662356e-03      -1.731625365329e-03      -4.495702512759e-04      -2.042269327044e-06       1.162241863603e-03      -6.080219543810e-10      -1.299723240008e-03       5.378860095941e-01       5.377078196786e-01 
       1.739762487127e-05      -2.743436419061e-03      -2.059710083718e-03      -2.059710234305e-03      -2.743361572816e-03      -7.117813738464e-04      -3.236195878301e-06       1.841697539436e-03      -9.632093994905e-10      -2.059920009751e-03       5.378852606090e-01       5.377071697026e-01 
       2.190231205530e-05      -4.345412244499e-03      -3.264414926623e-03      -3.264415304837e-03      -4.345224330009e-03      -1.126240747342e-03      -5.127561118763e-06       2.918060992917e-03      -1.525478043618e-09      -3.264746907874e-03       5.378840737236e-01       5.377061396503e-01 
       2.757337722346e-05      -6.880384128004e-03      -5.173735021117e-03      -5.173735970972e-03      -6.879912469346e-03      -1.780310027464e-03      -8.122963042581e-06       4.622724545846e-03      -2.414943401347e-09      -5.174259346039e-03       5.378821930791e-01       5.377045073537e-01 
       3.471282527560e-05      -1.088803921964e-02      -8.199782320619e-03      -8.199784705851e-03      -1.088685590335e-02      -2.809906615670e-03      -1.286479794431e-05       7.321271937939e-03      -3.820458918928e-09      -8.200608729056e-03       5.378792135683e-01       5.377019209067e-01 
       4.370085785463e-05      -1.721467198684e-02      -1.299569104817e-02      -1.299569703683e-02      -1.721170534226e-02      -4.424084256681e-03      -2.036608475888e-05       1.159020622999e-02      -6.037528827697e-09      -1.299698930995e-02       5.378744940319e-01       5.376978229770e-01 
       5.501612047040e-05      -2.717895983114e-02      -2.059656099427e-02      -2.059657602611e-02      -2.717153064495e-02      -6.938237869047e-03      -3.221977725270e-05       1.833606864397e-02      -9.525002542818e-09      -2.059858978910e-02       5.378670212116e-01       5.376913319351e-01 
       6.926119211851e-05      -4.281458437241e-02      -3.264279384209e-02      -3.264283155659e-02      -4.279601310649e-02      -1.081259630481e-02      -5.091901648158e-05       2.897769377667e-02      -1.498644123030e-08      -3.264593726600e-02       5.378551951287e-01       5.376810533532e-01 
       8.719467480915e-05      -6.720535629172e-02      -5.173394791619e-02      -5.173404247684e-02      -6.715906371430e-02      -1.667831682165e-02      -8.033548851228e-05       4.571844387755e-02      -2.347793927591e-08      -5.173875052612e-02       5.378364958357e-01       5.376647854257e-01 
       1.097715918904e-04      -1.048966594427e-01      -8.198928644498e-02      -8.198952328052e-02      -1.047817838777e-01      -2.529380276712e-02      -1.264081963095e-04       7.193819427008e-02      -3.652788423240e-08      -8.199645329386e-02       5.378069687313e-01       5.376390588728e-01 
       1.381942465239e-04      -1.622640004214e-01      -1.299355044412e-01      -1.299360966120e-01      -1.619809661778e-01      -3.727377233991e-02      -1.980584052831e-04       1.127140462407e-01      -5.620305498244e-08      -1.299457687199e-01       5.377604431692e-01       5.375984258470e-01 
       1.739762487127e-04      -2.474503841268e-01      -2.059119878758e-01      -2.059134645479e-01      -2.467609275638e-01      -5.219540225973e-02      -3.082146519089e-04       1.754037060075e-01      -8.492483956947e-08      -2.059255954563e-01       5.376873769181e-01       5.375343773987e-01 
       2.190231205530e-04      -3.688873424392e-01      -3.262938267417e-01      -3.262974935488e-01      -3.672381055150e-01      -6.618221874197e-02      -4.744153180958e-04       2.699885186604e-01      -1.245354507158e-07      -3.263090525906e-01       5.375732201994e-01       5.374337356769e-01 
       2.757337722346e-04      -5.303647649460e-01      -5.170048793044e-01      -5.170139243790e-01      -5.265329505292e-01      -6.618436284001e-02      -7.174038567761e-04       4.082742262196e-01      -1.735166466097e-07      -5.170143686049e-01       5.373962653183e-01       5.372763614228e-01 
