# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=24.5
# for k=1.07585e-05 to 1.10859 h/Mpc,
# number of wavenumbers equal to 113
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_scf                  7:delta_phi_scf       8:delta_phi_over_phi_scf    9:delta_phi_prime_scf    10:d_tot                 11:phi                   12:psi                
       1.075851719600e-05      -6.415073015808e-05      -4.811405160921e-05      -4.811405213290e-05      -6.415069372828e-05      -1.754131476236e-04      -1.085048836223e-06      -3.195035207201e-05       1.933649522710e-09      -4.827207234595e-05       6.038527169926e-01       5.993501712775e-01 
       1.354417069127e-05      -1.016707779881e-04      -7.625560538691e-05      -7.625560670235e-05      -1.016706864820e-04      -2.780072134493e-04      -1.719663894482e-06      -5.063722947471e-05       3.064618462181e-09      -7.650604114989e-05       6.038523625973e-01       5.993499001600e-01 
       1.705110066492e-05      -1.611341148513e-04      -1.208569207959e-04      -1.208569241002e-04      -1.611338850038e-04      -4.406022978917e-04      -2.725428892617e-06      -8.025298945971e-05       4.857074408382e-09      -1.212538091387e-04       6.038518010759e-01       5.993494706438e-01 
       2.146606392612e-05      -2.553723009902e-04      -1.915451374499e-04      -1.915451457498e-04      -2.553717236609e-04      -6.982842967533e-04      -4.319379006357e-06      -1.271884507389e-04       7.697903642099e-09      -1.921740989220e-04       6.038509112691e-01       5.993487900533e-01 
       2.702417336779e-05      -4.047175750147e-04      -3.035781487363e-04      -3.035781695845e-04      -4.047161249157e-04      -1.106645971374e-03      -6.845406134455e-06      -2.015698557475e-04       1.220023065592e-08      -3.045748238798e-04       6.038495008130e-01       5.993477111437e-01 
       3.402141858545e-05      -6.413832753065e-04      -4.811378465504e-04      -4.811378989188e-04      -6.413796331675e-04      -1.753766771669e-03      -1.084837525756e-05      -3.194413015106e-04       1.933577862778e-08      -4.827170648410e-04       6.038472656244e-01       5.993460014027e-01 
       4.283042840251e-05      -1.016396259117e-03      -7.625493481116e-04      -7.625494796548e-04      -1.016387111849e-03      -2.779157444483e-03      -1.719134006046e-05      -5.062162720086e-04       3.064440695554e-08      -7.650512218498e-04       6.038437231476e-01       5.993432915966e-01 
       5.392031471395e-05      -1.610558721546e-03      -1.208552364357e-03      -1.208552694777e-03      -1.610535750113e-03      -4.403725347661e-03      -2.724097852295e-05      -8.021379770740e-04       4.856627847860e-08      -1.212515009117e-03       6.038381091767e-01       5.993389971044e-01 
       6.788165440533e-05      -2.551757951284e-03      -1.915409066757e-03      -1.915409896732e-03      -2.551700271396e-03      -6.977072187435e-03      -4.316035911967e-05      -1.270900152137e-03       7.696781594115e-08      -1.921683013201e-03       6.038292127698e-01       5.993321913493e-01 
       8.545793972549e-05      -4.042240972321e-03      -3.035675218060e-03      -3.035677302850e-03      -4.042096173522e-03      -1.105197333962e-02      -6.837014354322e-05      -2.013227621666e-03       1.219744657694e-07      -3.045602624927e-03       6.038151151264e-01       5.993214057012e-01 
       1.075851719600e-04      -6.401442050646e-03      -4.811111554962e-03      -4.811116791659e-03      -6.401078676781e-03      -1.750127969167e-02      -1.082729507717e-04      -3.188206040757e-03       1.932873382444e-07      -4.826804946127e-03       6.037927786354e-01       5.993043146839e-01 
       1.354417069127e-04      -1.013285802854e-02      -7.624823121348e-03      -7.624836275109e-03      -1.013194664392e-02      -2.770025645458e-02      -1.713843838437e-04      -5.046586053588e-03       3.062671655999e-07      -7.649593878765e-03       6.037573948298e-01       5.992772351457e-01 
       1.705110066492e-04      -1.602753356806e-02      -1.208384014382e-02      -1.208387318367e-02      -1.602524971626e-02      -4.380812695259e-02      -2.710823910828e-04      -7.982295279423e-03       4.852175091563e-07      -1.212284436093e-02       6.037013570977e-01       5.992343355834e-01 
       2.146606392612e-04      -2.532182567726e-02      -1.914986338282e-02      -1.914994637154e-02      -2.531611051726e-02      -6.919607189572e-02      -4.282742932954e-04      -1.261097198083e-02       7.685560776327e-07      -1.921104249403e-02       6.036126479151e-01       5.991663908364e-01 
       2.702417336779e-04      -3.993192214058e-02      -3.034613959374e-02      -3.034634803759e-02      -3.991765203599e-02      -1.090797197910e-01      -6.753577424856e-04      -1.988660056979e-02       1.216910125247e-06      -3.044150461010e-02       6.034723152547e-01       5.990588218995e-01 
       3.402141858545e-04      -6.278722711642e-02      -4.808448125603e-02      -4.808500478604e-02      -6.275172146440e-02      -1.714089509954e-01      -1.061844815250e-03      -3.126712129074e-02       1.925701954043e-06      -4.823163716177e-02       6.032505588369e-01       5.988886282387e-01 
       4.283042840251e-04      -9.826523810138e-02      -7.618142164086e-02      -7.618273646125e-02      -9.817738952062e-02      -2.680016857461e-01      -1.661668752888e-03      -4.892959070755e-02       3.044435416111e-06      -7.640473034691e-02       6.029007372233e-01       5.986196198531e-01 
       5.392031471395e-04      -1.526564722940e-01      -1.206709512926e-01      -1.206742530679e-01      -1.524410510086e-01      -4.156754304824e-01      -2.580889219576e-03      -7.599708487099e-02       4.805495933441e-06      -1.210003470854e-01       6.023503888891e-01       5.981950969946e-01 
       6.788165440533e-04      -2.343786928236e-01      -1.910794745079e-01      -1.910877646070e-01      -2.338579567206e-01      -6.364791137178e-01      -3.960777883811e-03      -1.166295872848e-01       7.564905239392e-06      -1.915414454387e-01       6.014882622253e-01       5.975268306013e-01 
       8.545793972549e-04      -3.531583847195e-01      -3.024142603920e-01      -3.024350699828e-01      -3.519284033124e-01      -9.545596163476e-01      -5.962121048813e-03      -1.755618188528e-01       1.185302132911e-05      -3.030013864831e-01       6.001467643631e-01       5.964790219654e-01 
       1.075851719600e-03      -5.163941488991e-01      -4.782370687880e-01      -4.782892840908e-01      -5.135966726013e-01      -1.383972056619e+00      -8.697357602233e-03      -2.561050372872e-01       1.841457210042e-05      -4.788257036655e-01       5.980810735012e-01       5.948463061543e-01 
       1.354417069127e-03      -7.195105397361e-01      -7.553515672921e-01      -7.554825062060e-01      -7.135365320038e-01      -1.896833588055e+00      -1.204644393639e-02      -3.547249286533e-01       2.815503117268e-05      -7.555092447342e-01       5.949511454739e-01       5.923269028973e-01 
       1.705110066492e-03      -9.273038232767e-01      -1.190807238075e+00      -1.191135560356e+00      -9.158775576428e-01      -2.360051469333e+00      -1.527784851677e-02      -4.498806362345e-01       4.172978420658e-05      -1.189408816007e+00       5.903203382018e-01       5.884952595117e-01 
       2.146606392612e-03      -1.053251495307e+00      -1.872100167500e+00      -1.872922355300e+00      -1.035459022067e+00      -2.457224593351e+00      -1.654074393756e-02      -4.870690096337e-01       5.811339655554e-05      -1.866743744838e+00       5.837095296958e-01       5.828033822675e-01 
       2.702417336779e-03      -9.801032487348e-01      -2.931554267419e+00      -2.933607603180e+00      -9.629485392748e-01      -1.735500717168e+00      -1.298302783724e-02      -3.822950685755e-01       7.114881227876e-05      -2.918177107629e+00       5.747220542912e-01       5.746412401832e-01 
       3.402141858545e-03      -7.120283270175e-01      -4.565886776709e+00      -4.570998521772e+00      -7.164646275949e-01      -1.506676001971e-01      -3.698660246924e-03      -1.088664337442e-01       6.575731189480e-05      -4.539861505189e+00       5.631649740722e-01       5.634838403197e-01 
       4.283042840251e-03      -5.855864850079e-01      -7.062184980277e+00      -7.074858268736e+00      -6.164801798995e-01       8.555341678521e-01       3.607555535937e-03       1.063076808538e-01       2.982676805203e-05      -7.021827649070e+00       5.489154627987e-01       5.490708728583e-01 
       5.392031471395e-03      -8.176630953096e-01      -1.083059195582e+01      -1.086184449441e+01      -8.035790617388e-01      -4.313793469608e-01      -2.701534205370e-03      -7.952919306781e-02       5.887789719744e-06      -1.077849191744e+01       5.313365777846e-01       5.312477136350e-01 
       6.788165440533e-03      -6.607390677252e-01      -1.643834843576e+01      -1.651488653162e+01      -6.440406159174e-01      -3.164490026421e-01      -3.823463363467e-03      -1.125871125840e-01       4.624201022747e-05      -1.637952987284e+01       5.093034327449e-01       5.093310940388e-01 
       8.545793972549e-03      -6.588736210609e-01      -2.463184981575e+01      -2.481756663416e+01      -6.828937016238e-01      -2.632994026717e-02       6.128782282906e-04       1.808778383981e-02      -1.547501057796e-05      -2.460153216869e+01       4.825266072644e-01       4.825145691232e-01 
       1.075851719600e-02      -5.174045808340e-01      -3.633199585304e+01      -3.677685484826e+01      -5.354566683799e-01      -5.006404041173e-02      -4.615149332258e-03      -1.358853623330e-01       9.372684361460e-05      -3.642902893543e+01       4.507639785047e-01       4.507801478754e-01 
       1.354417069127e-02      -6.157672887660e-01      -5.254649797999e+01      -5.359232174872e+01      -5.302333013650e-01      -1.947582663635e+00      -8.880402814563e-03      -2.623183510378e-01      -3.258091539394e-05      -5.302795208053e+01       4.139674293133e-01       4.139674567885e-01 
       1.705110066490e-02      -7.403568313999e-01      -7.409838228394e+01      -7.648855618878e+01      -4.660086968756e-01      -8.252192274764e-01      -8.139097732575e-04      -2.435733638565e-02      -5.373486567206e-05      -7.555300340512e+01       3.721235302492e-01       3.721250724249e-01 
       2.146606383957e-02      -3.847183070341e-01      -1.011195260023e+02      -1.063479129798e+02      -4.158753507634e-01      -1.351732455217e+00      -4.219090953134e-03      -1.263082100367e-01      -5.535068079353e-06      -1.047715661007e+02       3.255832732154e-01       3.255847794407e-01 
       2.702409500768e-02      -3.671300108999e-01      -1.325993958959e+02      -1.432681342889e+02      -3.634847336928e-01       1.450219193965e+00       3.634315767110e-04       1.220386645392e-02       4.252335170668e-05      -1.406251201844e+02       2.757185514362e-01       2.757185321598e-01 
       3.400892740189e-02      -2.985164139953e-01      -1.670624108713e+02      -1.865032940156e+02      -2.984639086576e-01       5.540644316662e-01      -1.424060319066e-03      -4.265032699204e-02       2.482826013456e-05      -1.822695247788e+02       2.256471346704e-01       2.256471346896e-01 
       4.235904818299e-02      -2.411616268228e-01      -2.053729173340e+02      -2.344602893331e+02      -2.411187674911e-01       1.839858721680e-01      -3.886748086299e-04      -1.154046859858e-02       2.091541019165e-05      -2.284739502211e+02       1.823238868357e-01       1.823238868357e-01 
