# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0.821429
# for k=9.62926e-06 to 1.21482 h/Mpc,
# number of wavenumbers equal to 114
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_scf                  7:delta_phi_scf       8:delta_phi_over_phi_scf    9:delta_phi_prime_scf    10:d_tot                 11:phi                   12:psi                
       9.629258972225e-06      -8.862902380377e-04      -6.649354659559e-04      -6.649354825165e-04      -8.862812426472e-04      -2.539010629916e-03      -3.099318089838e-06      -7.506673304809e-04       6.738430076399e-12      -6.650323379508e-04       5.568939944338e-01       5.566441086850e-01 
       1.212251881688e-05      -1.404405275503e-03      -1.053850963927e-03      -1.053851005523e-03      -1.404382683342e-03      -4.022361848602e-03      -4.911048014303e-06      -1.189475619832e-03       1.092525532671e-11      -1.054004389610e-03       5.568934903359e-01       5.566436744457e-01 
       1.526134699352e-05      -2.225154086683e-03      -1.670239386258e-03      -1.670239490735e-03      -2.225097350626e-03      -6.370747960280e-03      -7.780874331415e-06      -1.884559121392e-03       1.793192454388e-11      -1.670482283182e-03       5.568926914568e-01       5.566429862544e-01 
       1.921289754836e-05      -3.524928452905e-03      -2.647146430692e-03      -2.647146693094e-03      -3.524785989662e-03      -1.008624485251e-02      -1.232529531076e-05      -2.985236203949e-03       2.996787730041e-11      -2.647530727479e-03       5.568914254750e-01       5.566418956238e-01 
       2.418760495782e-05      -5.582359616920e-03      -4.195432797847e-03      -4.195433456839e-03      -5.582001969535e-03      -1.595873958825e-02      -1.951780920212e-05      -4.727292075750e-03       5.137939282296e-11      -4.196040188080e-03       5.568894194211e-01       5.566401672892e-01 
       3.045039053184e-05      -8.836714269872e-03      -6.649283848388e-03      -6.649285503185e-03      -8.835816712234e-03      -2.522546077499e-02      -3.089231429903e-05      -7.482243108219e-03       9.116935696460e-11      -6.650242283474e-03       5.568862410245e-01       5.566374285621e-01 
       3.833477043959e-05      -1.397833706700e-02      -1.053833179336e-02      -1.053833594796e-02      -1.397608573314e-02      -3.981060830992e-02      -4.885734905119e-05      -1.183344707923e-02       1.688904970767e-10      -1.053984024339e-02       5.568812059224e-01       5.566330890699e-01 
       4.826061666170e-05      -2.208673241531e-02      -1.670194724103e-02      -1.670195766876e-02      -2.208109015203e-02      -6.267227639762e-02      -7.717384287832e-05      -1.869181639989e-02       3.286963131089e-10      -1.670431149622e-02       5.568732322173e-01       5.566262147754e-01 
       6.075651670427e-05      -3.483634474333e-02      -2.647034287092e-02      -2.647036903169e-02      -3.482222296470e-02      -9.827099705875e-02      -1.216618738530e-04      -2.946699780889e-02       6.732028774038e-10      -2.647402372030e-02       5.568606103557e-01       5.566153277056e-01 
       7.648792281111e-05      -5.479046552823e-02      -4.195151274211e-02      -4.195157832582e-02      -5.475519516530e-02      -1.531131231326e-01      -1.911962752054e-04      -4.630851261529e-02       1.445331971173e-09      -4.195718115010e-02       5.568406449634e-01       5.565980926319e-01 
