# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0.214286
# for k=1.04629e-05 to 1.08667 h/Mpc,
# number of wavenumbers equal to 113
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_scf                  7:delta_phi_scf       8:delta_phi_over_phi_scf    9:delta_phi_prime_scf    10:d_tot                 11:phi                   12:psi                
       1.046294440213e-05      -1.179959977734e-03      -8.853714204371e-04      -8.853714492053e-04      -1.179946252736e-03      -2.548712123029e-03      -6.298007622905e-07       9.137466036136e-04      -2.436730693279e-09      -8.854817690698e-04       5.115520825618e-01       5.113597883905e-01 
       1.317206659003e-05      -1.869612982936e-03      -1.403217976523e-03      -1.403218048781e-03      -1.869578514578e-03      -4.038450646975e-03      -9.980474480359e-07       1.448015443463e-03      -3.861283046197e-09      -1.403392707511e-03       5.115515236586e-01       5.113593036352e-01 
       1.658264935604e-05      -2.961887492162e-03      -2.223947703550e-03      -2.223947885042e-03      -2.961800940529e-03      -6.398037189430e-03      -1.581498479737e-06       2.294509453940e-03      -6.118026391896e-09      -2.224224232223e-03       5.115506379506e-01       5.113585353993e-01 
       2.087631866919e-05      -4.691138571473e-03      -3.524712254181e-03      -3.524712710013e-03      -4.690921278882e-03      -1.013398908342e-02      -2.505752377583e-06       3.635446401561e-03      -9.692162337014e-09      -3.525149515177e-03       5.115492344339e-01       5.113573179521e-01 
       2.628172807736e-05      -7.427080756029e-03      -5.586274068220e-03      -5.586275212997e-03      -7.426535400376e-03      -1.604568490719e-02      -3.969457061363e-06       5.759017023863e-03      -1.535035688731e-08      -5.586964551902e-03       5.115470106014e-01       5.113553887411e-01 
       3.308673534245e-05      -1.175137926296e-02      -8.853601559772e-03      -8.853604434441e-03      -1.175001121569e-02      -2.539153592290e-02      -6.286413123727e-06       9.120454137222e-03      -2.430185696066e-08      -8.854689560694e-03       5.115434875496e-01       5.113523319327e-01 
       4.165373191592e-05      -1.857517020080e-02      -1.403189687005e-02      -1.403190408739e-02      -1.857174107265e-02      -4.014465724024e-02      -9.951365130667e-06       1.443744475865e-02      -3.844856508279e-08      -1.403360534008e-02       5.115379076141e-01       5.113474891875e-01 
       5.243894160501e-05      -2.931569302671e-02      -2.223876665489e-02      -2.223878477009e-02      -2.930710824416e-02      -6.337888533460e-02      -1.574192054484e-05       2.283789637857e-02      -6.076818431401e-08      -2.224143460965e-02       5.115290733568e-01       5.113398188991e-01 
       6.601671615414e-05      -4.615242688060e-02      -3.524533902103e-02      -3.524538446895e-02      -4.613097709041e-02      -9.983294825618e-02      -2.487421412997e-05       3.608552754632e-02      -9.588865821382e-08      -3.524946805433e-02       5.115150954088e-01       5.113276747124e-01 
       8.311012156965e-05      -7.237468974674e-02      -5.585826415578e-02      -5.585837809572e-02      -7.232126223041e-02      -1.566871487560e-01      -3.923499045969e-05       5.691595713971e-02      -1.509173421610e-07      -5.586456076171e-02       5.114930003885e-01       5.113084585406e-01 
       1.046294440213e-04      -1.127916611735e-01      -8.852478486665e-02      -8.852507019764e-02      -1.126592392085e-01      -2.445079464854e-01      -6.171318167897e-05       8.951625049747e-02      -2.365557946976e-07      -8.853415131448e-02       5.114581281594e-01       5.112780806824e-01 
