# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0.5
# for k=1.15441e-05 to 1.04442 h/Mpc,
# number of wavenumbers equal to 112
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_scf                  7:delta_phi_scf       8:delta_phi_over_phi_scf    9:delta_phi_prime_scf    10:d_tot                 11:phi                   12:psi                
       1.154411758420e-05      -1.001275644235e-03      -7.512355510011e-04      -7.512355796491e-04      -1.001266263087e-03      -9.529409813857e-04       3.700377342996e-06      -3.088380556172e-03       3.102086157742e-10      -7.513456665916e-04       5.592204392309e-01       5.589644094297e-01 
       1.453318298349e-05      -1.586569104680e-03      -1.190627115092e-03      -1.190627187050e-03      -1.586545544440e-03      -1.509430720548e-03       5.863657063509e-06      -4.893901045346e-03       4.913607553553e-10      -1.190801504764e-03       5.592198367562e-01       5.589638878035e-01 
       1.829619337217e-05      -2.513674073873e-03      -1.887014308656e-03      -1.887014489394e-03      -2.513614909688e-03      -2.390079148565e-03       9.290646274540e-06      -7.754172193916e-03       7.780341522116e-10      -1.887290366747e-03       5.592188819799e-01       5.589630611235e-01 
       2.303354277533e-05      -3.981724273083e-03      -2.990709850504e-03      -2.990710304451e-03      -3.981575724888e-03      -3.782478878465e-03       1.471808837856e-05      -1.228416122517e-02       1.231293125298e-09      -2.991146542271e-03       5.592173689646e-01       5.589617510266e-01 
       2.899751232351e-05      -6.305133788348e-03      -4.739939906108e-03      -4.739941046188e-03      -6.304760912865e-03      -5.980917248146e-03       2.331004582878e-05      -1.945559421150e-02       1.946930532827e-09      -4.740629930545e-03       5.592149715088e-01       5.589596749226e-01 
       3.650570514287e-05      -9.979228309704e-03      -7.512258866816e-03      -7.512261729835e-03      -9.978292725921e-03      -9.444226303433e-03       3.690238814779e-05      -3.080118133022e-02       3.074294137619e-09      -7.513347249842e-03       5.592111730816e-01       5.589563851706e-01 
       4.595795987983e-05      -1.578156721359e-02      -1.190602842776e-02      -1.190603561643e-02      -1.577922125688e-02      -1.488064428335e-02       5.838212049132e-05      -4.873164225528e-02       4.843897811653e-09      -1.190774028111e-02       5.592051559583e-01       5.589511726545e-01 
       5.785764356694e-05      -2.492580898424e-02      -1.886953355283e-02      -1.886955159835e-02      -2.491993258783e-02      -2.336531258127e-02       9.226806830573e-05      -7.702143599132e-02       7.605636183562e-09      -1.887221380599e-02       5.591956279165e-01       5.589429158483e-01 
       7.283845775294e-05      -3.928890627188e-02      -2.990556804917e-02      -2.990561333137e-02      -3.927421044474e-02      -3.648446853951e-02       1.455805532582e-04      -1.215373051578e-01       1.187563909765e-08      -2.990973383387e-02       5.591805472773e-01       5.589298400126e-01 
       9.169818542108e-05      -6.173016550997e-02      -4.739555718933e-02      -4.739567074988e-02      -6.169350878160e-02      -5.646127453396e-02       2.290935443760e-04      -1.912900083039e-01       1.837702475913e-08      -4.740195475288e-02       5.591566967937e-01       5.589091420228e-01 
