# Matter power spectrum P(k) at redshift z=0.758621
# for k=8.81186e-06 to 1.11467 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.811855594169e-06       4.090341140395e+01 
       1.109346893256e-05       5.109857447983e+01 
       1.396584994415e-05       6.383481480422e+01 
       1.758196339199e-05       7.974541634046e+01 
       2.213438050342e-05       9.962142773795e+01 
       2.786553409007e-05       1.244509046816e+02 
       3.508062897921e-05       1.554678543664e+02 
       4.416389528365e-05       1.942132236377e+02 
       5.559905005640e-05       2.426107797411e+02 
       6.999505698762e-05       3.030612973887e+02 
       8.811855594169e-05       3.785590287146e+02 
       1.109346893256e-04       4.728348688987e+02 
       1.396584994415e-04       5.905306710456e+02 
       1.758196339199e-04       7.374082994745e+02 
       2.213438050342e-04       9.205943482231e+02 
       2.786553409007e-04       1.148855666747e+03 
       3.508062897921e-04       1.432890437675e+03 
       4.416389528365e-04       1.785604134947e+03 
       5.559905005640e-04       2.222321880109e+03 
       6.999505698762e-04       2.760871276303e+03 
       8.811855594169e-04       3.421430685001e+03 
       1.109346893256e-03       4.225793423075e+03 
       1.396584994415e-03       5.195894405506e+03 
       1.758196339199e-03       6.351008612297e+03 
       2.213438050342e-03       7.702906252031e+03 
       2.786553409007e-03       9.249304766346e+03 
       3.508062897921e-03       1.096422049594e+04 
       4.416389528365e-03       1.278647205431e+04 
       5.559905005640e-03       1.460834430101e+04 
       6.999505698762e-03       1.626773172490e+04 
       8.811855594169e-03       1.754774227598e+04 
       1.109346893256e-02       1.818189851258e+04 
       1.396584994415e-02       1.787543626653e+04 
       1.758196336674e-02       1.639696381463e+04 
       2.213435084080e-02       1.376158143566e+04 
       2.785968815622e-02       1.043442133751e+04 
       3.481539516025e-02       7.434194602682e+03 
       4.126074786726e-02       5.847559534959e+03 
       4.587267516582e-02       5.246945120462e+03 
       4.957774044497e-02       4.968711994613e+03 
       5.284047576296e-02       4.807032209478e+03 
       5.585952399448e-02       4.683731843505e+03 
       5.873643951421e-02       4.560602452961e+03 
       6.153062710550e-02       4.416931351903e+03 
       6.428039286488e-02       4.242229188259e+03 
       6.701234300978e-02       4.033355165010e+03 
       6.974609129104e-02       3.792985357083e+03 
       7.249683121622e-02       3.528372529991e+03 
       7.527684008590e-02       3.250021230870e+03 
       7.809640723434e-02       2.970202927939e+03 
       8.096443259105e-02       2.701401859795e+03 
       8.388882682572e-02       2.454870666182e+03 
       8.687678694336e-02       2.239487869902e+03 
       8.993499081873e-02       2.061043257355e+03 
       9.306973728369e-02       1.921953587077e+03 
       9.628704861341e-02       1.821285714826e+03 
       9.959274640103e-02       1.754909559734e+03 
       1.029925081937e-01       1.715673511543e+03 
       1.064919099725e-01       1.693680534301e+03 
       1.100964580772e-01       1.676945579796e+03 
       1.138116132087e-01       1.652767804338e+03 
       1.176428084932e-01       1.609914137946e+03 
       1.215954631678e-01       1.541217734879e+03 
       1.256749931595e-01       1.445708853946e+03 
       1.298868196411e-01       1.329283907835e+03 
       1.300390117035e-01       1.324892054169e+03 
       1.342363765269e-01       1.203360523745e+03 
       1.387291177894e-01       1.081799798316e+03 
       1.433705254325e-01       9.771723791480e+02 
       1.481661189243e-01       8.976974491262e+02 
       1.531214668717e-01       8.456598713382e+02 
       1.582422017101e-01       8.173852580604e+02 
       1.635340381681e-01       8.041922925332e+02 
       1.690027962676e-01       7.925791549653e+02 
       1.746544296155e-01       7.699987531593e+02 
       1.804950597558e-01       7.294100114965e+02 
       1.865310173746e-01       6.722465376354e+02 
       1.927688911965e-01       6.073440762464e+02 
       1.992155854862e-01       5.467342397611e+02 
       2.058783871948e-01       5.002225162360e+02 
       2.127650439596e-01       4.710590517652e+02 
       2.198838544263e-01       4.549689164057e+02 
       2.272437727025e-01       4.426240137959e+02 
       2.348545292242e-01       4.242493316310e+02 
       2.427267709447e-01       3.954254955094e+02 
       2.508722245817e-01       3.601972791086e+02 
       2.593038877635e-01       3.271597234876e+02 
       2.680362543615e-01       3.027229055604e+02 
       2.770855822383e-01       2.871922519233e+02 
       2.864702142234e-01       2.750012985098e+02 
       2.962109666404e-01       2.597805052830e+02 
       3.063316045027e-01       2.398097178589e+02 
       3.168594291430e-01       2.191186787719e+02 
       3.278260133934e-01       2.025466948902e+02 
       3.392681327801e-01       1.904738845843e+02 
       3.512289605845e-01       1.793122748162e+02 
       3.637596232898e-01       1.661820077393e+02 
       3.769212561738e-01       1.522559710965e+02 
       3.907877654597e-01       1.404505053869e+02 
       4.054496086588e-01       1.307971521097e+02 
       4.210190752933e-01       1.208366026228e+02 
       4.376378349233e-01       1.103310029943e+02 
       4.554880107135e-01       1.010707509311e+02 
       4.748089166822e-01       9.259813119906e+01 
       4.959232404547e-01       8.387315065649e+01 
       5.192796743455e-01       7.569909062130e+01 
       5.455256626676e-01       6.786164723890e+01 
       5.756385999134e-01       6.006734803009e+01 
       6.111783544570e-01       5.247548563238e+01 
       6.548111499869e-01       4.484322102113e+01 
       7.114858873938e-01       3.705686379898e+01 
       7.912181782751e-01       2.897433961059e+01 
       9.148819831512e-01       2.062207507587e+01 
       1.114671358925e+00       1.290311557345e+01 
