# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=2.64286
# for k=9.16322e-06 to 1.15736 h/Mpc,
# number of wavenumbers equal to 114
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_scf                  7:delta_phi_scf       8:delta_phi_over_phi_scf    9:delta_phi_prime_scf    10:d_tot                 11:phi                   12:psi                
       9.163224866254e-06      -4.839103025668e-04      -3.629957425559e-04      -3.629957489226e-04      -4.839080713734e-04      -2.708291848516e-04       1.651576879344e-06       2.629026684831e-03       3.001195367052e-10      -3.631017329105e-04       5.929783921311e-01       5.924358257807e-01 
       1.153581663811e-05      -7.668677953738e-04      -5.753091269059e-04      -5.753091428977e-04      -7.668621912977e-04      -4.291484650191e-04       2.617401225299e-06       4.166473945328e-03       4.755609604920e-10      -5.754770439946e-04       5.929778951404e-01       5.924354093151e-01 
       1.452273271152e-05      -1.215206769526e-03      -9.118026286894e-04      -9.118026688565e-04      -1.215192694427e-03      -6.799362583490e-04       4.147870515957e-06       6.602782634383e-03       7.534710301002e-10      -9.120685928160e-04       5.929771074987e-01       5.924347492787e-01 
       1.828303725922e-05      -1.925478748688e-03      -1.445107543312e-03      -1.445107644197e-03      -1.925443400424e-03      -1.077078289970e-03       6.572849621640e-06       1.046311406781e-02       1.193562582225e-09      -1.445528649841e-03       5.929758592604e-01       5.924337032342e-01 
       2.301698021041e-05      -3.050437209253e-03      -2.290335492093e-03      -2.290335745464e-03      -3.050348445426e-03      -1.705677945638e-03       1.041454598327e-05       1.657892042395e-02       1.890141283411e-09      -2.291001850819e-03       5.929738811672e-01       5.924320454761e-01 
       2.897666128965e-05      -4.831501596150e-03      -3.629923025078e-03      -3.629923661361e-03      -4.831278738941e-03      -2.699861699048e-03       1.649912274008e-05       2.626578986822e-02       2.991835122759e-09      -3.630976495986e-03       5.929707466694e-01       5.924294183780e-01 
       3.647945524650e-05      -7.649594232474e-03      -5.753004866760e-03      -5.753006464399e-03      -7.649034867953e-03      -4.270318912584e-03       2.613222329458e-05       4.160329215424e-02       4.732108654222e-09      -5.754667888397e-03       5.929657802627e-01       5.924252553942e-01 
       4.592491321822e-05      -1.210417215757e-02      -9.117809285609e-03      -9.117813296188e-03      -1.210276879754e-02      -6.746243206500e-03       4.137377568857e-05       6.587352647461e-02       7.475730291253e-09      -9.120428396934e-03       5.929579126527e-01       5.924186592366e-01 
       5.781604028486e-05      -1.913464074937e-02      -1.445053044447e-02      -1.445054050861e-02      -1.913112242598e-02      -1.063863638609e-02       6.546845867176e-05       1.042489452025e-01       1.178890008477e-08      -1.445463985784e-02       5.929454530127e-01       5.924082099864e-01 
       7.278608232393e-05      -3.020321874895e-02      -2.290198649796e-02      -2.290201173826e-02      -3.019440795621e-02      -1.672444283689e-02       1.034898042891e-04       1.648252207287e-01       1.853241053844e-08      -2.290839528695e-02       5.929257274974e-01       5.923916588714e-01 
