# Matter power spectrum P(k) at redshift z=0
# for k=1.12981e-05 to 1.16239 h/Mpc,
# number of wavenumbers equal to 113
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.129806043333e-05       3.208579656777e+01 
       1.422341538351e-05       4.008318221794e+01 
       1.790621906880e-05       5.007387379807e+01 
       2.254259421486e-05       6.255465044248e+01 
       2.837944470486e-05       7.814605950386e+01 
       3.572760411155e-05       9.762321227021e+01 
       4.497838871856e-05       1.219542029875e+02 
       5.662443653935e-05       1.523480003222e+02 
       7.128594208791e-05       1.903140708090e+02 
       8.974368399815e-05       2.377364611734e+02 
       1.129806043333e-04       2.969655560196e+02 
       1.422341538351e-04       3.709311668419e+02 
       1.790621906880e-04       4.632808341243e+02 
       2.254259421486e-04       5.785469344245e+02 
       2.837944470486e-04       7.223448770938e+02 
       3.572760411155e-04       9.016016718733e+02 
       4.497838871856e-04       1.124808873300e+03 
       5.662443653935e-04       1.402286545891e+03 
       7.128594208791e-04       1.746436215556e+03 
       8.974368399815e-04       2.171945984569e+03 
       1.129806043333e-03       2.695864407979e+03 
       1.422341538351e-03       3.337359242785e+03 
       1.790621906880e-03       4.116931164253e+03 
       2.254259421486e-03       5.054104680707e+03 
       2.837944470486e-03       6.165716015185e+03 
       3.572760411155e-03       7.461501439899e+03 
       4.497838871856e-03       8.937853662868e+03 
       5.662443653935e-03       1.056862556985e+04 
       7.128594208791e-03       1.229531891959e+04 
       8.974368399815e-03       1.401606484814e+04 
       1.129806043333e-02       1.557365754456e+04 
       1.422341538351e-02       1.674935578218e+04 
       1.790621906878e-02       1.727698440764e+04 
       2.254259410093e-02       1.689255465488e+04 
       2.837934730035e-02       1.545448170523e+04 
       3.571278600568e-02       1.316374473938e+04 
       4.444182059438e-02       1.078708004295e+04 
       5.199280468517e-02       9.351654250786e+03 
       5.743817781183e-02       8.624573672452e+03 
       6.189771391209e-02       8.154241639828e+03 
       6.586492007536e-02       7.786778103332e+03 
       6.955719168885e-02       7.460142651985e+03 
       7.308850911377e-02       7.144643918488e+03 
       7.652675498416e-02       6.825543029625e+03 
       7.991629300640e-02       6.496645050365e+03 
       8.328826369669e-02       6.157374502904e+03 
       8.666582327098e-02       5.811068849622e+03 
       9.006704136353e-02       5.463700022083e+03 
       9.350661177327e-02       5.122747468996e+03 
       9.699691650923e-02       4.796150749193e+03 
       1.005487163013e-01       4.491349043851e+03 
       1.041716146449e-01       4.214447416872e+03 
       1.078743787971e-01       3.969554806721e+03 
       1.116651671652e-01       3.758331834047e+03 
       1.155516935205e-01       3.579763232768e+03 
       1.195413473999e-01       3.430166685250e+03 
       1.236412833850e-01       3.303440846235e+03 
       1.278584878109e-01       3.191585093090e+03 
       1.321998288263e-01       3.085542625464e+03 
       1.366720940194e-01       2.976398096860e+03 
       1.412820187076e-01       2.856853656969e+03 
       1.460363072399e-01       2.722721050770e+03 
       1.509416491698e-01       2.573985343069e+03 
       1.560047318226e-01       2.414977738274e+03 
       1.612322505686e-01       2.253430141046e+03 
       1.666309179690e-01       2.098592354555e+03 
       1.673360107095e-01       2.079679480903e+03 
       1.722074728733e-01       1.958933179524e+03 
       1.779686904903e-01       1.840042654127e+03 
       1.839213944201e-01       1.743231299225e+03 
       1.900724716105e-01       1.665149381776e+03 
       1.964288911901e-01       1.598610561475e+03 
       2.029977281150e-01       1.534618615350e+03 
       2.097861925673e-01       1.465642403971e+03 
       2.168016660408e-01       1.386992839977e+03 
       2.240517450660e-01       1.299913185335e+03 
       2.315442935602e-01       1.210722524737e+03 
       2.392875048500e-01       1.127455680826e+03 
       2.472899745168e-01       1.055696397599e+03 
       2.555607853750e-01       9.964897744365e+02 
       2.641096061241e-01       9.467802388269e+02 
       2.729468055453e-01       9.008873890588e+02 
       2.820835845607e-01       8.531250299679e+02 
       2.915321290851e-01       8.013240837422e+02 
       3.013057874076e-01       7.479004138686e+02 
       3.114192769153e-01       6.974097314497e+02 
       3.218889263918e-01       6.533719832963e+02 
       3.327329620009e-01       6.157104249999e+02 
       3.439718475699e-01       5.810053729001e+02 
       3.556286931465e-01       5.461020798412e+02 
       3.677297503499e-01       5.103558567671e+02 
       3.803050192833e-01       4.756807716486e+02 
       3.933890004366e-01       4.442850165729e+02 
       4.070216372357e-01       4.160993073343e+02 
       4.212495123828e-01       3.894045409443e+02 
       4.361273866172e-01       3.629102696296e+02 
       4.517202063164e-01       3.373423445609e+02 
       4.681057635634e-01       3.135752253273e+02 
       4.853782808051e-01       2.914262487995e+02 
       5.036533325173e-01       2.701647188773e+02 
       5.230747447395e-01       2.495776724165e+02 
       5.438244966819e-01       2.300634124125e+02 
       5.661373138862e-01       2.115770368524e+02 
       5.903228416746e-01       1.936511353222e+02 
       6.168005444625e-01       1.764057998532e+02 
       6.461569363923e-01       1.597473672198e+02 
       6.792440658608e-01       1.434601839977e+02 
       7.173588992524e-01       1.274658134567e+02 
       7.625926119189e-01       1.115407633371e+02 
       8.185646580555e-01       9.544715468827e+01 
       8.920908824301e-01       7.885191739610e+01 
       9.971303128752e-01       6.141276777397e+01 
       1.162390927871e+00       4.331401520902e+01 
