#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:a                      2:tau [Mpc]              3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_phi_scf      19:delta_phi_over_phi_scf   20:delta_phi_prime_scf    21:delta_scf             22:theta_scf          
       1.407200391759e-06       7.008418738517e-01      -1.231713741981e+00       2.151681679467e-03       4.931088951698e-09       1.232772237925e-08       1.589249822806e-15       2.465544475849e-09      -9.237853064855e-01       2.151681679467e-03       6.148449018650e-01       6.923231714773e-01      -1.231713741981e+00       2.151210801961e-03       2.012855779592e-04      -9.237853064855e-01       2.152636595734e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       1.164340016806e-10       2.152636595734e-03 
       2.111222673666e-06       1.050841873848e+00      -1.234454869389e+00       3.224356755037e-03       1.660400984456e-08       4.151002461139e-08       1.204532452122e-14       8.302004922278e-09      -9.258411520419e-01       3.224356755157e-03       6.146484299169e-01       6.919515216287e-01      -1.234454423365e+00       3.222769414290e-03       4.520372561852e-04      -9.258418300593e-01       3.227573032310e-03       8.824323375717e-14       5.428749943233e-14       6.441991766999e-13       5.889109740005e-10       3.226558990261e-03 
       3.167781808491e-06       1.575317594990e+00      -1.239576189176e+00       4.825463828668e-03       5.551311505858e-08       1.387827876465e-07       9.066581276014e-14       2.775655752929e-08      -9.296821418826e-01       4.825463829849e-03       6.143335401949e-01       6.913749690997e-01      -1.239573491565e+00       4.820118292171e-03       1.014207384997e-03      -9.296862394595e-01       4.836284294784e-03       1.314194556335e-12       8.084963938197e-13       5.160104593837e-12       2.977089392081e-09       4.831806948638e-03 
       4.753798893957e-06       2.360856013974e+00      -1.250289475788e+00       7.204725227058e-03       1.871568512523e-07       4.678921281307e-07       6.883745104640e-13       9.357842562614e-08      -9.377171068450e-01       7.204725236605e-03       6.136891996511e-01       6.902722445837e-01      -1.250275433173e+00       7.186754202961e-03       2.270283343673e-03      -9.377384163110e-01       7.241064137792e-03       1.533637386755e-11       9.434982774902e-12       3.908634762846e-11       1.503166007515e-08       7.225568867522e-03 
       7.135460938958e-06       3.536534475241e+00      -1.273318922763e+00       1.070570981355e-02       6.292886532040e-07       1.573221633010e-06       5.214724958426e-12       3.146443266020e-07      -9.549891921154e-01       1.070570988702e-02       6.122929403950e-01       6.880271033583e-01      -1.273247917381e+00       1.064550802938e-02       5.057809569108e-03      -9.550968562239e-01       1.082738838688e-02       1.734948014432e-10       1.067345189329e-10       2.940931693091e-10       7.574289469730e-08       1.077538034607e-02 
       1.071383620189e-05       5.294186392954e+00      -1.323090079994e+00       1.574623556999e-02       2.076901369427e-06       5.192253423568e-06       3.880103564887e-11       1.038450684714e-06      -9.923175604843e-01       1.574623612545e-02       6.092380121167e-01       6.833464143606e-01      -1.322735041285e+00       1.554606875619e-02       1.115642365763e-02      -9.928561781191e-01       1.615160566698e-02       1.944679837717e-09       1.196372919621e-09       2.198277477063e-09       3.802486471235e-07       1.597853440984e-02 
       1.609446975196e-05       7.917631516875e+00      -1.429852734144e+00       2.264778833046e-02       6.771740056819e-06       1.692935014205e-05       2.854901079898e-10       3.385870028410e-06      -1.072389556086e+00       2.264779247688e-02       6.025767831039e-01       6.735063390230e-01      -1.428101047709e+00       2.199279554024e-02       2.409125579828e-02      -1.075059536434e+00       2.398616536059e-02       2.155286229596e-08       1.325939096360e-08       1.624010226330e-08       1.895614388018e-06       2.341613755424e-02 
       2.419429324745e-05       1.182401816497e+01      -1.652930742108e+00       3.096504128814e-02       2.069841037809e-05       5.174602594521e-05       1.971970046334e-09       1.034920518904e-05      -1.239698116821e+00       3.096507165142e-02       5.882312973928e-01       6.529351979850e-01      -1.644507023553e+00       2.889481798305e-02       4.964813402766e-02      -1.252744045068e+00       3.531129878247e-02       2.341640806864e-07       1.440587687938e-07       1.173471279411e-07       9.326087290412e-06       3.346821768127e-02 
       3.471520969722e-05       1.682401816497e+01      -2.024517677347e+00       3.700994559904e-02       5.108332225242e-05       1.277083056311e-04       1.001973326454e-08       2.554166112621e-05      -1.518388746076e+00       3.701011665490e-02       5.628328229848e-01       6.174883036156e-01      -1.992196214524e+00       3.163029505214e-02       8.630876809626e-02      -1.570306136701e+00       4.900799445423e-02       1.870825401221e-06       1.150948282102e-06       6.506199793290e-07       3.739893885558e-05       4.395385724864e-02 
       4.540860066212e-05       2.182401816497e+01      -2.449207007820e+00       3.675980344911e-02       8.710893185199e-05       2.177723296300e-04       2.923320053571e-08       4.355446592600e-05      -1.836907495439e+00       3.676039922444e-02       5.306302562761e-01       5.737223004280e-01      -2.365799769873e+00       2.663025700235e-02       1.163881496722e-01      -1.978563810061e+00       6.156713124833e-02       8.473547974385e-06       5.213093459715e-06       2.233030919801e-06       1.030321290045e-04       5.119718079052e-02 
