# Matter power spectrum P(k) at redshift z=0.0851064
# for k=8.52997e-06 to 1.07856 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       8.529969801220e-06       6.791535593103e+01 
       1.073859574459e-05       8.484321062204e+01 
       1.351909106985e-05       1.059901946679e+02 
       1.701952729220e-05       1.324077676078e+02 
       2.142631540487e-05       1.654093043770e+02 
       2.697413294431e-05       2.066352187889e+02 
       3.395842142470e-05       2.581341632004e+02 
       4.275111967598e-05       3.224641597730e+02 
       5.382047094274e-05       4.028183306134e+02 
       6.775595854454e-05       5.031807710098e+02 
       8.529969801220e-05       6.285189270894e+02 
       1.073859574459e-04       7.850193429539e+02 
       1.351909106985e-04       9.803733001750e+02 
       1.701952729220e-04       1.224116710090e+03 
       2.142631540487e-04       1.528023011402e+03 
       2.697413294431e-04       1.906536507304e+03 
       3.395842142470e-04       2.377214417483e+03 
       4.275111967598e-04       2.961118922725e+03 
       5.382047094274e-04       3.683067184456e+03 
       6.775595854454e-04       4.571588227454e+03 
       8.529969801220e-04       5.658166792507e+03 
       1.073859574459e-03       6.975188091300e+03 
       1.351909106985e-03       8.552637433588e+03 
       1.701952729220e-03       1.041082061954e+04 
       2.142631540487e-03       1.254985825871e+04 
       2.697413294431e-03       1.493672616993e+04 
       3.395842142470e-03       1.749049095799e+04 
       4.275111967598e-03       2.007207450829e+04 
       5.382047094274e-03       2.247750493427e+04 
       6.775595854454e-03       2.443494927449e+04 
       8.529969801220e-03       2.562940846742e+04 
       1.073859574459e-02       2.575959922784e+04 
       1.351909106985e-02       2.457749605134e+04 
       1.701952725976e-02       2.196015236805e+04 
       2.142627991826e-02       1.805192800661e+04 
       2.696753290069e-02       1.347391404216e+04 
       3.367352842981e-02       9.482430909512e+03 
       3.979358733457e-02       7.416280546636e+03 
       4.417592311872e-02       6.638121044520e+03 
       4.771208015180e-02       6.288406138478e+03 
       5.083333583562e-02       6.100071585213e+03 
       5.372529509543e-02       5.968897149781e+03 
       5.648338812452e-02       5.841920873014e+03 
       5.916366386019e-02       5.688654509016e+03 
       6.180237340205e-02       5.491929710709e+03 
       6.442475517041e-02       5.244524866718e+03 
       6.704945064175e-02       4.947559161653e+03 
       6.969092379512e-02       4.609202748369e+03 
       7.236087886872e-02       4.243131431634e+03 
       7.506913687273e-02       3.866568960803e+03 
       7.782420159896e-02       3.498024896553e+03 
       8.063363844882e-02       3.155012914395e+03 
       8.350433559999e-02       2.852106100009e+03 
       8.644268850275e-02       2.599618717979e+03 
       8.945473282390e-02       2.403007408852e+03 
       9.254624175485e-02       2.262835466232e+03 
       9.572279807860e-02       2.174972924380e+03 
       9.898984797595e-02       2.130743386512e+03 
       1.023527413873e-01       2.117017311300e+03 
       1.058167623472e-01       2.116671727795e+03 
       1.093871517905e-01       2.110102043310e+03 
       1.130691247185e-01       2.078260146339e+03 
       1.168678832101e-01       2.006923297057e+03 
       1.203369434416e-01       1.906251075384e+03 
       1.207886264896e-01       1.890919858422e+03 
       1.248365590888e-01       1.736476363163e+03 
       1.290168980214e-01       1.560196346803e+03 
       1.333348798168e-01       1.384500648950e+03 
       1.377957682108e-01       1.231149263484e+03 
       1.424048632656e-01       1.115543131590e+03 
       1.471675126684e-01       1.043729558444e+03 
       1.520891259507e-01       1.011918988933e+03 
       1.571751923589e-01       1.007848186410e+03 
       1.624313031034e-01       1.010733673781e+03 
       1.678631787145e-01       9.974990147659e+02 
       1.734767022432e-01       9.522203755892e+02 
       1.792779590687e-01       8.741989620238e+02 
       1.852732841188e-01       7.783725126817e+02 
       1.914693173864e-01       6.871973670690e+02 
       1.978730687403e-01       6.195233731943e+02 
       2.044919932049e-01       5.826539033780e+02 
       2.113340781218e-01       5.702966505817e+02 
       2.184079439494e-01       5.657900165651e+02 
       2.257229609075e-01       5.499132992208e+02 
       2.332893842835e-01       5.123279371221e+02 
       2.411185120233e-01       4.595259735461e+02 
       2.492228692930e-01       4.092113710705e+02 
       2.576164261099e-01       3.756401369893e+02 
       2.663148560158e-01       3.601807381572e+02 
       2.753358462784e-01       3.514752556047e+02 
       2.846994735133e-01       3.350235836554e+02 
       2.944286632709e-01       3.065336876627e+02 
       3.045497585975e-01       2.752532339368e+02 
       3.150932316649e-01       2.529213561093e+02 
       3.260945855491e-01       2.407453725402e+02 
       3.375955121058e-01       2.295543327765e+02 
       3.496453998119e-01       2.118217318766e+02 
       3.623033275875e-01       1.915486950043e+02 
       3.756407456294e-01       1.765736251053e+02 
       3.897451470195e-01       1.661982175175e+02 
       4.047252005586e-01       1.536903809970e+02 
       4.207180938701e-01       1.390181232095e+02 
       4.379003171363e-01       1.275790275327e+02 
       4.565039810704e-01       1.175501138442e+02 
       4.768423778917e-01       1.058112005119e+02 
       4.993516650072e-01       9.566417900775e+01 
       5.246621263283e-01       8.578144968906e+01 
       5.537269690949e-01       7.580364665707e+01 
       5.880708544995e-01       6.619302144659e+01 
       6.303069642323e-01       5.654054598167e+01 
       6.853011515997e-01       4.663412951798e+01 
       7.629279831152e-01       3.635638491248e+01 
       8.837217173674e-01       2.576106649603e+01 
       1.078558330423e+00       1.604638049850e+01 
