# Matter power spectrum P(k) at redshift z=4.1
# for k=9.05385e-06 to 1.14305 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.053847577371e-06       5.575216882791e+00 
       1.139811878966e-05       6.964840632198e+00 
       1.434938139096e-05       8.700821502423e+00 
       1.806480087660e-05       1.086948066589e+01 
       2.274223688255e-05       1.357864620678e+01 
       2.863077993249e-05       1.696300514262e+01 
       3.604401641650e-05       2.119078100743e+01 
       4.537672820986e-05       2.647205911383e+01 
       5.712591624747e-05       3.306915399654e+01 
       7.191726763596e-05       4.130949557566e+01 
       9.053847577371e-05       5.160159874371e+01 
       1.139811878966e-04       6.445475992942e+01 
       1.434938139096e-04       8.050316591710e+01 
       1.806480087660e-04       1.005350408249e+02 
       2.274223688255e-04       1.255271773152e+02 
       2.863077993249e-04       1.566844786775e+02 
       3.604401641650e-04       1.954826204890e+02 
       4.537672820986e-04       2.437091327215e+02 
       5.712591624747e-04       3.034937042169e+02 
       7.191726763596e-04       3.773127310163e+02 
       9.053847577371e-04       4.679439908530e+02 
       1.139811878966e-03       5.783400050772e+02 
       1.434938139096e-03       7.114854790225e+02 
       1.806480087660e-03       8.699541138669e+02 
       2.274223688256e-03       1.055238171572e+03 
       2.863077993249e-03       1.266849731900e+03 
       3.604401641650e-03       1.501067026792e+03 
       4.537672820986e-03       1.749357517656e+03 
       5.712591624747e-03       1.997399591124e+03 
       7.191726763596e-03       2.223510672567e+03 
       9.053847577371e-03       2.398137808860e+03 
       1.139811878966e-02       2.488107243627e+03 
       1.434938139094e-02       2.461841327127e+03 
       1.806480075048e-02       2.291957658749e+03 
       2.274213757582e-02       1.972279050546e+03 
       2.861665123590e-02       1.555290147992e+03 
       3.556206896054e-02       1.178340387277e+03 
       4.146444296494e-02       9.829885818482e+02 
       4.573692300977e-02       8.992829879547e+02 
       4.925267238322e-02       8.547201085010e+02 
       5.238818863556e-02       8.257372850255e+02 
       5.531066838808e-02       8.024965470391e+02 
       5.810833979084e-02       7.798710503130e+02 
       6.083399091021e-02       7.549272620241e+02 
       6.352224002075e-02       7.260638407100e+02 
       6.619745346548e-02       6.926650084302e+02 
       6.887779102885e-02       6.549204274917e+02 
       7.157745054793e-02       6.136821656746e+02 
       7.430799638346e-02       5.703072866323e+02 
       7.707918736362e-02       5.264715604096e+02 
       7.989951496459e-02       4.839617455902e+02 
       8.277656547831e-02       4.444676419824e+02 
       8.571727081891e-02       4.094003885102e+02 
       8.872808635399e-02       3.797587680372e+02 
       9.181511942426e-02       3.560511088217e+02 
       9.498422362722e-02       3.382636036565e+02 
       9.824106875788e-02       3.258566151402e+02 
       1.015911930812e-01       3.177777474453e+02 
       1.050400425631e-01       3.125040387325e+02 
       1.085930003584e-01       3.081526501710e+02 
       1.122554089814e-01       3.027056541388e+02 
       1.160325870045e-01       2.943592691975e+02 
       1.199298417420e-01       2.819367091786e+02 
       1.239524791232e-01       2.652343243014e+02 
       1.246261216351e-01       2.621259718173e+02 
       1.281058117854e-01       2.451516850922e+02 
       1.323951663118e-01       2.235107015614e+02 
       1.368258904662e-01       2.025838169005e+02 
       1.414033612348e-01       1.844818257869e+02 
       1.461329944567e-01       1.706185832550e+02 
       1.510202568081e-01       1.614059785710e+02 
       1.560706808938e-01       1.561877780153e+02 
       1.612898841907e-01       1.534699099902e+02 
       1.666835925865e-01       1.508918922156e+02 
       1.722576692565e-01       1.462255936310e+02 
       1.780181496341e-01       1.382614075466e+02 
       1.839712832602e-01       1.273865979631e+02 
       1.901235833435e-01       1.153507557507e+02 
       1.964818849497e-01       1.043865280911e+02 
       2.030534128659e-01       9.619085875670e+01 
       2.098458603722e-01       9.120080886777e+01 
       2.168674804166e-01       8.845236580591e+01 
       2.241271910537e-01       8.608081599313e+01 
       2.316346974917e-01       8.228448678084e+01 
       2.394006337485e-01       7.642123804799e+01 
       2.474367277759e-01       6.949053293895e+01 
       2.557559950530e-01       6.328710658758e+01 
       2.643729671581e-01       5.897793796362e+01 
       2.733039638413e-01       5.636565599390e+01 
       2.825674198163e-01       5.412734783992e+01 
       2.921842811524e-01       5.098402055248e+01 
       3.021784911644e-01       4.685608153561e+01 
       3.125775926804e-01       4.280355372418e+01 
       3.234134834091e-01       3.980737917478e+01 
       3.347233752300e-01       3.769860582305e+01 
       3.465510287874e-01       3.551574538759e+01 
       3.589483652809e-01       3.276423303430e+01 
       3.719776035741e-01       2.999880733743e+01 
       3.857141423323e-01       2.783762476596e+01 
       4.002505205106e-01       2.602240936152e+01 
       4.157019747418e-01       2.397765204481e+01 
       4.322144234174e-01       2.187368824751e+01 
       4.499762482486e-01       2.013085613567e+01 
       4.692362210135e-01       1.844903865517e+01 
       4.903317652731e-01       1.668133650709e+01 
       5.137353913149e-01       1.510008083748e+01 
       5.401347840938e-01       1.351357907131e+01 
       5.705790685035e-01       1.196749931650e+01 
       6.067645006480e-01       1.042898799407e+01 
       6.516369486673e-01       8.888058878111e+00 
       7.107651615385e-01       7.299016224962e+00 
       7.955871795333e-01       5.638261274880e+00 
       9.295080668685e-01       3.931494227276e+00 
       1.143053685223e+00       2.416363981434e+00 
