# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0.186047
# for k=9.00321e-06 to 1.13606 h/Mpc,
# number of wavenumbers equal to 114
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_scf                  7:delta_phi_scf       8:delta_phi_over_phi_scf    9:delta_phi_prime_scf    10:d_tot                 11:phi                   12:psi                
       9.003207192964e-06      -1.195094113909e-03      -8.967432796051e-04      -8.967433013207e-04      -1.195077549332e-03      -3.342674483545e-03       6.473630795181e-07      -4.616089962252e-04      -3.502302458428e-10      -8.968389876639e-04       4.727375040789e-01       4.725813890943e-01 
       1.133436632287e-05      -1.893572789618e-03      -1.421241216036e-03      -1.421241270580e-03      -1.893531189852e-03      -5.296314039144e-03       1.025664479746e-06      -7.313607549218e-04      -5.550179214359e-10      -1.421392751130e-03       4.727370106622e-01       4.725809583908e-01 
       1.426912179045e-05      -2.999795493014e-03      -2.252512757169e-03      -2.252512894164e-03      -2.999691033240e-03      -8.390406494321e-03       1.624722926349e-06      -1.158525626819e-03      -8.794944720431e-10      -2.252752542545e-03       4.727362287362e-01       4.725802758199e-01 
       1.796376002598e-05      -4.751053725217e-03      -3.569985174925e-03      -3.569985518991e-03      -4.750791469884e-03      -1.328864247393e-02       2.572888645191e-06      -1.834625076991e-03      -1.393528562804e-09      -3.570364251225e-03       4.727349896847e-01       4.725791941387e-01 
       2.261503398808e-05      -7.521626011280e-03      -5.658027720667e-03      -5.658028584718e-03      -7.520967795785e-03      -2.103784356979e-02       4.072423123254e-06      -2.903883762668e-03      -2.207648231147e-09      -5.658626112070e-03       4.727330264669e-01       4.725774800926e-01 
       2.847064097618e-05      -1.190018597716e-02      -8.967325717078e-03      -8.967327886665e-03      -1.189853476276e-02      -3.328443410114e-02       6.440982733900e-06      -4.592809859544e-03      -3.496509784552e-09      -8.968268073280e-03       4.727299163483e-01       4.725747642733e-01 
       3.584241341498e-05      -1.880841566231e-02      -1.421214324194e-02      -1.421214868847e-02      -1.880427653822e-02      -5.260608219935e-02       1.017474552104e-05      -7.255208260143e-03      -5.535618777632e-09      -1.421362166206e-02       4.727249905089e-01       4.725704618240e-01 
       4.512292506815e-05      -2.967887218673e-02      -2.252445229523e-02      -2.252446596346e-02      -2.966850907856e-02      -8.300882057398e-02       1.604194326180e-05      -1.143887455277e-02      -8.758333146986e-09      -2.252675760214e-02       4.727171923031e-01       4.725636477874e-01 
       5.680639702278e-05      -4.671185996864e-02      -3.569815639103e-02      -3.569819067304e-02      -4.668596349565e-02      -1.306443898888e-01       2.521499533941e-05      -1.797981437302e-02      -1.384319530334e-08      -3.570171555671e-02       4.727048546375e-01       4.725528603201e-01 
       7.151501676444e-05      -7.322125467634e-02      -5.657602206509e-02      -5.657610797487e-02      -7.315673782911e-02      -2.047729681503e-01       3.944031614580e-05      -2.812332613267e-02      -2.184462790604e-08      -5.658142767845e-02       4.726853548169e-01       4.725357934347e-01 
       9.003207192964e-05      -1.140348031181e-01      -8.966258223874e-02      -8.966279723039e-02      -1.138748422849e-01      -3.188683082493e-01       6.121220089458e-05      -4.364799159166e-02      -3.438067192363e-08      -8.967056678392e-02       4.726545845004e-01       4.725088194974e-01 
       1.133436632287e-04      -1.757811791684e-01      -1.420946716863e-01      -1.420952085399e-01      -1.753876015559e-01      -4.913660007322e-01       9.382341133256e-05      -6.690174525656e-02      -5.388044976659e-08      -1.421058947416e-01       4.726061516595e-01       4.724662563651e-01 
       1.426912179045e-04      -2.665632725228e-01      -2.251775142072e-01      -2.251788501814e-01      -2.656066106215e-01      -7.445529660282e-01       1.409380243454e-04      -1.004972865817e-01      -8.384792828080e-08      -2.251918308733e-01       4.725302168720e-01       4.723992644725e-01 
       1.796376002598e-04      -3.938139526373e-01      -3.568140761033e-01      -3.568173827548e-01      -3.915333386785e-01      -1.097864832889e+00       2.048531359046e-04      -1.460725628174e-01      -1.289486573159e-07      -3.568285282720e-01       4.724118851394e-01       4.722942393669e-01 
       2.261503398808e-04      -5.580066039828e-01      -5.653427547758e-01      -5.653508696914e-01      -5.527362314370e-01      -1.547868588450e+00       2.818454808230e-04      -2.009726126087e-01      -1.943044831583e-07      -5.653467604273e-01       4.722291852036e-01       4.721305930212e-01 
       2.847064097618e-04      -7.393404170496e-01      -8.955897334671e-01      -8.956093854297e-01      -7.277559228303e-01      -2.023318651019e+00       3.526012065343e-04      -2.514253889123e-01      -2.823367216153e-07      -8.955550701118e-01       4.719509563672e-01       4.718779705267e-01 
       3.584241341498e-04      -8.793389545451e-01      -1.418391826304e+00      -1.418438447579e+00      -8.558694921222e-01      -2.312852314944e+00       3.691396696366e-04      -2.632176076348e-01      -3.835289844202e-07      -1.418255766718e+00       4.715354400335e-01       4.714933477208e-01 
       4.512292506815e-04      -8.812918373329e-01      -2.245534051147e+00      -2.245641229945e+00      -8.397537186630e-01      -2.027972744268e+00       2.564170731174e-04      -1.828383097237e-01      -4.568245639947e-07      -2.245181714660e+00       4.709305183071e-01       4.709190911361e-01 
       5.680639702278e-04      -6.932129480325e-01      -3.553093312223e+00      -3.553328440705e+00      -6.348870990932e-01      -8.444298988454e-01      -1.672298462789e-05       1.192857601252e-02      -4.115367440263e-07      -3.552364444597e+00       4.700744190027e-01       4.700831529419e-01 
       7.151501676444e-04      -4.796336590244e-01      -5.617756654349e+00      -5.618239220116e+00      -4.261099722052e-01       6.627632678024e-01      -2.649035333469e-04       1.888958968297e-01      -1.752509296739e-07      -5.616498216882e+00       4.688889507961e-01       4.688993942929e-01 
       9.003207192964e-04      -4.834896280760e-01      -8.872985988630e+00      -8.873893686580e+00      -4.648118130152e-01       6.406587279134e-01      -1.436191533454e-04       1.024078771737e-01       3.214558742737e-08      -8.871031567150e+00       4.672547504569e-01       4.672573668942e-01 
