#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:a                      2:tau [Mpc]              3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_phi_scf      19:delta_phi_over_phi_scf   20:delta_phi_prime_scf    21:delta_scf             22:theta_scf          
       1.407155524553e-06       7.008307234063e-01      -1.231701140541e+00       2.151659872470e-03       3.941311623349e-09       9.853279058373e-09       1.015285152319e-15       1.970655811675e-09      -9.237758554061e-01       2.151659872470e-03       6.148460985604e-01       6.923263147937e-01      -1.231701140541e+00       2.151188861380e-03       2.012799432190e-04      -9.237758554061e-01       2.152614597630e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       4.992239504927e-08       2.152614597630e-03 
       2.111149820102e-06       1.050830723405e+00      -1.234437185434e+00       3.224353426910e-03       1.325489202982e-08       3.313723007455e-08       7.685592686414e-15       6.627446014911e-09      -9.258278890753e-01       3.224353427030e-03       6.146499219119e-01       6.919559340470e-01      -1.234436739233e+00       3.222765341930e-03       4.520303664134e-04      -9.258285669324e-01       3.227568860220e-03       5.797798685327e-11       5.250850669933e-11       4.232569060341e-10       2.525058173556e-07       3.226554807723e-03 
       3.167660350201e-06       1.575313299187e+00      -1.239550804932e+00       4.825522133442e-03       4.437133173670e-08       1.109283293417e-07       5.792189225831e-14       2.218566586835e-08      -9.296631036992e-01       4.825522134624e-03       6.143355433764e-01       6.913813203547e-01      -1.239548105687e+00       4.820172624093e-03       1.014211213228e-03      -9.296672000802e-01       4.836338762997e-03       8.634958551810e-10       7.820365169283e-10       3.390469002504e-09       1.276502457796e-06       4.831861213560e-03 
       4.753591486556e-06       2.360876882247e+00      -1.250255332763e+00       7.204952477788e-03       1.495963158898e-07       3.739907897246e-07       4.397720989596e-13       7.479815794492e-08      -9.376914995758e-01       7.204952487341e-03       6.136915124955e-01       6.902808725731e-01      -1.250241276925e+00       7.186960751546e-03       2.270354363678e-03      -9.377128009104e-01       7.241273469439e-03       1.007752515917e-08       9.126870240565e-09       2.568342887833e-08       6.445424273214e-06       7.225776615952e-03 
       7.135108865834e-06       3.536622988120e+00      -1.273285374203e+00       1.070634310108e-02       5.030125314747e-07       1.257531328687e-06       3.331524974048e-12       2.515062657373e-07      -9.549640306952e-01       1.070634317456e-02       6.122932317714e-01       6.880359513457e-01      -1.273214265881e+00       1.064603539616e-02       5.058156128186e-03      -9.550716384506e-01       1.082793596224e-02       1.140152244126e-07       1.032611443583e-07       1.932647612689e-07       3.248049287815e-05       1.077591858434e-02 
       1.071333267078e-05       5.294418327261e+00      -1.323121066735e+00       1.574762576209e-02       1.660236790010e-06       4.150591975024e-06       2.479032816615e-11       8.301183950048e-07      -9.923408005402e-01       1.574762631741e-02       6.092231603858e-01       6.833403595721e-01      -1.322765250116e+00       1.554692812699e-02       1.115760862101e-02      -9.928790090446e-01       1.615257445929e-02       1.278159930207e-06       1.157683975963e-06       1.444807395765e-06       1.631075480019e-04       1.597946038908e-02 
       1.609463973281e-05       7.917989078839e+00      -1.430269372966e+00       2.264903953753e-02       5.413871455388e-06       1.353467863847e-05       1.824456529732e-10       2.706935727694e-06      -1.072702035200e+00       2.264904368087e-02       6.024811069415e-01       6.734060051317e-01      -1.428512092160e+00       2.199148406320e-02       2.409313238721e-02      -1.075368743664e+00       2.398522997190e-02       1.416771423484e-05       1.283686786071e-05       1.067600750869e-05       8.141588372833e-04       2.341513857847e-02 
       2.420309681200e-05       1.182301702043e+01      -1.655149964558e+00       3.095187202596e-02       1.655285202756e-05       4.138213006890e-05       1.261472448005e-09       8.276426013780e-06      -1.241362533585e+00       3.095190236880e-02       5.877444296974e-01       6.523664667368e-01      -1.646691009664e+00       2.887036512433e-02       4.963049402786e-02      -1.254376199317e+00       3.528518399291e-02       1.539020134446e-04       1.396939761757e-04       7.717125072033e-05       4.030398158408e-03       3.344440147405e-02 
       3.480225096175e-05       1.682301702043e+01      -2.033337663455e+00       3.691483278604e-02       4.093798014653e-05       1.023449503663e-04       6.450659834758e-09       2.046899007327e-05      -1.525003736756e+00       3.691500482772e-02       5.608951206309e-01       6.151956363644e-01      -2.000814775854e+00       3.149179651711e-02       8.620081137141e-02      -1.576741632047e+00       4.885953847084e-02       1.232552714764e-03       1.126674664625e-03       4.295146908109e-04       1.660621007527e-02       4.383173661152e-02 
       4.576206980469e-05       2.182301702043e+01      -2.471069399000e+00       3.639656287256e-02       7.002694781549e-05       1.750673695387e-04       1.907829575084e-08       3.501347390775e-05      -1.853304316586e+00       3.639717268533e-02       5.255794268486e-01       5.678228632333e-01      -2.386972939711e+00       2.615788366234e-02       1.159157846581e-01      -1.994279076410e+00       6.103924774533e-02       5.609019587491e-03       5.218516437649e-03       1.484535297212e-03       4.885385684326e-02       5.082007391871e-02 
       5.729171861895e-05       2.682301702043e+01      -2.913409947719e+00       2.870551935756e-02       8.714074901315e-05       2.178518725329e-04       3.721071798756e-08       4.357037450658e-05      -2.185065039695e+00       2.870716678908e-02       4.829885861238e-01       5.124991820839e-01      -2.743103530130e+00       1.310064794584e-02       1.268994928302e-01      -2.492178591624e+00       7.139464905688e-02       1.824532263598e-02       1.761561814406e-02       3.837622813018e-03       1.223342232007e-01       5.406700951975e-02 
       6.966623460270e-05       3.182301702043e+01      -3.297152776296e+00       1.398231419158e-02       6.343123912866e-05       1.585780978217e-04       4.005077571928e-08       3.171561956433e-05      -2.472885060492e+00       1.398604574506e-02       4.357571456078e-01       4.530619215999e-01      -3.007083359971e+00      -6.037785803272e-03       1.100571518420e-01      -3.048891532028e+00       7.959002768988e-02       4.689916412641e-02       4.858261841232e-02       7.893621370491e-03       2.803084747829e-01       5.360507949524e-02 
       8.309876676346e-05       3.682301702043e+01      -3.555931865276e+00      -6.652849778332e-03      -3.868430726293e-05      -9.671076815732e-05      -3.475257924811e-08      -1.934215363146e-05      -2.666996466114e+00      -6.645434839063e-03       3.884091397203e-01       3.951730515268e-01      -3.124760002893e+00      -2.836136729747e-02       6.137378650369e-02      -3.636382593407e+00       8.559953134103e-02       9.835989183933e-02       1.154262461722e-01       1.253678432387e-02       5.761717701713e-01       4.959809164211e-02 
       9.747408126793e-05       4.182301702043e+01      -3.636972269716e+00      -3.112550448257e-02      -2.599095061889e-04      -6.497737654722e-04      -3.212650849921e-07      -1.299547530944e-04      -2.727827153093e+00      -3.111243849895e-02       3.451701718300e-01       3.437899033234e-01      -3.067210767126e+00      -5.015153262009e-02      -1.661362147966e-02      -4.229845679969e+00       8.990577770861e-02       1.669520098356e-01       2.400843352380e-01       1.407882918709e-02       9.467094520406e-01       4.162432810817e-02 
       1.122477440178e-04       4.682301702043e+01      -3.526300999654e+00      -5.692693475907e-02      -6.481236745716e-04      -1.620309186429e-03      -1.062371152846e-06      -3.240618372858e-04      -2.644906738044e+00      -5.690658791623e-02       3.051289283594e-01       2.980986359847e-01      -2.853646209783e+00      -6.781335495348e-02      -1.147804656025e-01      -4.825063393790e+00       9.323360881132e-02       2.321580739982e-01       4.485164370546e-01       1.170606002125e-02       1.081452586055e+00       2.754377618993e-02 
       1.268927840290e-04       5.182301702043e+01      -3.239592416182e+00      -8.184614621466e-02      -1.207311029826e-03      -3.018277574564e-03      -2.529053872182e-06      -6.036555149128e-04      -2.429996669513e+00      -8.181796591997e-02       2.643835122587e-01       2.538763796992e-01      -2.537234164596e+00      -7.898217117002e-02      -2.193330437813e-01      -5.430814945815e+00       9.587899197828e-02       2.851249360653e-01       8.127299720919e-01       9.756881111811e-03       8.386770686840e-01       3.599282898205e-03 
       1.412609501143e-04       5.682301702043e+01      -2.791734387251e+00      -1.040585820929e-01      -1.862097687689e-03      -4.655244219222e-03      -4.834562805514e-06      -9.310488438444e-04      -2.094262090013e+00      -1.040234735182e-01       2.226161392523e-01       2.104253871100e-01      -2.167624616399e+00      -8.281968377017e-02      -3.150060410395e-01      -6.045441427006e+00       9.766672100192e-02       3.306722803419e-01       1.574731066671e+00       8.285249730245e-03       5.659123682059e-01      -3.186208909681e-02 
       1.554184328218e-04       6.182301702043e+01      -2.198497510566e+00      -1.218873565555e-01      -2.664626053268e-03      -6.661565133170e-03      -8.393768849244e-06      -1.332313026634e-03      -1.649522222649e+00      -1.218479205244e-01       1.821602762146e-01       1.697261611675e-01      -1.785072984323e+00      -7.971328277420e-02      -3.881472071961e-01      -6.658170352319e+00       9.840361315528e-02       3.640958580915e-01       3.881241590661e+00       4.590617652653e-03       6.369142465270e-01      -7.386204967169e-02 
       1.694544342069e-04       6.682301702043e+01      -1.486201682802e+00      -1.338099320658e-01      -3.586007718996e-03      -8.965019297491e-03      -1.380982658872e-05      -1.793003859498e-03      -1.115500688868e+00      -1.337698828707e-01       1.454039685146e-01       1.338040940230e-01      -1.423809192947e+00      -7.098361836349e-02      -4.290843842249e-01      -7.257551368565e+00       9.807149909096e-02       3.721650109274e-01      -1.196612260136e+02      -1.676199920713e-03       1.160801254903e+00      -1.112463961199e-01 
       1.834356745459e-04       7.182301702043e+01      -6.930017818719e-01      -1.386027389681e-01      -4.538794821232e-03      -1.134698705308e-02      -2.117691402237e-05      -2.269397410616e-03      -5.207893763738e-01      -1.385690710560e-01       1.140841275145e-01       1.040368095827e-01      -1.109572882774e+00      -5.857651329924e-02      -4.336084065734e-01      -7.834386976396e+00       9.680238475065e-02       3.459678266587e-01      -4.059170204516e+00      -8.770443321000e-03       2.038614169253e+00      -1.312241658436e-01 
       1.896447957918e-04       7.404516543986e+01      -3.267627062345e-01      -1.382250986217e-01      -4.890759623248e-03      -1.222689905812e-02      -2.445379811624e-05      -2.445379811624e-03      -2.461783908813e-01      -1.381976072418e-01       1.021878223358e-01       9.297320931415e-02      -9.892905700584e-01      -5.245713286786e-02      -4.241677758886e-01      -8.081812538513e+00       9.599349233169e-02       3.231743595531e-01      -2.742507614657e+00      -1.170414860709e-02       2.484682590714e+00      -1.317388409800e-01 
       1.896447957918e-04       7.404516543986e+01      -3.267627062345e-01      -1.382250986217e-01      -4.890759623248e-03      -1.222689905812e-02      -2.445379811624e-05      -2.445379811624e-03      -2.461783908813e-01      -1.381976072418e-01       1.021867247511e-01       9.297320931415e-02      -9.892905700584e-01      -5.245713286786e-02      -4.241677758886e-01      -8.081812538513e+00       9.599349233169e-02       3.231743595531e-01      -2.742507614657e+00      -1.170414860709e-02       2.484682590714e+00      -1.317388409800e-01 
       1.897845185896e-04       7.409516543986e+01      -3.184818506911e-01      -1.381982806206e-01      -4.898984916882e-03      -1.222876309417e-02      -2.446211760442e-05      -2.445785619928e-03      -2.399691170609e-01      -1.381710175739e-01       1.019341178143e-01       9.273989394618e-02      -9.867313404237e-01      -5.231759211268e-02      -4.238791653006e-01      -8.087311667966e+00       9.597383157797e-02       3.225875746660e-01      -2.721155236028e+00      -1.176722323718e-02       2.494780058705e+00      -1.316830754360e-01 
       1.899244523966e-04       7.414524053899e+01      -3.101876188455e-01      -1.381706156904e-01      -4.906256147018e-03      -1.223377747963e-02      -2.448444279762e-05      -2.446808592077e-03      -2.337498042744e-01      -1.381435163880e-01       1.016817543979e-01       9.250691746301e-02      -9.841748349001e-01      -5.217779343629e-02      -4.235868591463e-01      -8.092816002289e+00       9.595408094690e-02       3.219967511617e-01      -2.700022661767e+00      -1.183025007485e-02       2.504889717389e+00      -1.316241797204e-01 
       1.900645976182e-04       7.419539086732e+01      -3.018800394396e-01      -1.381420938171e-01      -4.912975978588e-03      -1.224103915514e-02      -2.451740199614e-05      -2.448273207912e-03      -2.275204746370e-01      -1.381151590581e-01       1.014296557168e-01       9.227428232706e-02      -9.816210797656e-01      -5.203773840124e-02      -4.232908489517e-01      -8.098325539107e+00       9.593424036231e-02       3.214018804541e-01      -2.679105948100e+00      -1.189322791069e-02       2.515011190521e+00      -1.315621359425e-01 
