# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=16
# for k=1.23828e-05 to 1.0136 h/Mpc,
# number of wavenumbers equal to 111
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_scf                  7:delta_phi_scf       8:delta_phi_over_phi_scf    9:delta_phi_prime_scf    10:d_tot                 11:phi                   12:psi                
       1.238275884515e-05      -9.094545779263e-05      -6.821120468000e-05      -6.821120516987e-05      -9.094541165984e-05      -3.996340987370e-05       1.270340991882e-06       1.714910743871e-04       5.123897099025e-10      -6.829418580773e-05       6.021805421798e-01       5.996887572223e-01 
       1.558896977828e-05      -1.441361743580e-04      -1.081074341579e-04      -1.081074353884e-04      -1.441360584803e-04      -6.333526592765e-05       2.013333584021e-06       2.717913532904e-04       8.120524875045e-10      -1.082389392000e-04       6.021802067199e-01       5.996884887323e-01 
       1.962535019757e-05      -2.284337537990e-04      -1.713386366798e-04      -1.713386397707e-04      -2.284334627378e-04      -1.003735942374e-04       3.190859657073e-06       4.307503446411e-04       1.286941825167e-09      -1.715470300955e-04       6.021796749912e-01       5.996880631151e-01 
       2.470685207908e-05      -3.620263027850e-04      -2.715531880353e-04      -2.715531957992e-04      -3.620255717134e-04      -1.590660828470e-04       5.057031371775e-06       6.826692996322e-04       2.039475870731e-09      -2.718833988731e-04       6.021788323731e-01       5.996873886936e-01 
       3.110408392779e-05      -5.737308289487e-04      -4.303821689311e-04      -4.303821884332e-04      -5.737289927440e-04      -2.520641370103e-04       8.014504963564e-06       1.081898016965e-03       3.231874665883e-09      -4.309053408163e-04       6.021774969625e-01       5.996863198433e-01 
       3.915772166727e-05      -9.091961085436e-04      -6.821081870214e-04      -6.821082360086e-04      -9.091914968592e-04      -3.993977464074e-04       1.270125013885e-05       1.714541586419e-03       5.120978563871e-09      -6.829369139584e-04       6.021753805318e-01       5.996846258348e-01 
       4.929665087489e-05      -1.440712558352e-03      -1.081064646484e-03      -1.081064769533e-03      -1.440700976926e-03      -6.327592473310e-04       2.012791049554e-05       2.716986308058e-03       8.113197224413e-09      -1.082376973509e-03       6.021720264483e-01       5.996819411389e-01 
       6.206080650275e-05      -2.282707096653e-03      -1.713362012765e-03      -1.713362321851e-03      -2.282678015778e-03      -1.002244200768e-03       3.189502944202e-05       4.305181627689e-03       1.285099921547e-08      -1.715439106651e-03       6.021667111033e-01       5.996776864248e-01 
       7.812992638275e-05      -3.616168501278e-03      -2.715470708099e-03      -2.715471484483e-03      -3.616095494627e-03      -1.586914225697e-03       5.053625242985e-05       6.820863437545e-03       2.034849841981e-08      -2.718755638602e-03       6.021582881143e-01       5.996709437370e-01 
       9.835974974485e-05      -5.727027113600e-03      -4.303668041910e-03      -4.303669992081e-03      -5.726843893116e-03      -2.511245039394e-03       8.005943228534e-05       1.080433437885e-02       3.220272353086e-08      -4.308856632637e-03       6.021449417985e-01       5.996602587829e-01 
