# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=7.5
# for k=9.12675e-06 to 1.15367 h/Mpc,
# number of wavenumbers equal to 114
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_scf                  7:delta_phi_scf       8:delta_phi_over_phi_scf    9:delta_phi_prime_scf    10:d_tot                 11:phi                   12:psi                
       9.126746228063e-06      -2.103640964715e-04      -1.577848068883e-04      -1.577848074475e-04      -2.103639500405e-04      -1.347964066799e-04      -7.609059170756e-07       8.479569830533e-05      -1.044479416533e-09      -1.579155167677e-04       6.007301872945e-01       5.991683555562e-01 
       1.148989275351e-05      -3.333899372750e-04      -2.500719281656e-04      -2.500719295701e-04      -3.333895694772e-04      -2.136246445117e-04      -1.205939024300e-06       1.343903071801e-04      -1.655323589950e-09      -2.502790520309e-04       6.007296937927e-01       5.991679613981e-01 
       1.446491796618e-05      -5.283505515352e-04      -3.963369496049e-04      -3.963369531329e-04      -5.283496277496e-04      -3.385388619896e-04      -1.911243633134e-06       2.129895207839e-04      -2.623347083463e-09      -3.966651250335e-04       6.007289116598e-01       5.991673367009e-01 
       1.821025280714e-05      -8.372865354736e-04      -6.281508618594e-04      -6.281508707213e-04      -8.372842153505e-04      -5.364639548112e-04      -3.029012003273e-06       3.375534314467e-04      -4.157310999911e-09      -6.286707493184e-04       6.007276721025e-01       5.991663466371e-01 
       2.292535001410e-05      -1.326777017525e-03      -9.955498357563e-04      -9.955498580163e-04      -1.326771190918e-03      -8.500271781936e-04      -4.800397400016e-06       5.349555423209e-04      -6.587854856234e-09      -9.963732102749e-04       6.007257076465e-01       5.991647775413e-01 
       2.886130570703e-05      -2.102215438173e-03      -1.577834659028e-03      -1.577834714942e-03      -2.102200807489e-03      -1.346672599018e-03      -7.607456857757e-06       8.477706159841e-04      -1.043843691727e-08      -1.579138134040e-03       6.007225944732e-01       5.991622908155e-01 
       3.633423117214e-05      -3.330319418178e-03      -2.500685599542e-03      -2.500685739990e-03      -3.330282687823e-03      -2.133001616055e-03      -1.205533997620e-05       1.343432130715e-03      -1.653724752357e-08      -2.502747737647e-03       6.007176611206e-01       5.991583499242e-01 
       4.574208694061e-05      -5.274516282587e-03      -3.963284896516e-03      -3.963285249295e-03      -5.274424100713e-03      -3.377238585598e-03      -1.910223895738e-05       2.128709611053e-03      -2.619329780240e-08      -3.966543799424e-03       6.007098440332e-01       5.991521048025e-01 
       5.758587563804e-05      -8.350298181267e-03      -6.281296137787e-03      -6.281297023894e-03      -8.350066951498e-03      -5.344172310916e-03      -3.026442363064e-05       3.372547310441e-03      -4.147216595588e-08      -6.286437644963e-03       6.006974591320e-01       5.991422088374e-01 
       7.249632220114e-05      -1.321113474481e-02      -9.954964719150e-03      -9.954966944810e-03      -1.321055519657e-02      -8.448938735215e-03      -4.793932914809e-05       5.342042225382e-03      -6.562524601161e-08      -9.963054498263e-03       6.006778415847e-01       5.991265298127e-01 
       9.126746228063e-05      -2.088009439256e-02      -1.577700650757e-02      -1.577701209762e-02      -2.087864369647e-02      -1.333789401369e-02      -7.591219965157e-05       8.458836963928e-03      -1.037485683750e-07      -1.578968015043e-02       6.006467774815e-01       5.991016923622e-01 
       1.148989275351e-04      -3.294715736355e-02      -2.500349127286e-02      -2.500350531223e-02      -3.294353346592e-02      -2.100691863829e-02      -1.201457058268e-04       1.338694849998e-02      -1.637776411704e-07      -2.502320766181e-02       6.005976137338e-01       5.990623584009e-01 
       1.446491796618e-04      -5.185402078495e-02      -3.962440278642e-02      -3.962443804296e-02      -5.184499748332e-02      -3.296298481053e-02      -1.899981275154e-04       2.116810894431e-02      -2.579358290933e-07      -3.965472679773e-02       6.005198685389e-01       5.990000953265e-01 
       1.821025280714e-04      -8.127714056145e-02      -6.279176788493e-02      -6.279185641069e-02      -8.125478881554e-02      -5.141744407453e-02      -3.000692814350e-04       3.342646340923e-02      -4.047164300146e-07      -6.283752606697e-02       6.003970859301e-01       5.989016080752e-01 
       2.292535001410e-04      -1.265700883094e-01      -9.949650027804e-02      -9.949672250775e-02      -1.265151748608e-01      -7.943948285991e-02      -4.729132003991e-04       5.266842813793e-02      -6.312565786164e-07      -9.956331728874e-02       6.002035738449e-01       5.987459996407e-01 
       2.886130570703e-04      -1.950777838283e-01      -1.576369175290e-01      -1.576374752067e-01      -1.949446417273e-01      -1.208346647155e-01      -7.427913888182e-04       8.269521391195e-02      -9.752445098486e-07      -1.577287909249e-01       5.998995721864e-01       5.985005843307e-01 
       3.633423117214e-04      -2.957652952057e-01      -2.497018492533e-01      -2.497032479771e-01      -2.954492732972e-01      -1.791135527437e-01      -1.160233728315e-03       1.290981927605e-01      -1.483590541524e-06      -2.498134181784e-01       5.994244057817e-01       5.981146338498e-01 
       4.574208694061e-04      -4.368262199736e-01      -3.954128664245e-01      -3.954163717678e-01      -4.361016543135e-01      -2.540439404929e-01      -1.795716972035e-03       1.996421101461e-01      -2.200561367119e-06      -3.955087348100e-01       5.986875240123e-01       5.975103912611e-01 
       5.758587563804e-04      -6.187096088572e-01      -6.258511865144e-01      -6.258599609250e-01      -6.171411046713e-01      -3.327344688655e-01      -2.736503236875e-03       3.038660737452e-01      -3.128961229041e-06      -6.258168205314e-01       5.975585068405e-01       5.965710268394e-01 
       7.249632220114e-04      -8.194900183672e-01      -9.898563430602e-01      -9.898782709170e-01      -8.164133401658e-01      -3.707882868322e-01      -4.059630435200e-03       4.500244741150e-01      -4.135039674966e-06      -9.893954834744e-01       5.958598388296e-01       5.951265746028e-01 
       9.126746228063e-04      -9.752089946692e-01      -1.563848077119e+00      -1.563902762690e+00      -9.701736191685e-01      -2.637063710605e-01      -5.740636702582e-03       6.349887866968e-01      -4.771934042077e-06      -1.562306643559e+00       5.933705101894e-01       5.929423853345e-01 
       1.148989275351e-03      -9.831633722438e-01      -2.466703563707e+00      -2.466839789281e+00      -9.776193696508e-01       1.583506531263e-01      -7.432324192437e-03       8.201810279062e-01      -4.116086841666e-06      -2.462872023430e+00       5.898470439215e-01       5.897182637011e-01 
       1.446491796618e-03      -8.011325969675e-01      -3.881949902021e+00      -3.882290135488e+00      -8.005891493688e-01       9.761759765219e-01      -8.147525337548e-03       8.977053471101e-01      -1.200533237715e-06      -3.874091104833e+00       5.850531237508e-01       5.851138460338e-01 
       1.821025280714e-03      -6.445398770377e-01      -6.090740052939e+00      -6.091586053563e+00      -6.523780964522e-01       1.646597187094e+00      -6.524540090444e-03       7.199205820767e-01       2.608440340408e-06      -6.077109416754e+00       5.787707927515e-01       5.788344190464e-01 
       2.292535001410e-03      -7.966073703366e-01      -9.519132002028e+00      -9.521233496758e+00      -7.946213393758e-01       7.294623478171e-01      -3.581012898620e-03       3.972196118938e-01       7.179722056832e-07      -9.498034424068e+00       5.705952528949e-01       5.705765769188e-01 
       2.886130570703e-03      -7.860719674241e-01      -1.480423956451e+01      -1.480945150994e+01      -7.748554061362e-01      -7.414785728100e-01      -4.916321635910e-03       5.422194815791e-01      -6.207073213626e-06      -1.477194191635e+01       5.598565852208e-01       5.598547337658e-01 
       3.633423117214e-03      -6.896337516673e-01      -2.288064343752e+01      -2.289352377637e+01      -7.002562493178e-01       1.180940378182e+00      -6.079236471531e-03       6.704537917022e-01       9.737511451894e-07      -2.283302178269e+01       5.459545294371e-01       5.459570584499e-01 
       4.574208694061e-03      -6.915040678950e-01      -3.508658058217e+01      -3.511828021298e+01      -6.798892792386e-01      -1.813039001319e+00      -5.817685725068e-03       6.436024214696e-01      -1.119096487648e-05      -3.502222197081e+01       5.283383705035e-01       5.283405646840e-01 
       5.758587563804e-03      -7.503492299613e-01      -5.327676063574e+01      -5.335431754993e+01      -7.165301941504e-01       2.351562632470e+00      -4.585852487704e-03       5.050923991492e-01       6.797719348558e-06      -5.320088444021e+01       5.063721506269e-01       5.063695820893e-01 
       7.249632220114e-03      -7.918127809479e-01      -7.989686142451e+01      -8.008506603693e+01      -6.751611598725e-01       2.861174858563e+00      -7.074872764414e-03       7.799053452265e-01       7.031100897858e-06      -7.983843244188e+01       4.794602417799e-01       4.794590734926e-01 
       9.126746228063e-03      -5.915320252594e-01      -1.179259770517e+02      -1.183773433419e+02      -5.816502383331e-01       7.468411161736e-01      -5.050820265773e-03       5.551472976036e-01      -6.513341753018e-09      -1.179743484040e+02       4.470142412759e-01       4.470141777641e-01 
       1.148989275351e-02      -6.034762624159e-01      -1.705297862098e+02      -1.715935084487e+02      -5.422955910848e-01      -2.814799231240e-01      -5.966430142871e-03       6.834999273951e-01      -6.393205021267e-06      -1.709204410315e+02       4.086198258907e-01       4.086198317359e-01 
       1.446491796617e-02      -5.399160298866e-01      -2.401469570315e+02      -2.425876042159e+02      -4.821064276374e-01      -3.921380895465e-01      -4.577573717911e-03       5.492004360643e-01      -2.555959317727e-06      -2.414331482266e+02       3.641844309091e-01       3.641844304034e-01 
       1.821025276421e-02      -4.656124263369e-01      -3.266820185513e+02      -3.320523154661e+02      -4.157634393711e-01       1.911343604310e+00      -2.523739969135e-03       2.787996970987e-01       2.449456441959e-06      -3.300334336083e+02       3.141099039143e-01       3.141099039126e-01 
       2.292530549658e-02      -3.850052074854e-01      -4.250481396145e+02      -4.361025190481e+02      -3.437919885118e-01       4.250618913051e+00      -2.101039236526e-03       2.340377497083e-01       1.617284635329e-05      -4.325870032916e+02       2.597755620357e-01       2.597755620357e-01 
       2.885337974793e-02      -3.035158947911e-01      -5.257228955235e+02      -5.461358112280e+02      -2.710309752377e-01       4.452260383473e+00      -3.139480418371e-03       3.463241252409e-01       1.634666244638e-05      -5.403155454549e+02       2.048372138417e-01       2.048372138417e-01 
       3.600478763108e-02      -2.338760375823e-01      -6.256437238151e+02      -6.568312544871e+02      -2.088473278589e-01      -4.327622311354e+00      -1.817907651961e-03       1.985545041592e-01      -1.858994363153e-05      -6.483997053078e+02       1.578617246714e-01       1.578617246714e-01 
       4.245622103641e-02      -1.942165656568e-01      -7.222340339470e+02      -7.584169391168e+02      -1.734312406000e-01      -1.429877959395e-01      -1.801820932883e-03       2.062456919219e-01      -3.833963869757e-06      -7.486437590855e+02       1.310831780689e-01       1.310831780689e-01 
