# Matter power spectrum P(k) at redshift z=0.888889
# for k=9.47274e-06 to 1.19503 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.472736321112e-06       2.560358514542e+01 
       1.192546847387e-05       3.198528185586e+01 
       1.501327530931e-05       3.995758498269e+01 
       1.890059380115e-05       4.991691371542e+01 
       2.379443783427e-05       6.235845392703e+01 
       2.995542244892e-05       7.790073528482e+01 
       3.771164254197e-05       9.731629440763e+01 
       4.747614511659e-05       1.215699025238e+02 
       5.976892554130e-05       1.518661656291e+02 
       7.524461919957e-05       1.897086835911e+02 
       9.472736321112e-05       2.369733528548e+02 
       1.192546847387e-04       2.959987620242e+02 
       1.501327530931e-04       3.696968272264e+02 
       1.890059380115e-04       4.616865918419e+02 
       2.379443783427e-04       5.764530195826e+02 
       2.995542244892e-04       7.195299388593e+02 
       3.771164254197e-04       8.977012208340e+02 
       4.747614511659e-04       1.119206441320e+03 
       5.976892554130e-04       1.393928082349e+03 
       7.524461919957e-04       1.733529487768e+03 
       9.472736321112e-04       2.151499187880e+03 
       1.192546847387e-03       2.662890948539e+03 
       1.501327530931e-03       3.283924756851e+03 
       1.890059380115e-03       4.030517997271e+03 
       2.379443783427e-03       4.916131438920e+03 
       2.995542244892e-03       5.948473071195e+03 
       3.771164254197e-03       7.124575543341e+03 
       4.747614511659e-03       8.424004295878e+03 
       5.976892554130e-03       9.800162457083e+03 
       7.524461919957e-03       1.116935090540e+04 
       9.472736321112e-03       1.239858964072e+04 
       1.192546847387e-02       1.329627383897e+04 
       1.501327530922e-02       1.361854267440e+04 
       1.890059339304e-02       1.312148338901e+04 
       2.379419735095e-02       1.170069291158e+04 
       2.992840153746e-02       9.612787479070e+03 
       3.696897927169e-02       7.671396947151e+03 
       4.260545736900e-02       6.667421008884e+03 
       4.675734117865e-02       6.190480894540e+03 
       5.022959819583e-02       5.906037940830e+03 
       5.335301061049e-02       5.699913794533e+03 
       5.627883324428e-02       5.521975386765e+03 
       5.908869532078e-02       5.345748920880e+03 
       6.183222933240e-02       5.156407766349e+03 
       6.454238189631e-02       4.946410201272e+03 
       6.724256767828e-02       4.713594413905e+03 
       6.995037709303e-02       4.460084155108e+03 
       7.267965645083e-02       4.191387294039e+03 
       7.544174995395e-02       3.915448965807e+03 
       7.824627927279e-02       3.641598799242e+03 
       8.110165325395e-02       3.379434603825e+03 
       8.401541258703e-02       3.137743356251e+03 
       8.699446944441e-02       2.923576168015e+03 
       9.004527794885e-02       2.741564202886e+03 
       9.317395769137e-02       2.593503163342e+03 
       9.638638452495e-02       2.478174022247e+03 
       9.968825801051e-02       2.391350734828e+03 
       1.030851518680e-01       2.325997361179e+03 
       1.065825518548e-01       2.272757474718e+03 
       1.101858842399e-01       2.220911791639e+03 
       1.139005372130e-01       2.159920890362e+03 
       1.177318770214e-01       2.081426744724e+03 
       1.216852602576e-01       1.981245416231e+03 
       1.257660434803e-01       1.860655782370e+03 
       1.299795911911e-01       1.726378203229e+03 
       1.341921631777e-01       1.593292135681e+03 
       1.343312830848e-01       1.589043345822e+03 
       1.388265214260e-01       1.460502868281e+03 
       1.434707393654e-01       1.350782054849e+03 
       1.482694109802e-01       1.265590665211e+03 
       1.532280638102e-01       1.205003954808e+03 
       1.583522946474e-01       1.163528161621e+03 
       1.636477893309e-01       1.131886451372e+03 
       1.691203472969e-01       1.097295118379e+03 
       1.747759116343e-01       1.049967691541e+03 
       1.806206054139e-01       9.867736303363e+02 
       1.866607750859e-01       9.124192727542e+02 
       1.929030418007e-01       8.367193679759e+02 
       1.993543615935e-01       7.700675878654e+02 
       2.060220955154e-01       7.191096506387e+02 
       2.129140909892e-01       6.838070190296e+02 
       2.200387759523e-01       6.575701441088e+02 
       2.274052677281e-01       6.309254897265e+02 
       2.350234990883e-01       5.966716703666e+02 
       2.429043646504e-01       5.541651498699e+02 
       2.510598916677e-01       5.097385092906e+02 
       2.595034404679e-01       4.713430155087e+02 
       2.682499413913e-01       4.424922851112e+02 
       2.773161772017e-01       4.205138051606e+02 
       2.867211228005e-01       3.989594117686e+02 
       2.964863579465e-01       3.734311069939e+02 
       3.066365740196e-01       3.452001189051e+02 
       3.172002032862e-01       3.191618043565e+02 
       3.282102096232e-01       2.983278457424e+02 
       3.397050947363e-01       2.806935954694e+02 
       3.517301959425e-01       2.624541386808e+02 
       3.643393844041e-01       2.427574905018e+02 
       3.775973225744e-01       2.241260058741e+02 
       3.915825171381e-01       2.082434226412e+02 
       4.063915272457e-01       1.935493152346e+02 
       4.221448901286e-01       1.782713885939e+02 
       4.389956677928e-01       1.635435244046e+02 
       4.571421156239e-01       1.503688369630e+02 
       4.768470589353e-01       1.374121108410e+02 
       4.984686246078e-01       1.246422986302e+02 
       5.225110910441e-01       1.126617958846e+02 
       5.497133213866e-01       1.007626870261e+02 
       5.812118571043e-01       8.916581683014e+01 
       6.188631229583e-01       7.756557359594e+01 
       6.659314315436e-01       6.586252797004e+01 
       7.286736921977e-01       5.377004921388e+01 
       8.200617052063e-01       4.108528883083e+01 
       9.659964722755e-01       2.815252597155e+01 
       1.195033271365e+00       1.708823206098e+01 
