# Matter power spectrum P(k) at redshift z=2.1875
# for k=1.07585e-05 to 1.10859 h/Mpc,
# number of wavenumbers equal to 113
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.075851719600e-05       6.422442994393e+00 
       1.354417069127e-05       8.023237452992e+00 
       1.705110066492e-05       1.002302179767e+01 
       2.146606392612e-05       1.252123412943e+01 
       2.702417336779e-05       1.564208703509e+01 
       3.402141858545e-05       1.954073224813e+01 
       4.283042840251e-05       2.441095164722e+01 
       5.392031471395e-05       3.049474510011e+01 
       6.788165440533e-05       3.809426817667e+01 
       8.545793972549e-05       4.758666657136e+01 
       1.075851719600e-04       5.944245288682e+01 
       1.354417069127e-04       7.424815868321e+01 
       1.705110066492e-04       9.273403530572e+01 
       2.146606392612e-04       1.158074977598e+02 
       2.702417336779e-04       1.445926699010e+02 
       3.402141858545e-04       1.804755584566e+02 
       4.283042840251e-04       2.251526981555e+02 
       5.392031471395e-04       2.806781668320e+02 
       6.788165440533e-04       3.494995874339e+02 
       8.545793972549e-04       4.344691498807e+02 
       1.075851719600e-03       5.388130716920e+02 
       1.354417069127e-03       6.660398897299e+02 
       1.705110066492e-03       8.197336452824e+02 
       2.146606392612e-03       1.003134485378e+03 
       2.702417336779e-03       1.218421096171e+03 
       3.402141858545e-03       1.465732268198e+03 
       4.283042840251e-03       1.741777879713e+03 
       5.392031471395e-03       2.038161928071e+03 
       6.788165440533e-03       2.339693711248e+03 
       8.545793972549e-03       2.623729942160e+03 
       1.075851719600e-02       2.860425363139e+03 
       1.354417069127e-02       3.013603064383e+03 
       1.705110066490e-02       3.042086252888e+03 
       2.146606383957e-02       2.909231932841e+03 
       2.702409500768e-02       2.606397593693e+03 
       3.400892740189e-02       2.179948440388e+03 
       4.235904818299e-02       1.759636913536e+03 
       4.967285857483e-02       1.513555209754e+03 
       5.493543143437e-02       1.395226529041e+03 
       5.923070820087e-02       1.322439904354e+03 
       6.304497505464e-02       1.267634228771e+03 
       6.659125959601e-02       1.219701354804e+03 
       6.998074884525e-02       1.173211932921e+03 
       7.327944875572e-02       1.125355926564e+03 
       7.653039258850e-02       1.074846604051e+03 
       7.976372946862e-02       1.021434531817e+03 
       8.300184326377e-02       9.656296586258e+02 
       8.626217771460e-02       9.084905990137e+02 
       8.955890143229e-02       8.514297530505e+02 
       9.290394203727e-02       7.960196950645e+02 
       9.630765649069e-02       7.438042447898e+02 
       9.977928115041e-02       6.961243656538e+02 
       1.033272428460e-01       6.539733263611e+02 
       1.069593790980e-01       6.178904112600e+02 
       1.106830970727e-01       5.878987686400e+02 
       1.145054900812e-01       5.634872886171e+02 
       1.184334239409e-01       5.436365183118e+02 
       1.224736014930e-01       5.268940580912e+02 
       1.266326110123e-01       5.115136231602e+02 
       1.309169625951e-01       4.956733409121e+02 
       1.353331155148e-01       4.777712359911e+02 
       1.398874988205e-01       4.567547920977e+02 
       1.445865269684e-01       4.323925869986e+02 
       1.494366119563e-01       4.053763979598e+02 
       1.544441732228e-01       3.771825057632e+02 
       1.596156464335e-01       3.497109384426e+02 
       1.649574921914e-01       3.248069752563e+02 
       1.660026560425e-01       3.204453716958e+02 
       1.704762056512e-01       3.038006917898e+02 
       1.761783279865e-01       2.871761562437e+02 
       1.820704606345e-01       2.744404215715e+02 
       1.881592832284e-01       2.642333287145e+02 
       1.944515761216e-01       2.546939821798e+02 
       2.009542483973e-01       2.441109405295e+02 
       2.076743722651e-01       2.313667508450e+02 
       2.146192247541e-01       2.164615918231e+02 
       2.217963376473e-01       2.006323435422e+02 
       2.292135566586e-01       1.856723528493e+02 
       2.368791109539e-01       1.729920853344e+02 
       2.448016942633e-01       1.629940936057e+02 
       2.529905590580e-01       1.550697755235e+02 
       2.614556255715e-01       1.479730348747e+02 
       2.702076078752e-01       1.404013242764e+02 
       2.792581597959e-01       1.317478106752e+02 
       2.886200442336e-01       1.224705031632e+02 
       2.983073304582e-01       1.136284457832e+02 
       3.083356253141e-01       1.060951316446e+02 
       3.187223460492e-01       9.996692460443e+01 
       3.294870448627e-01       9.450199919677e+01 
       3.406517984594e-01       8.887200886247e+01 
       3.522416802197e-01       8.287549218262e+01 
       3.642853385219e-01       7.695822631143e+01 
       3.768157129826e-01       7.169983071050e+01 
       3.898709319760e-01       6.714119891189e+01 
       4.034954513843e-01       6.286506477861e+01 
       4.177415186840e-01       5.851565822185e+01 
       4.326710822782e-01       5.424667842660e+01 
       4.483583201404e-01       5.034076291622e+01 
       4.648930455697e-01       4.677194824689e+01 
       4.823853804824e-01       4.331602644030e+01 
       5.009723024570e-01       3.994176374114e+01 
       5.208270335043e-01       3.676477834094e+01 
       5.421728656868e-01       3.377948075780e+01 
       5.653041478821e-01       3.087076123220e+01 
       5.906192800318e-01       2.807700766513e+01 
       6.186747482301e-01       2.539433749807e+01 
       6.502779656607e-01       2.276918738872e+01 
       6.866560667854e-01       2.020288383154e+01 
       7.297838754521e-01       1.765161894514e+01 
       7.830715245897e-01       1.508359821572e+01 
       8.529236709602e-01       1.244527432546e+01 
       9.524300606613e-01       9.683578631458e+00 
       1.108594236829e+00       6.826399993835e+00 
