# Matter power spectrum P(k) at redshift z=0.0625
# for k=9.47274e-06 to 1.19503 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.472736321112e-06       5.492670423024e+01 
       1.192546847387e-05       6.861718389512e+01 
       1.501327530931e-05       8.571994018663e+01 
       1.890059380115e-05       1.070853906890e+02 
       2.379443783427e-05       1.337758245000e+02 
       2.995542244892e-05       1.671181169941e+02 
       3.771164254197e-05       2.087694912855e+02 
       4.747614511659e-05       2.607994884408e+02 
       5.976892554130e-05       3.257920080436e+02 
       7.524461919957e-05       4.069720739760e+02 
       9.472736321112e-05       5.083628060261e+02 
       1.192546847387e-04       6.349788054925e+02 
       1.501327530931e-04       7.930625017275e+02 
       1.890059380115e-04       9.903694193695e+02 
       2.379443783427e-04       1.236505920282e+03 
       2.995542244892e-04       1.543317541783e+03 
       3.771164254197e-04       1.925316589946e+03 
       4.747614511659e-04       2.400124633424e+03 
       5.976892554130e-04       2.988891187954e+03 
       7.524461919957e-04       3.716627991295e+03 
       9.472736321112e-04       4.612325048662e+03 
       1.192546847387e-03       5.708312894937e+03 
       1.501327530931e-03       7.039326109459e+03 
       1.890059380115e-03       8.639484457822e+03 
       2.379443783427e-03       1.053763989943e+04 
       2.995542244892e-03       1.275031200717e+04 
       3.771164254197e-03       1.527113872463e+04 
       4.747614511659e-03       1.805631765210e+04 
       5.976892554130e-03       2.100596884744e+04 
       7.524461919957e-03       2.394067331605e+04 
       9.472736321112e-03       2.657541998136e+04 
       1.192546847387e-02       2.849951706715e+04 
       1.501327530922e-02       2.919026497576e+04 
       1.890059339304e-02       2.812485272789e+04 
       2.379419735095e-02       2.507949914417e+04 
       2.992840153746e-02       2.060423965458e+04 
       3.696897927169e-02       1.644302411089e+04 
       4.260545736900e-02       1.429108208374e+04 
       4.675734117865e-02       1.326879920213e+04 
       5.022959819583e-02       1.265911856472e+04 
       5.335301061049e-02       1.221730800767e+04 
       5.627883324428e-02       1.183591131397e+04 
       5.908869532078e-02       1.145818402082e+04 
       6.183222933240e-02       1.105234643564e+04 
       6.454238189631e-02       1.060223348347e+04 
       6.724256767828e-02       1.010321149580e+04 
       6.995037709303e-02       9.559832564125e+03 
       7.267965645083e-02       8.983902366870e+03 
       7.544174995395e-02       8.392450666414e+03 
       7.824627927279e-02       7.805474776661e+03 
       8.110165325395e-02       7.243546834499e+03 
       8.401541258703e-02       6.725501021257e+03 
       8.699446944441e-02       6.266450829448e+03 
       9.004527794885e-02       5.876322786829e+03 
       9.317395769137e-02       5.558965836620e+03 
       9.638638452495e-02       5.311767090374e+03 
       9.968825801051e-02       5.125668358066e+03 
       1.030851518680e-01       4.985588664574e+03 
       1.065825518548e-01       4.871473257343e+03 
       1.101858842399e-01       4.760346208764e+03 
       1.139005372130e-01       4.629617112045e+03 
       1.177318770214e-01       4.461371207693e+03 
       1.216852602576e-01       4.246640559895e+03 
       1.257660434803e-01       3.988166342199e+03 
       1.299795911911e-01       3.700353110615e+03 
       1.341921631777e-01       3.415093790976e+03 
       1.343312830848e-01       3.405986850492e+03 
       1.388265214260e-01       3.130470642914e+03 
       1.434707393654e-01       2.895292881630e+03 
       1.482694109802e-01       2.712691978099e+03 
       1.532280638102e-01       2.582829234637e+03 
       1.583522946474e-01       2.493929210564e+03 
       1.636477893309e-01       2.426107753287e+03 
       1.691203472969e-01       2.351964012075e+03 
       1.747759116343e-01       2.250521469916e+03 
       1.806206054139e-01       2.115070065441e+03 
       1.866607750859e-01       1.955697459507e+03 
       1.929030418007e-01       1.793440782654e+03 
       1.993543615935e-01       1.650578038513e+03 
       2.060220955154e-01       1.541353791094e+03 
       2.129140909892e-01       1.465685437470e+03 
       2.200387759523e-01       1.409448805856e+03 
       2.274052677281e-01       1.352338129531e+03 
       2.350234990883e-01       1.278917815713e+03 
       2.429043646504e-01       1.187808497347e+03 
       2.510598916677e-01       1.092583556080e+03 
       2.595034404679e-01       1.010285896021e+03 
       2.682499413913e-01       9.484466721404e+02 
       2.773161772017e-01       9.013375660040e+02 
       2.867211228005e-01       8.551374542575e+02 
       2.964863579465e-01       8.004195809915e+02 
       3.066365740196e-01       7.399087226169e+02 
       3.172002032862e-01       6.840976848213e+02 
       3.282102096232e-01       6.394417671833e+02 
       3.397050947363e-01       6.016441675289e+02 
       3.517301959425e-01       5.625493556570e+02 
       3.643393844041e-01       5.203311707423e+02 
       3.775973225744e-01       4.803960787470e+02 
       3.915825171381e-01       4.463530365592e+02 
       4.063915272457e-01       4.148573967928e+02 
       4.221448901286e-01       3.821103871664e+02 
       4.389956677928e-01       3.505423923978e+02 
       4.571421156239e-01       3.223035074481e+02 
       4.768470589353e-01       2.945318049872e+02 
       4.984686246078e-01       2.671607375610e+02 
       5.225110910441e-01       2.414814916687e+02 
       5.497133213866e-01       2.159767070465e+02 
       5.812118571043e-01       1.911197468029e+02 
       6.188631229583e-01       1.662555567721e+02 
       6.659314315436e-01       1.411710181494e+02 
       7.286736921977e-01       1.152517610004e+02 
       8.200617052063e-01       8.806299594137e+01 
       9.659964722755e-01       6.034265785090e+01 
       1.195033271365e+00       3.662723342175e+01 
