# Matter power spectrum P(k) at redshift z=2
# for k=9.80003e-06 to 1.00608 h/Mpc,
# number of wavenumbers equal to 113
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.800031389649e-06       7.808822365596e+00 
       1.233750855281e-05       9.755173255956e+00 
       1.553200303536e-05       1.218664344861e+01 
       1.955363331728e-05       1.522413782172e+01 
       2.461656587603e-05       1.901868525763e+01 
       3.099042033243e-05       2.375893558866e+01 
       3.901462767868e-05       2.968051389664e+01 
       4.911650621638e-05       3.707768409499e+01 
       6.183401781435e-05       4.631787562673e+01 
       7.784441633982e-05       5.785974401247e+01 
       9.800031389649e-05       7.227556170806e+01 
       1.233750855281e-04       9.027885335248e+01 
       1.553200303536e-04       1.127582609589e+02 
       1.955363331728e-04       1.408185721140e+02 
       2.461656587603e-04       1.758295215400e+02 
       3.099042033243e-04       2.194821330034e+02 
       3.901462767868e-04       2.738506357339e+02 
       4.911650621638e-04       3.414549890023e+02 
       6.183401781435e-04       4.253148030783e+02 
       7.784441633982e-04       5.289811283136e+02 
       9.800031389649e-04       6.565301332561e+02 
       1.233750855281e-03       8.124970807835e+02 
       1.553200303536e-03       1.001547354314e+03 
       1.955363331728e-03       1.228426206062e+03 
       2.461656587603e-03       1.496830529446e+03 
       3.099042033243e-03       1.808430931618e+03 
       3.901462767868e-03       2.161309880214e+03 
       4.911650621638e-03       2.547863996563e+03 
       6.183401781435e-03       2.952253063247e+03 
       7.784441633982e-03       3.347557466228e+03 
       9.800031389649e-03       3.693068587985e+03 
       1.233750855281e-02       3.932999883542e+03 
       1.553200303534e-02       3.999779334213e+03 
       1.955363317997e-02       3.829465931211e+03 
       2.461645792066e-02       3.397190911901e+03 
       3.097507960824e-02       2.774591425214e+03 
       3.849189971901e-02       2.174126683861e+03 
       4.487784304905e-02       1.845280430751e+03 
       4.950069544955e-02       1.692705643907e+03 
       5.330508344958e-02       1.602438549817e+03 
       5.669817401678e-02       1.537144245519e+03 
       5.986080998030e-02       1.481540762706e+03 
       6.288843148004e-02       1.427952353352e+03 
       6.583814631935e-02       1.372165632816e+03 
       6.874740796455e-02       1.312020041731e+03 
       7.164257962344e-02       1.246855972282e+03 
       7.454331010195e-02       1.177183897224e+03 
       7.746496192391e-02       1.104393912254e+03 
       8.042004847573e-02       1.030476620340e+03 
       8.341912971130e-02       9.577438813065e+02 
       8.647139439590e-02       8.885498102480e+02 
       8.958505193594e-02       8.250281879358e+02 
       9.276760373220e-02       7.688707527453e+02 
       9.602603558277e-02       7.211590203258e+02 
       9.936695673559e-02       6.822544727239e+02 
       1.027967019001e-01       6.517504349186e+02 
       1.063214069216e-01       6.284825050048e+02 
       1.099470653383e-01       6.105949816548e+02 
       1.136795708292e-01       5.956827610099e+02 
       1.175247491190e-01       5.810461806478e+02 
       1.214883819669e-01       5.640818511443e+02 
       1.255762252333e-01       5.427749387307e+02 
       1.297940226045e-01       5.161754227055e+02 
       1.341475162752e-01       4.846869201887e+02 
       1.386424557061e-01       4.500269010856e+02 
       1.395283940282e-01       4.431722360367e+02 
       1.432846054564e-01       4.148260226396e+02 
       1.480797530138e-01       3.819665384851e+02 
       1.530337174982e-01       3.538530128724e+02 
       1.581523600862e-01       3.318226263189e+02 
       1.634415969826e-01       3.158342274182e+02 
       1.689074157557e-01       3.044802259663e+02 
       1.745558958423e-01       2.954862207742e+02 
       1.803932340256e-01       2.858458331221e+02 
       1.864257756908e-01       2.732097703448e+02 
       1.926600526774e-01       2.568545674267e+02 
       1.991028285749e-01       2.379290029126e+02 
       2.057611523648e-01       2.187670290677e+02 
       2.126424214023e-01       2.017867810660e+02 
       2.197544548694e-01       1.885280550398e+02 
       2.271055790324e-01       1.790046220161e+02 
       2.347047259252e-01       1.716896886989e+02 
       2.425615474697e-01       1.643749106231e+02 
       2.506865475732e-01       1.554096110071e+02 
       2.590912354498e-01       1.446228564402e+02 
       2.677883043429e-01       1.334097377537e+02 
       2.767918410625e-01       1.235823588514e+02 
       2.861175733840e-01       1.159465127721e+02 
       2.957831645313e-01       1.099290845594e+02 
       3.058085668905e-01       1.041250583304e+02 
       3.162164510592e-01       9.752574354397e+01 
       3.270327317736e-01       9.037636740104e+01 
       3.382872198072e-01       8.370504736440e+01 
       3.500144395937e-01       7.819346257113e+01 
       3.622546675904e-01       7.344073298837e+01 
       3.750552686519e-01       6.865582663435e+01 
       3.884724407173e-01       6.361643909658e+01 
       4.025735281581e-01       5.881508577062e+01 
       4.174401416386e-01       5.460692267091e+01 
       4.331724453359e-01       5.072253957702e+01 
       4.498951729045e-01       4.678391676248e+01 
       4.677662705452e-01       4.296659943689e+01 
       4.869896512728e-01       3.949356594980e+01 
       5.078346022242e-01       3.612353982475e+01 
       5.306663814050e-01       3.281269551967e+01 
       5.559964909135e-01       2.967879633558e+01 
       5.845693884470e-01       2.659672492537e+01 
       6.175208568911e-01       2.358007264128e+01 
       6.566873556462e-01       2.057882406615e+01 
       7.052584375831e-01       1.755456612756e+01 
       7.692639210990e-01       1.443931767540e+01 
       8.610895021354e-01       1.117532576326e+01 
       1.006076916275e+00       7.810629456070e+00 
