# Matter power spectrum P(k) at redshift z=0.02
# for k=9.57229e-06 to 1.2103 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.572289362416e-06       4.583562149486e+01 
       1.205079832739e-05       5.726013478249e+01 
       1.517105624676e-05       7.153213111743e+01 
       1.909922823281e-05       8.936125490994e+01 
       2.404450376794e-05       1.116339367238e+02 
       3.027023680744e-05       1.394573655055e+02 
       3.810797033791e-05       1.742143309318e+02 
       4.797509225029e-05       2.176315577384e+02 
       6.039706276706e-05       2.718647215852e+02 
       7.603539711518e-05       3.396039653904e+02 
       9.572289362416e-05       4.242043625447e+02 
       1.205079832739e-04       5.298462587877e+02 
       1.517105624676e-04       6.617304768289e+02 
       1.909922823281e-04       8.263124447931e+02 
       2.404450376794e-04       1.031576519848e+03 
       3.027023680744e-04       1.287345894408e+03 
       3.810797033791e-04       1.605613410793e+03 
       4.797509225029e-04       2.000864542352e+03 
       6.039706276706e-04       2.490346955860e+03 
       7.603539711518e-04       3.094212707704e+03 
       9.572289362416e-04       3.835371721002e+03 
       1.205079832739e-03       4.738643460391e+03 
       1.517105624676e-03       5.828990594178e+03 
       1.909922823281e-03       7.128545384680e+03 
       2.404450376794e-03       8.651013571449e+03 
       3.027023680744e-03       1.039445219379e+04 
       3.810797033791e-03       1.233119735573e+04 
       4.797509225029e-03       1.439524117888e+04 
       6.039706276706e-03       1.646974501334e+04 
       7.603539711518e-03       1.838006222341e+04 
       9.572289362417e-03       1.988720650879e+04 
       1.205079832739e-02       2.069022418661e+04 
       1.517105624676e-02       2.049031287584e+04 
       1.909922819523e-02       1.910035255063e+04 
       2.404446298645e-02       1.652866688744e+04 
       3.026270127808e-02       1.315676697925e+04 
       3.778452241080e-02       9.965546220124e+03 
       4.463729960301e-02       8.183604347094e+03 
       4.954489852273e-02       7.433728530460e+03 
       5.350684505799e-02       7.035713426402e+03 
       5.700484128878e-02       6.770602628130e+03 
       6.024634429789e-02       6.553206198323e+03 
       6.333808786414e-02       6.341800278888e+03 
       6.634278835849e-02       6.114018913593e+03 
       6.930102294179e-02       5.858711859565e+03 
       7.224104939427e-02       5.572574190191e+03 
       7.518374388599e-02       5.258326381359e+03 
       7.814530728514e-02       4.923322749110e+03 
       8.113885139556e-02       4.578175446191e+03 
       8.417537982284e-02       4.235283542879e+03 
       8.726442147159e-02       3.907317232790e+03 
       9.041445459866e-02       3.605789738497e+03 
       9.363319919028e-02       3.339869600034e+03 
       9.692782352505e-02       3.115542812214e+03 
       1.003050930292e-01       2.935148736051e+03 
       1.037714792369e-01       2.797226272233e+03 
       1.073332404906e-01       2.696574491775e+03 
       1.109964821941e-01       2.624494793503e+03 
       1.147672020111e-01       2.569322854518e+03 
       1.186513238355e-01       2.517490733185e+03 
       1.226547233297e-01       2.455336679038e+03 
       1.267832471491e-01       2.371599042856e+03 
       1.310427275128e-01       2.260057599372e+03 
       1.354389934805e-01       2.121400046769e+03 
       1.386193512614e-01       2.011488808814e+03 
       1.399778800964e-01       1.963428251999e+03 
       1.446652364308e-01       1.799259173988e+03 
       1.495069334663e-01       1.643962054751e+03 
       1.545088727259e-01       1.510686690984e+03 
       1.596769965048e-01       1.407459867367e+03 
       1.650173005509e-01       1.335412010533e+03 
       1.705358500203e-01       1.288593966414e+03 
       1.762387995318e-01       1.255900637595e+03 
       1.821324181321e-01       1.222339548594e+03 
       1.882231199913e-01       1.174394247301e+03 
       1.945175016539e-01       1.106296311079e+03 
       2.010223866998e-01       1.022289308648e+03 
       2.077448787213e-01       9.339599569527e+02 
       2.146924236044e-01       8.544398926196e+02 
       2.218728822362e-01       7.929666233929e+02 
       2.292946149538e-01       7.512063147677e+02 
       2.369665793232e-01       7.224921165706e+02 
       2.448984432161e-01       6.953926883816e+02 
       2.531007156628e-01       6.601202735378e+02 
       2.615848986422e-01       6.141119679665e+02 
       2.703636638744e-01       5.635876936362e+02 
       2.794510598753e-01       5.184910258170e+02 
       2.888627561194e-01       4.844793425485e+02 
       2.986163332561e-01       4.597221531515e+02 
       3.087316311537e-01       4.370933231666e+02 
       3.192311703594e-01       4.102350673761e+02 
       3.301406677946e-01       3.792772165300e+02 
       3.414896747576e-01       3.495297749906e+02 
       3.533123755076e-01       3.255391405655e+02 
       3.656485992839e-01       3.060951597167e+02 
       3.785451198027e-01       2.867453703330e+02 
       3.920573476235e-01       2.654561015412e+02 
       4.062515681159e-01       2.446338607088e+02 
       4.212079507762e-01       2.267604862427e+02 
       4.370246710433e-01       2.108697001783e+02 
       4.538236730246e-01       1.945269267591e+02 
       4.717589145520e-01       1.782603023714e+02 
       4.910284768601e-01       1.637547436112e+02 
       5.118928913697e-01       1.498883702781e+02 
       5.347038516703e-01       1.360198874686e+02 
       5.599510440072e-01       1.230247190620e+02 
       5.883422241015e-01       1.103148795788e+02 
       6.209479825408e-01       9.785451613025e+01 
       6.594811691058e-01       8.554297058283e+01 
       7.068784206800e-01       7.318893521247e+01 
       7.686098404414e-01       6.053209442260e+01 
       8.557796327307e-01       4.733370946343e+01 
       9.914727451582e-01       3.365961918404e+01 
       1.210297678226e+00       2.106088742547e+01 
