# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0.888889
# for k=9.94319e-06 to 1.02179 h/Mpc,
# number of wavenumbers equal to 113
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_scf                  7:delta_phi_scf       8:delta_phi_over_phi_scf    9:delta_phi_prime_scf    10:d_tot                 11:phi                   12:psi                
       9.943191315163e-06      -8.544641269632e-04      -6.410493013420e-04      -6.410493219690e-04      -8.544560307493e-04      -1.408623092022e-03      -8.475842906087e-08       5.632878440614e-05      -6.993263538699e-10      -6.411687969637e-04       5.641292842001e-01       5.638041844139e-01 
       1.251773622099e-05      -1.353984722011e-03      -1.015993904114e-03      -1.015993955924e-03      -1.353964388079e-03      -2.232096423846e-03      -1.343724128854e-07       8.930122821912e-05      -1.108218415738e-09      -1.016183167888e-03       5.641287135315e-01       5.638037008636e-01 
       1.575889622674e-05      -2.145294202684e-03      -1.610239889081e-03      -1.610240019213e-03      -2.145243137453e-03      -3.536585252387e-03      -2.130662116519e-07       1.415994739152e-04      -1.756063105459e-09      -1.610539540505e-03       5.641278091552e-01       5.638029345241e-01 
       1.983927492167e-05      -3.398487874238e-03      -2.552053382920e-03      -2.552053709760e-03      -3.398359649136e-03      -5.602469242844e-03      -3.379377604830e-07       2.245863543891e-04      -2.782302860846e-09      -2.552527516400e-03       5.641263759954e-01       5.638017200453e-01 
       2.497616735046e-05      -5.382288068584e-03      -4.044719837974e-03      -4.044720658813e-03      -5.381966160604e-03      -8.872696854173e-03      -5.362261446242e-07       3.563641248737e-04      -4.407476378674e-09      -4.045469325762e-03       5.641241050435e-01       5.637997954480e-01 
       3.144313176672e-05      -8.520433097679e-03      -6.410418307602e-03      -6.410420368869e-03      -8.519625213187e-03      -1.404563290175e-02      -8.514382476957e-07       5.658458307482e-04      -6.979895792551e-09      -6.411601239205e-03       5.641205069639e-01       5.637967457217e-01 
       3.958455760752e-05      -1.347909745403e-02      -1.015975141462e-02      -1.015975658995e-02      -1.347707097064e-02      -2.221899804403e-02      -1.353388844503e-06       8.994270418128e-04      -1.104859363859e-08      -1.016161387882e-02       5.641148070785e-01       5.637919134589e-01 
       4.983400548673e-05      -2.130057776652e-02      -1.610192771083e-02      -1.610194070138e-02      -2.129549872095e-02      -3.510996438996e-02      -2.154862970393e-06       1.432057549061e-03      -1.747627703160e-08      -1.610484855579e-02       5.641057807433e-01       5.637842585544e-01 
       6.273729587874e-05      -3.360307969263e-02      -2.551935074179e-02      -2.551938333562e-02      -3.359036637716e-02      -5.538317953337e-02      -3.439917247522e-06       2.286045429864e-03      -2.761141024819e-08      -2.552390249409e-02       5.640914929935e-01       5.637721352131e-01 
       7.898157604899e-05      -5.286750577475e-02      -4.044422842702e-02      -4.044431015213e-02      -5.283574846014e-02      -8.712053420150e-02      -5.513396458705e-06       3.663953766398e-03      -4.354434236094e-08      -4.045124903976e-02       5.640688933929e-01       5.637529430564e-01 
