# Matter power spectrum P(k) at redshift z=1.21739
# for k=1.23828e-05 to 1.0136 h/Mpc,
# number of wavenumbers equal to 111
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.238275884515e-05       6.137486486085e+00 
       1.558896977828e-05       7.667256481441e+00 
       1.962535019757e-05       9.578314827275e+00 
       2.470685207908e-05       1.196568889829e+01 
       3.110408392779e-05       1.494808255917e+01 
       3.915772166727e-05       1.867376850623e+01 
       4.929665087489e-05       2.332794038351e+01 
       6.206080650275e-05       2.914188000966e+01 
       7.812992638275e-05       3.640437464216e+01 
       9.835974974485e-05       4.547591182523e+01 
       1.238275884515e-04       5.680627751675e+01 
       1.558896977828e-04       7.095627609192e+01 
       1.962535019757e-04       8.862434742025e+01 
       2.470685207908e-04       1.106788168118e+02 
       3.110408392779e-04       1.381962660839e+02 
       3.915772166727e-04       1.725058692070e+02 
       4.929665087489e-04       2.152382243368e+02 
       6.206080650275e-04       2.683749720855e+02 
       7.812992638275e-04       3.342923391218e+02 
       9.835974974485e-04       4.157882639390e+02 
       1.238275884515e-03       5.160785549091e+02 
       1.558896977828e-03       6.387341485217e+02 
       1.962535019757e-03       7.874920782096e+02 
       2.470685207908e-03       9.658298132378e+02 
       3.110408392779e-03       1.176362893306e+03 
       3.915772166727e-03       1.419754597383e+03 
       4.929665087489e-03       1.693367463161e+03 
       6.206080650275e-03       1.989404912087e+03 
       7.812992638275e-03       2.292669587605e+03 
       9.835974974485e-03       2.579053326894e+03 
       1.238275884515e-02       2.816649717926e+03 
       1.558896977828e-02       2.969698549674e+03 
       1.962535019757e-02       3.004084319269e+03 
       2.470685206287e-02       2.891045179899e+03 
       3.110406077777e-02       2.620745009415e+03 
       3.915236826440e-02       2.232171438589e+03 
       4.901839631587e-02       1.825340683583e+03 
       5.854105910333e-02       1.551088784347e+03 
       6.536466089661e-02       1.415718391881e+03 
       7.077875672971e-02       1.332467570582e+03 
       7.551504952432e-02       1.269872090197e+03 
       7.988128054271e-02       1.216185746446e+03 
       8.403230730287e-02       1.165996923637e+03 
       8.805769917966e-02       1.116591416554e+03 
       9.201473324374e-02       1.066691860740e+03 
       9.594293352287e-02       1.015915689797e+03 
       9.987128154908e-02       9.644857085293e+02 
       1.038221266463e-01       9.130352659526e+02 
       1.078134587790e-01       8.624497737980e+02 
       1.118603045658e-01       8.137236405904e+02 
       1.159756239543e-01       7.678281361385e+02 
       1.201709077200e-01       7.255925415690e+02 
       1.244565878876e-01       6.876046697849e+02 
       1.288423267991e-01       6.541358219233e+02 
       1.333372249089e-01       6.250969015791e+02 
       1.379499725955e-01       6.000291307747e+02 
       1.426889624420e-01       5.781335106295e+02 
       1.475623729923e-01       5.583429784054e+02 
       1.525782315513e-01       5.394409685039e+02 
       1.577444613774e-01       5.202257408822e+02 
       1.630689171618e-01       4.997077006613e+02 
       1.685594117244e-01       4.773066228129e+02 
       1.742237362174e-01       4.529950141000e+02 
       1.772107035265e-01       4.398924834141e+02 
       1.800696756966e-01       4.273292570190e+02 
       1.861050216421e-01       4.013353079892e+02 
       1.923375828247e-01       3.762651601279e+02 
       1.987751957948e-01       3.532877956909e+02 
       2.054257361997e-01       3.331974120082e+02 
       2.122971320866e-01       3.162106615196e+02 
       2.193973803198e-01       3.019025557594e+02 
       2.267345672228e-01       2.893114025861e+02 
       2.343168945416e-01       2.772143341777e+02 
       2.421527118183e-01       2.645293477186e+02 
       2.502505562660e-01       2.506740255387e+02 
       2.586192012455e-01       2.357737566726e+02 
       2.672677144787e-01       2.206423863072e+02 
       2.762055271950e-01       2.063679890485e+02 
       2.854425155145e-01       1.937585942020e+02 
       2.949890955354e-01       1.829729671384e+02 
       3.048563338423e-01       1.735763653036e+02 
       3.150560754979e-01       1.648286626841e+02 
       3.256010920682e-01       1.559978845909e+02 
       3.365052528833e-01       1.467492574301e+02 
       3.477837236153e-01       1.373706068049e+02 
       3.594531974143e-01       1.284734898196e+02 
       3.715321653806e-01       1.205075552737e+02 
       3.840412351861e-01       1.134905272357e+02 
       3.970035093571e-01       1.069954489794e+02 
       4.104450383513e-01       1.005726514575e+02 
       4.243953684490e-01       9.414439834875e+01 
       4.388882111620e-01       8.792898403685e+01 
       4.539622701144e-01       8.221214121632e+01 
       4.696622743371e-01       7.699929399425e+01 
       4.860402854371e-01       7.206404820520e+01 
       5.031573729479e-01       6.723519183127e+01 
       5.210857917929e-01       6.258720877940e+01 
       5.399118554422e-01       5.823704223709e+01 
       5.597397900826e-01       5.415524501366e+01 
       5.806969995906e-01       5.024407864726e+01 
       6.029414046395e-01       4.648308608523e+01 
       6.266719079784e-01       4.289937184231e+01 
       6.521437063469e-01       3.949220127990e+01 
       6.796913620019e-01       3.620379054916e+01 
       7.097647647510e-01       3.303598787957e+01 
       7.429874401316e-01       2.997724816130e+01 
       7.802555580380e-01       2.699418534468e+01 
       8.229154542216e-01       2.406949769159e+01 
       8.731029882068e-01       2.116575933633e+01 
       9.344421629279e-01       1.824298385438e+01 
       1.013602149943e+00       1.524282447218e+01 
