# Matter power spectrum P(k) at redshift z=1.83333
# for k=1.04836e-05 to 1.07573 h/Mpc,
# number of wavenumbers equal to 113
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.048357465619e-05       1.059310402566e+01 
       1.319803854111e-05       1.323343902096e+01 
       1.661534610525e-05       1.653186696357e+01 
       2.091748143765e-05       2.065240362159e+01 
       2.633354893259e-05       2.579993118892e+01 
       3.315197393396e-05       3.223036981499e+01 
       4.173586243661e-05       4.026337017881e+01 
       5.254233780459e-05       5.029814179685e+01 
       6.614688425727e-05       6.283317080437e+01 
       8.327399350248e-05       7.849074320730e+01 
       1.048357465619e-04       9.804736479071e+01 
       1.319803854111e-04       1.224713394828e+02 
       1.661534610525e-04       1.529688854877e+02 
       2.091748143765e-04       1.910401369919e+02 
       2.633354893259e-04       2.385460161732e+02 
       3.315197393396e-04       2.977859521988e+02 
       4.173586243661e-04       3.715843098746e+02 
       5.254233780459e-04       4.633796913759e+02 
       6.614688425727e-04       5.773060017172e+02 
       8.327399350248e-04       7.182487148346e+02 
       1.048357465619e-03       8.918561537876e+02 
       1.319803854111e-03       1.104476749904e+03 
       1.661534610525e-03       1.362864052063e+03 
       2.091748143765e-03       1.673628679984e+03 
       2.633354893259e-03       2.042679267193e+03 
       3.315197393396e-03       2.473239693128e+03 
       4.173586243661e-03       2.963934837913e+03 
       5.254233780459e-03       3.505855957082e+03 
       6.614688425727e-03       4.078909294104e+03 
       8.327399350248e-03       4.647742744619e+03 
       1.048357465619e-02       5.157539302598e+03 
       1.319803854111e-02       5.530864813895e+03 
       1.661534610522e-02       5.671575684921e+03 
       2.091748127942e-02       5.488945303248e+03 
       2.633342686851e-02       4.948941801628e+03 
       3.313489439277e-02       4.143640967108e+03 
       4.116190453801e-02       3.347660762276e+03 
       4.795362022937e-02       2.891410524514e+03 
       5.287491013128e-02       2.666589420823e+03 
       5.692931953256e-02       2.525963875523e+03 
       6.054748687158e-02       2.419678596420e+03 
       6.392104008649e-02       2.326994963094e+03 
       6.715126129775e-02       2.237542289261e+03 
       7.029881822410e-02       2.145839126885e+03 
       7.340353077453e-02       2.049289373071e+03 
       7.649344557215e-02       1.947281026009e+03 
       7.958947698087e-02       1.840667353471e+03 
       8.270798423434e-02       1.731372903085e+03 
       8.586229765256e-02       1.622028285613e+03 
       8.906367030353e-02       1.515605145514e+03 
       9.232189685720e-02       1.415057192797e+03 
       9.564573018370e-02       1.322988495343e+03 
       9.904316993466e-02       1.241375532079e+03 
       1.025216672052e-01       1.171362503554e+03 
       1.060882724713e-01       1.113138903634e+03 
       1.097497441341e-01       1.065895860242e+03 
       1.135126290471e-01       1.027857924099e+03 
       1.173833227044e-01       9.963998197422e+02 
       1.213681144139e-01       9.682769915777e+02 
       1.254732212525e-01       9.400058514582e+02 
       1.297048135948e-01       9.083984661493e+02 
       1.340690343417e-01       8.711807999904e+02 
       1.385720135293e-01       8.275341740034e+02 
       1.432198797035e-01       7.783589515182e+02 
       1.473622163277e-01       7.332258578844e+02 
       1.480187692523e-01       7.261175620810e+02 
       1.529748347599e-01       6.742554634985e+02 
       1.580942533686e-01       6.263481345181e+02 
       1.633832360821e-01       5.852081257231e+02 
       1.688480389138e-01       5.521848503197e+02 
       1.744949767631e-01       5.268230790245e+02 
       1.803304408898e-01       5.069626210427e+02 
       1.863609208476e-01       4.894387043589e+02 
       1.925930317335e-01       4.706907451137e+02 
       1.990335476128e-01       4.480434954816e+02 
       2.056894419927e-01       4.210830018126e+02 
       2.125679362494e-01       3.916863733699e+02 
       2.196765569743e-01       3.629403646547e+02 
       2.270232032980e-01       3.376509268144e+02 
       2.346162254038e-01       3.172938733111e+02 
       2.424645156561e-01       3.014757401175e+02 
       2.505776140761e-01       2.880560813600e+02 
       2.589658303174e-01       2.743300278804e+02 
       2.676403848597e-01       2.586381590620e+02 
       2.766135728919e-01       2.412084704099e+02 
       2.858989553577e-01       2.238907157853e+02 
       2.955115829543e-01       2.087459581703e+02 
       3.054682606252e-01       1.963922177344e+02 
       3.157878624191e-01       1.858207213676e+02 
       3.264917097125e-01       1.753840260022e+02 
       3.376040300355e-01       1.641384928490e+02 
       3.491525195586e-01       1.526429621826e+02 
       3.611690403901e-01       1.420765352985e+02 
       3.736904952424e-01       1.329885448332e+02 
       3.867599383859e-01       1.247295551589e+02 
       4.004280056412e-01       1.164619603539e+02 
       4.147547815693e-01       1.081320255042e+02 
       4.298122756516e-01       1.003165598138e+02 
       4.456877623484e-01       9.323963384942e+01 
       4.624883718182e-01       8.654882938899e+01 
       4.803475331944e-01       7.991880825641e+01 
       4.994342338958e-01       7.357615289098e+01 
       5.199666871787e-01       6.767297591726e+01 
       5.422331359926e-01       6.193252554393e+01 
       5.666246640349e-01       5.636033454779e+01 
       5.936891314591e-01       5.102155257178e+01 
       6.242242525779e-01       4.578008878098e+01 
       6.594476985236e-01       4.064073082371e+01 
       7.013296085086e-01       3.551528439424e+01 
       7.532944126857e-01       3.033733547005e+01 
       8.218217440905e-01       2.499246625140e+01 
       9.202299705602e-01       1.937539068171e+01 
       1.075734397938e+00       1.356754958859e+01 
