# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=1.125
# for k=1.00008e-05 to 1.04153 h/Mpc,
# number of wavenumbers equal to 113
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_scf                  7:delta_phi_scf       8:delta_phi_over_phi_scf    9:delta_phi_prime_scf    10:d_tot                 11:phi                   12:psi                
       1.000076852127e-05      -7.717745622218e-04      -5.789937964623e-04      -5.789938123401e-04      -7.717679004358e-04      -6.554861524659e-04      -2.373584014707e-06      -1.704941877602e-03      -2.931197770177e-10      -5.790946197645e-04       5.741713591758e-01       5.738600000917e-01 
       1.259022162890e-05      -1.222978134971e-03      -9.176426919387e-04      -9.176427318203e-04      -1.222961403362e-03      -1.038473024197e-03      -3.761393429518e-06      -2.701779512889e-03      -4.643829842876e-10      -9.178023906637e-04       5.741708391384e-01       5.738595548645e-01 
       1.585014994874e-05      -1.937782134330e-03      -1.454364061660e-03      -1.454364161831e-03      -1.937740114551e-03      -1.644857304277e-03      -5.960200113746e-06      -4.281105035777e-03      -7.355436918758e-10      -1.454616927396e-03       5.741700149934e-01       5.738588492573e-01 
       1.995415655122e-05      -3.069903124664e-03      -2.305007697181e-03      -2.305007948771e-03      -3.069797608085e-03      -2.604383400387e-03      -9.443248067064e-06      -6.782765070364e-03      -1.164618938573e-09      -2.305407860508e-03       5.741687089521e-01       5.738577310145e-01 
       2.512079475325e-05      -4.862268576479e-03      -3.653180952282e-03      -3.653181584134e-03      -4.862003659485e-03      -4.121293681765e-03      -1.495892324329e-05      -1.074410861510e-02      -1.842936622509e-09      -3.653813657441e-03       5.741666393692e-01       5.738559588932e-01 
       3.162520687933e-05      -7.698144864331e-03      -5.789876366838e-03      -5.789877953532e-03      -7.697479934863e-03      -6.515810206922e-03      -2.368916994257e-05      -1.701357637290e-02      -2.913680566481e-09      -5.790875344822e-03       5.741633601875e-01       5.738531507073e-01 
       3.981377659364e-05      -1.218058902305e-02      -9.176272207966e-03      -9.176276191782e-03      -1.217892083189e-02      -1.028673829624e-02      -3.749686492558e-05      -2.692788301432e-02      -4.599873675057e-09      -9.177845969051e-03       5.741581649630e-01       5.738487008334e-01 
       5.012257509323e-05      -1.925442503565e-02      -1.454325208339e-02      -1.454326208321e-02      -1.925024282102e-02      -1.620291628129e-02      -5.930824813777e-05      -4.258546132438e-02      -7.245243035526e-09      -1.454572248487e-02       5.741499371094e-01       5.738416514551e-01 
       6.310058348942e-05      -3.038974616689e-02      -2.304910135218e-02      -2.304912644244e-02      -3.037927306395e-02      -2.542825128809e-02      -9.369580137446e-05      -6.726193995747e-02      -1.137005874064e-08      -2.305295699160e-02       5.741369109147e-01       5.738304859322e-01 
       7.943892805387e-05      -4.784846570686e-02      -3.652936017946e-02      -3.652942309147e-02      -4.782228596392e-02      -3.967257495492e-02      -1.477428612569e-04      -1.060233831078e-01      -1.773841115567e-08      -3.653532185395e-02       5.741163008724e-01       5.738128071339e-01 
       1.000076852127e-04      -7.504727049287e-02      -5.789261633709e-02      -5.789277392076e-02      -7.498201455288e-02      -6.131291968740e-02      -2.322704838004e-04      -1.665881359045e-01      -2.741199210170e-08      -5.790169365330e-02       5.740837239187e-01       5.737848316613e-01 
       1.259022162890e-04      -1.169892365121e-01      -9.174730107947e-02      -9.174769515131e-02      -1.168273110877e-01      -9.330445589715e-02      -3.634269599473e-04      -2.604212769651e-01      -4.170917332182e-08      -9.176076771180e-02       5.740323118152e-01       5.737406024526e-01 
