#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:a                      2:tau [Mpc]              3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_phi_scf      19:delta_phi_over_phi_scf   20:delta_phi_prime_scf    21:delta_scf             22:theta_scf          
       1.408051402544e-06       7.010534736974e-01      -1.231954375109e+00       2.152101229746e-03       3.887622440338e-09       9.719056100845e-09       9.876096547333e-16       1.943811220169e-09      -9.239657813316e-01       2.152101229746e-03       6.148382506755e-01       6.922631469035e-01      -1.231954375109e+00       2.151629784266e-03       2.013925445162e-04      -9.239657813316e-01       2.153056670225e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       1.188101819925e-10       2.153056670225e-03 
       2.112605279501e-06       1.051053473705e+00      -1.234812626117e+00       3.224486805222e-03       1.308363667388e-08       3.270909168471e-08       7.482201926264e-15       6.541818336942e-09      -9.261094695879e-01       3.224486805342e-03       6.146388370157e-01       6.918622493043e-01      -1.234812179603e+00       3.222897783946e-03       4.521706064896e-04      -9.261101477693e-01       3.227703299387e-03       3.389010752961e-13       6.780431478511e-13       2.473834975276e-12       6.008074706018e-10       3.226689452857e-03 
       3.170093352810e-06       1.575398012548e+00      -1.240106359033e+00       4.824552884600e-03       4.376187881022e-08       1.094046970255e-07       5.635134543281e-14       2.188093940511e-08      -9.300797692751e-01       4.824552885785e-03       6.143196975330e-01       6.912423527497e-01      -1.240103659477e+00       4.819202882041e-03       1.014147888089e-03      -9.300838648269e-01       4.835366311360e-03       5.043045238526e-12       1.008967672835e-11       1.980069983477e-11       3.036301571781e-09       4.830892850026e-03 
       4.757797337753e-06       2.360447001811e+00      -1.251064248144e+00       7.200935901183e-03       1.475271387208e-07       3.688178468021e-07       4.279056539117e-13       7.376356936041e-08      -9.382981861113e-01       7.200935910752e-03       6.136700689645e-01       6.900768915307e-01      -1.251050203918e+00       7.182955828565e-03       2.268957391328e-03      -9.383194599057e-01       7.237212272575e-03       5.877205510054e-11       1.175859088877e-10       1.498114667398e-10       1.532369236599e-08       7.221747843448e-03 
       7.142641916409e-06       3.534741157411e+00      -1.274413207793e+00       1.069487607134e-02       4.959902393268e-07       1.239975598317e-06       3.242314314995e-12       2.479951196634e-07      -9.558099058874e-01       1.069487614492e-02       6.122698055300e-01       6.877449003874e-01      -1.274342259404e+00       1.063467319558e-02       5.050946142453e-03      -9.559171968034e-01       1.081615169185e-02       6.635125064811e-10       1.327497143517e-09       1.125278188301e-09       7.716331007638e-08       1.076433584882e-02 
       1.072723215367e-05       5.288881089517e+00      -1.324509539898e+00       1.571982149587e-02       1.636781090208e-06       4.091952725520e-06       2.413404874370e-11       8.183905451041e-07      -9.933821554120e-01       1.571982205151e-02       6.092220736001e-01       6.829565316749e-01      -1.324155264456e+00       1.551978857635e-02       1.112885401781e-02      -9.939174707868e-01       1.612289668667e-02       7.414866875508e-09       1.483502340715e-08       8.390098666760e-09       3.870176184606e-07       1.595090148233e-02 
       1.612035069118e-05       7.903916535689e+00      -1.431278522195e+00       2.259194917586e-02       5.336940990000e-06       1.334235247500e-05       1.777074353859e-10       2.668470495000e-06      -1.073458897103e+00       2.259195331657e-02       6.026145201307e-01       6.730245363558e-01      -1.429533960729e+00       2.193798302356e-02       2.399482799484e-02      -1.076102066966e+00       2.391815183426e-02       8.182143800819e-08       1.637019940717e-07       6.176178160424e-08       1.927075219753e-06       2.335376752529e-02 
       2.424580193765e-05       1.179089496620e+01      -1.652978256420e+00       3.087479060895e-02       1.632367163841e-05       4.080917909603e-05       1.229575451359e-09       8.161835819207e-06      -1.239733752085e+00       3.087482085913e-02       5.884831284799e-01       6.525234487353e-01      -1.644610421036e+00       2.880970723878e-02       4.935775711171e-02      -1.252574974548e+00       3.516009394966e-02       8.835935933657e-07       1.767865925105e-06       4.441719539281e-07       9.472163650396e-06       3.334505424709e-02 
       3.489049064810e-05       1.679089496620e+01      -2.023116198784e+00       3.698573515500e-02       4.059288050569e-05       1.014822012642e-04       6.331815495929e-09       2.029644025284e-05      -1.517337637364e+00       3.698590695037e-02       5.634571367571e-01       6.173331954641e-01      -1.990830338575e+00       3.158923424292e-02       8.596172955890e-02      -1.568513682717e+00       4.881727413803e-02       7.103454228839e-06       1.421364675109e-05       2.478113717661e-06       3.837165277762e-05       4.384302317632e-02 
       4.575361748984e-05       2.179089496620e+01      -2.445665909880e+00       3.689739874187e-02       6.987913223037e-05       1.746978305759e-04       1.874401421156e-08       3.493956611518e-05      -1.834251686608e+00       3.689800090472e-02       5.318569523357e-01       5.741802734435e-01      -2.361986792861e+00       2.668259388347e-02       1.160926131379e-01      -1.973880830730e+00       6.133837331712e-02       3.235707052272e-05       6.475924174477e-05       8.567836682386e-06       1.071815267741e-04       5.115459234259e-02 
       5.683864924212e-05       2.679089496620e+01      -2.868033333134e+00       3.009492844179e-02       8.852535144249e-05       2.213133786062e-04       3.664539303594e-08       4.426267572124e-05      -2.151032420317e+00       3.009650878527e-02       4.950353035401e-01       5.253515446764e-01      -2.698204012077e+00       1.447570014674e-02       1.283091791066e-01      -2.455612222472e+00       7.252327710538e-02       1.055176209696e-04       2.112774357486e-04       2.232927505979e-05       2.428693729829e-04       5.503181731106e-02 
       6.815126926180e-05       3.179089496620e+01      -3.236470146106e+00       1.679066617891e-02       7.156628763111e-05       1.789157190778e-04       4.259127236998e-08       3.578314381556e-05      -2.427372080343e+00       1.679407136691e-02       4.544303168143e-01       4.731705929911e-01      -2.946475278639e+00      -3.350283744986e-03       1.140465223946e-01      -2.999673028765e+00       8.222835455262e-02       2.759397197716e-04       5.529586821214e-04       4.828460689748e-05       4.850327465333e-04       5.558288058945e-02 
       7.970004678693e-05       3.679089496620e+01      -3.501394443669e+00      -2.111751895834e-03      -9.280849764913e-06      -2.320212441228e-05      -7.553863326927e-09      -4.640424882456e-06      -2.626089156443e+00      -2.105415797552e-03       4.115088388339e-01       4.198589850500e-01      -3.068854297221e+00      -2.415284784305e-02       6.961780405645e-02      -3.591761135189e+00       9.036796068415e-02       6.172538423615e-04       1.238572836701e-03       9.159498850387e-05       8.975456574532e-04       5.323716469305e-02 
       9.149717628003e-05       4.179089496620e+01      -3.622174091914e+00      -2.511643159729e-02      -1.813015629883e-04      -4.532539074709e-04      -1.944827824755e-07      -9.065078149417e-05      -2.716715452337e+00      -2.510594205530e-02       3.677097456436e-01       3.674181396747e-01      -3.047741220185e+00      -4.482663590558e-02      -2.787989704254e-03      -4.217950438794e+00       9.691364667255e-02       1.230526275723e-03       2.474323213477e-03       1.581321601242e-04       1.590878868503e-03       4.867139906677e-02 
       1.035592906636e-04       4.679089496620e+01      -3.570957577770e+00      -5.028576138338e-02      -4.801765389998e-04      -1.200441347500e-03      -6.598470979483e-07      -2.400882694999e-04      -2.678368233914e+00      -5.027003110598e-02       3.243891767865e-01       3.175394135699e-01      -2.887452418853e+00      -6.236806084991e-02      -9.531798185982e-02      -4.865239912456e+00       1.018911316087e-01       2.249340805991e-03       4.537263953542e-03       2.552302655298e-04       2.763154773411e-03       4.270428298063e-02 
       1.159083469345e-04       5.179089496620e+01      -3.335241941670e+00      -7.542686199302e-02      -9.153509353837e-04      -2.288377338459e-03      -1.575728767700e-06      -4.576754676919e-04      -2.501674679898e+00      -7.540528186975e-02       2.827699318637e-01       2.715467181773e-01      -2.611977701291e+00      -7.439769853340e-02      -1.958292651799e-01      -5.521984605342e+00       1.053751733778e-01       3.850993213730e-03       7.804497141479e-03       3.934280026014e-04       4.777185859302e-03       3.617398278748e-02 
       1.285725653092e-04       5.679089496620e+01      -2.918993975018e+00      -9.829598125082e-02      -1.435317967768e-03      -3.588294919420e-03      -3.040268269235e-06      -7.176589838839e-04      -2.189610916683e+00      -9.826881426224e-02       2.438974821910e-01       2.303725286681e-01      -2.259537181010e+00      -7.954387965282e-02      -2.901362931726e-01      -6.178196043139e+00       1.074825797284e-01       6.279464606790e-03       1.281371412208e-02       5.894832161518e-04       8.310943696087e-03       2.981944796113e-02 
       1.415873544827e-04       6.179089496620e+01      -2.342276618670e+00      -1.168021890959e-01      -2.083787344492e-03      -5.209468361231e-03      -5.353260219869e-06      -1.041893672246e-03      -1.757219842529e+00      -1.167709541348e-01       2.086051354472e-01       1.945649589557e-01      -1.875113917486e+00      -7.762137765408e-02      -3.646661978533e-01      -6.825710580520e+00       1.083637276841e-01       9.887139992441e-03       2.037920258776e-02       8.708758550462e-04       1.466275019920e-02       2.418911248130e-02 
       1.549960263863e-04       6.679089496620e+01      -1.639464731880e+00      -1.291926107553e-01      -2.783857871652e-03      -6.959644679129e-03      -8.588730334270e-06      -1.391928935826e-03      -1.230271275126e+00      -1.291603350157e-01       1.774910725891e-01       1.643210322436e-01      -1.502451915266e+00      -6.958159045922e-02      -4.089790660886e-01      -7.458234092444e+00       1.081931219011e-01       1.520239914952e-02       3.180271950031e-02       1.281491965084e-03       2.638621613816e-02       1.959582873729e-02 
       1.688497676821e-04       7.179089496620e+01      -8.562543266612e-01      -1.342026955920e-01      -3.531186861255e-03      -8.827967153137e-03      -1.327262929018e-05      -1.765593430627e-03      -6.430189311214e-01      -1.341735326728e-01       1.509125552493e-01       1.395396850866e-01      -1.177020042437e+00      -5.725614632653e-02      -4.176472832020e-01      -8.071279457832e+00       1.071598090332e-01       2.302344320799e-02       4.924284275294e-02       1.885410479228e-03       4.861553402581e-02       1.612401709342e-02 
       1.832054838321e-04       7.679089496620e+01      -4.577326013208e-02      -1.311593967217e-01      -4.240713830607e-03      -1.060178457652e-02      -1.943737915059e-05      -2.120356915304e-03      -3.528287769882e-02      -1.311402546328e-01       1.289802378799e-01       1.198881844902e-01      -9.211588478629e-01      -4.295529076682e-02      -3.911296476241e-01      -8.662017861295e+00       1.054586990275e-01       3.450116253911e-02       7.632333959215e-02       2.754461554655e-03       9.170682266165e-02       1.367793819283e-02 
       1.910619968990e-04       7.944931669456e+01       3.769676366483e-01      -1.262302208182e-01      -4.476688400653e-03      -1.119172100163e-02      -2.238344200326e-05      -2.238344200327e-03       2.817335703742e-01      -1.262202881343e-01       1.191797926362e-01       1.113644970885e-01      -8.165374034880e-01      -3.535978714660e-02      -3.645938384854e-01      -8.966494149668e+00       1.043490652786e-01       4.257659273664e-02       9.656584473853e-02       3.333062805893e-03       1.294401087824e-01       1.272517618776e-02 
       1.910619968990e-04       7.944931669456e+01       3.769676366483e-01      -1.262302208182e-01      -4.476688400653e-03      -1.119172100163e-02      -2.238344200326e-05      -2.238344200327e-03       2.817335703742e-01      -1.262202881343e-01       1.191792726703e-01       1.113644970885e-01      -8.165374034880e-01      -3.535978714660e-02      -3.645938384854e-01      -8.966494149668e+00       1.043490652786e-01       4.257659273664e-02       9.656584473853e-02       3.333062805893e-03       1.294401087824e-01       1.272517618776e-02 
       1.912113212650e-04       7.949931669456e+01       3.847860777419e-01      -1.261159399160e-01      -4.480614030616e-03      -1.119256422027e-02      -2.239119090565e-05      -2.238543051638e-03       2.875969122782e-01      -1.261062740773e-01       1.190070960826e-01       1.112162216319e-01      -8.147778451444e-01      -3.522004311609e-02      -3.640240762217e-01      -8.972155880282e+00       1.043270983471e-01       4.274353420193e-02       9.699569186269e-02       3.344599181527e-03       1.302852155462e-01       1.270921775317e-02 
