#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:a                      2:tau [Mpc]              3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_phi_scf      19:delta_phi_over_phi_scf   20:delta_phi_prime_scf    21:delta_scf             22:theta_scf          
       1.407367917440e-06       7.008835384439e-01      -1.231761313772e+00       2.151764996379e-03       2.975317198381e-09       7.438292995952e-09       5.785588033255e-16       1.487658599190e-09      -9.238209853294e-01       2.151764996379e-03       6.148450052054e-01       6.923113048558e-01      -1.231761313772e+00       2.151293634060e-03       2.013066391563e-04      -9.238209853294e-01       2.152719642863e-03       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       1.362626127419e-10       2.152719642863e-03 
       2.111494851426e-06       1.050883538450e+00      -1.234527133010e+00       3.224388951091e-03       1.000544463457e-08       2.501361158642e-08       4.379407795863e-15       5.002722317284e-09      -9.258953497572e-01       3.224388951212e-03       6.146482390624e-01       6.919334889891e-01      -1.234526686429e+00       3.222799385055e-03       4.520637497888e-04      -9.258960274617e-01       3.227603376973e-03       1.192259980399e-13       1.028812970605e-13       8.703654585565e-13       6.891763660271e-10       3.226589373156e-03 
       3.168236884198e-06       1.575333410826e+00      -1.239683756979e+00       4.825305996279e-03       3.349573453575e-08       8.373933633939e-08       3.300834407658e-14       1.674786726788e-08      -9.297628177348e-01       4.825305997462e-03       6.143332093886e-01       6.913480652848e-01      -1.239681055037e+00       4.819950014688e-03       1.014197027277e-03      -9.297669119520e-01       4.836115513897e-03       1.775328036102e-12       1.531948184641e-12       6.970681700920e-12       3.483748957350e-09       4.831638932907e-03 
       4.754586186468e-06       2.360775347202e+00      -1.250446979853e+00       7.204053982908e-03       1.129286949603e-07       2.823217374008e-07       2.506274862732e-13       5.646434748016e-08      -9.378352348935e-01       7.204053992468e-03       6.136889605919e-01       6.902325556445e-01      -1.250432906652e+00       7.186033032628e-03       2.270027346761e-03      -9.378565146351e-01       7.240332448754e-03       2.071220332300e-11       1.787276593873e-11       5.278892691730e-11       1.758829222388e-08       7.224843260029e-03 
       7.136875270124e-06       3.536180738830e+00      -1.273542124520e+00       1.070387576696e-02       3.797177681111e-07       9.492944202779e-07       1.898786229385e-12       1.898588840556e-07      -9.551565934333e-01       1.070387584046e-02       6.122936195359e-01       6.879696808275e-01      -1.273470902402e+00       1.064343245678e-02       5.056474549581e-03      -9.552640130009e-01       1.082523367824e-02       2.342153194745e-10       2.021067307108e-10       3.970594415487e-10       8.861398592725e-08       1.077326356335e-02 
       1.071647578435e-05       5.293139240755e+00      -1.323382605889e+00       1.574235859565e-02       1.253317392349e-06       3.133293480874e-06       1.413070990635e-11       6.266586961747e-07      -9.925369549052e-01       1.574235915049e-02       6.092426097257e-01       6.832668737963e-01      -1.323026015048e+00       1.554101689482e-02       1.115104341688e-02      -9.930736435189e-01       1.614607485397e-02       2.623724244714e-09       2.264038082775e-09       2.966447773644e-09       4.447814914402e-07       1.597321607013e-02 
       1.609957190843e-05       7.914921927771e+00      -1.430162463034e+00       2.264295933565e-02       4.087511696726e-06       1.021877924182e-05       1.040127563114e-10       2.043755848363e-06      -1.072621852737e+00       2.264296346853e-02       6.025955177646e-01       6.734075294447e-01      -1.428399610338e+00       2.198226171306e-02       2.407240042767e-02      -1.075277098395e+00       2.397302430213e-02       2.905342473465e-08       2.507051033860e-08       2.189927997235e-08       2.216749708527e-06       2.340411032571e-02 
       2.420444534868e-05       1.181746703798e+01      -1.653052313499e+00       3.097622618235e-02       1.250464333008e-05       3.126160832521e-05       7.192179527614e-10       6.252321665042e-06      -1.239789295000e+00       3.097625635215e-02       5.882969381943e-01       6.528492475591e-01      -1.644548627266e+00       2.887862739374e-02       4.959132227622e-02      -1.252726355939e+00       3.528203565003e-02       3.152633149392e-07       2.720450266558e-07       1.580793227344e-07       1.090250421000e-05       3.344446088931e-02 
       3.474959851574e-05       1.681746703798e+01      -2.024780045246e+00       3.711609966048e-02       3.097206689284e-05       7.743016723209e-05       3.671712867824e-09       1.548603344642e-05      -1.518585518472e+00       3.711626934301e-02       5.629749429503e-01       6.174522968263e-01      -1.991956468268e+00       3.162332185730e-02       8.624190022351e-02      -1.569974608103e+00       4.897158850402e-02       2.521395582035e-06       2.175776457328e-06       8.772636713259e-07       4.378250267023e-05       4.393262149695e-02 
       4.547586224773e-05       2.181746703798e+01      -2.450328905380e+00       3.707630134245e-02       5.316364370173e-05       1.329091092543e-04       1.079382975006e-08       2.658182185086e-05      -1.837748899167e+00       3.707689129414e-02       5.308872844946e-01       5.738043511973e-01      -2.365097602196e+00       2.664200119936e-02       1.163330639073e-01      -1.977678970300e+00       6.152412855351e-02       1.142767904488e-05       9.861565536866e-06       3.012837838339e-06       1.207682450116e-04       5.118727043070e-02 
