# Matter power spectrum P(k) at redshift z=24.5
# for k=1.15356e-05 to 1.00155 h/Mpc,
# number of wavenumbers equal to 112
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.153556448136e-05       8.119630960586e-02 
       1.452241526497e-05       1.014345849322e-01 
       1.828263761770e-05       1.267172340825e-01 
       2.301647709155e-05       1.583015239743e-01 
       2.897602790052e-05       1.977580460266e-01 
       3.647865785683e-05       2.470487626058e-01 
       4.592390936410e-05       3.086244567637e-01 
       5.781477650740e-05       3.855463738006e-01 
       7.278449132237e-05       4.816379886204e-01 
       9.163024571024e-05       6.016742173173e-01 
       1.153556448136e-04       7.516170312291e-01 
       1.452241526497e-04       9.389082985479e-01 
       1.828263761770e-04       1.172832648000e+00 
       2.301647709155e-04       1.464964922265e+00 
       2.897602790052e-04       1.829717614825e+00 
       3.647865785683e-04       2.285002062774e+00 
       4.592390936410e-04       2.853010016317e+00 
       5.781477650740e-04       3.561103628001e+00 
       7.278449132237e-04       4.442761079867e+00 
       9.163024571024e-04       5.538443656249e+00 
       1.153556448136e-03       6.896101148633e+00 
       1.452241526497e-03       8.570789030666e+00 
       1.828263761770e-03       1.062232234270e+01 
       2.301647709155e-03       1.311009383158e+01 
       2.897602790052e-03       1.608586812952e+01 
       3.647865785683e-03       1.958016217459e+01 
       4.592390936410e-03       2.359036097487e+01 
       5.781477650740e-03       2.806602362338e+01 
       7.278449132237e-03       3.288060762539e+01 
       9.163024571024e-03       3.779028388478e+01 
       1.153556448136e-02       4.239781069217e+01 
       1.452241526497e-02       4.612381200714e+01 
       1.828263761762e-02       4.822612893320e+01 
       2.301647669401e-02       4.793582395957e+01 
       2.897577975805e-02       4.481421738209e+01 
       3.644943651360e-02       3.932565422062e+01 
       4.508489157944e-02       3.351830074342e+01 
       5.207713006543e-02       3.004176596290e+01 
       5.720756869798e-02       2.813271425945e+01 
       6.148476923026e-02       2.682198881701e+01 
       6.532584341324e-02       2.576501196386e+01 
       6.892040183399e-02       2.481231459284e+01 
       7.237032076397e-02       2.388797013280e+01 
       7.573734637695e-02       2.295200378949e+01 
       7.906236775890e-02       2.198601025252e+01 
       8.237438836472e-02       2.098643594962e+01 
       8.569516253239e-02       1.996060967219e+01 
       8.904179101167e-02       1.892371980780e+01 
       9.242826797402e-02       1.789603924480e+01 
       9.586645066461e-02       1.690017810907e+01 
       9.936669264980e-02       1.595836304198e+01 
       1.029382716100e-01       1.508988022421e+01 
       1.065896865393e-01       1.430884307075e+01 
       1.103288690212e-01       1.362248212116e+01 
       1.141633362364e-01       1.303007947709e+01 
       1.181003033898e-01       1.252264862847e+01 
       1.221467672036e-01       1.208343712026e+01 
       1.263095683615e-01       1.168936663608e+01 
       1.305954383884e-01       1.131355565648e+01 
       1.350110348900e-01       1.092899390775e+01 
       1.395629680493e-01       1.051312125736e+01 
       1.442578205934e-01       1.005251374144e+01 
       1.491021629908e-01       9.546339291719e+00 
       1.541025653352e-01       9.007155593870e+00 
       1.592656071747e-01       8.458334420942e+00 
       1.634253963066e-01       8.040516709288e+00 
       1.645978864167e-01       7.928555746422e+00 
       1.701060283562e-01       7.444737369772e+00 
       1.757966958248e-01       7.025257201634e+00 
       1.816766014258e-01       6.675091943623e+00 
       1.877525228000e-01       6.384197387361e+00 
       1.940313218536e-01       6.129965991904e+00 
       2.005199688704e-01       5.883766909821e+00 
       2.072255724269e-01       5.621990386239e+00 
       2.141554160322e-01       5.329001047786e+00 
       2.213170024317e-01       5.009214557324e+00 
       2.287181065513e-01       4.683563553512e+00 
       2.363668381231e-01       4.378581751071e+00 
       2.442717151476e-01       4.112718772782e+00 
       2.524417495085e-01       3.889350315638e+00 
       2.608865463042e-01       3.697894486195e+00 
       2.696164187945e-01       3.518857529651e+00 
       2.786425213321e-01       3.333303023893e+00 
       2.879770032720e-01       3.134673528376e+00 
       2.976331876880e-01       2.931738519692e+00 
       3.076257798316e-01       2.740323381273e+00 
       3.179711117286e-01       2.572366707807e+00 
       3.286874312456e-01       2.426871136472e+00 
       3.397952465397e-01       2.291504353530e+00 
       3.513177402739e-01       2.155310152975e+00 
       3.632812726882e-01       2.016522807833e+00 
       3.757159990896e-01       1.882554931729e+00 
       3.886566363329e-01       1.761025319686e+00 
       4.021434255979e-01       1.651213620167e+00 
       4.162233570496e-01       1.546545002092e+00 
       4.309517486706e-01       1.442647293599e+00 
       4.463943112916e-01       1.342485053626e+00 
       4.626298922036e-01       1.249382285960e+00 
       4.797541834815e-01       1.162241290006e+00 
       4.978848303913e-01       1.078217155842e+00 
       5.171686194524e-01       9.967996764581e-01 
       5.377918376978e-01       9.196023645057e-01 
       5.599956139753e-01       8.461604696027e-01 
       5.840993586438e-01       7.747412692277e-01 
       6.105378939498e-01       7.059615006368e-01 
       6.399228035288e-01       6.392716765561e-01 
       6.731489451795e-01       5.738858684414e-01 
       7.115904967717e-01       5.094755148899e-01 
       7.574873663493e-01       4.450724537557e-01 
       8.147682194283e-01       3.796606569289e-01 
       8.909423349175e-01       3.118162042804e-01 
       1.001551168080e+00       2.402008791062e-01 
