# Matter power spectrum P(k) at redshift z=0.02
# for k=9.62926e-06 to 1.21482 h/Mpc,
# number of wavenumbers equal to 114
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.629258972225e-06       4.693873388570e+01 
       1.212251881688e-05       5.863821377057e+01 
       1.526134699352e-05       7.325372615347e+01 
       1.921289754836e-05       9.151201476610e+01 
       2.418760495782e-05       1.143208845025e+02 
       3.045039053184e-05       1.428142518995e+02 
       3.833477043959e-05       1.784083469002e+02 
       4.826061666170e-05       2.228717699638e+02 
       6.075651670427e-05       2.784127083642e+02 
       7.648792281111e-05       3.477872965730e+02 
       9.629258972225e-05       4.344338184326e+02 
       1.212251881688e-04       5.426380824111e+02 
       1.526134699352e-04       6.777356125156e+02 
       1.921289754836e-04       8.463558297647e+02 
       2.418760495782e-04       1.056711385456e+03 
       3.045039053184e-04       1.318931173700e+03 
       3.833477043959e-04       1.645427268335e+03 
       4.826061666170e-04       2.051273970066e+03 
       6.075651670427e-04       2.554561775266e+03 
       7.648792281111e-04       3.176662388738e+03 
       9.629258972225e-04       3.942264055350e+03 
       1.212251881688e-03       4.878576830712e+03 
       1.526134699352e-03       6.014582436474e+03 
       1.921289754836e-03       7.377633095445e+03 
       2.418760495782e-03       8.988931674397e+03 
       3.045039053184e-03       1.085661219605e+04 
       3.833477043959e-03       1.296597186208e+04 
       4.826061666170e-03       1.526663767439e+04 
       6.075651670427e-03       1.765798281657e+04 
       7.648792281111e-03       1.997590861476e+04 
       9.629258972225e-03       2.198268051320e+04 
       1.212251881688e-02       2.336356007171e+04 
       1.526134699344e-02       2.374733642774e+04 
       1.921289716235e-02       2.278557458678e+04 
       2.418737322651e-02       2.034814294725e+04 
       3.042395510678e-02       1.684437421656e+04 
       3.759783474971e-02       1.356099629534e+04 
       4.336193503963e-02       1.182652194392e+04 
       4.760237854650e-02       1.098902168255e+04 
       5.114512443693e-02       1.048401147004e+04 
       5.433023346704e-02       1.011739443337e+04 
       5.731290724265e-02       9.803615470468e+03 
       6.017678520805e-02       9.497112422516e+03 
       6.297266984669e-02       9.171872271706e+03 
       6.573425816735e-02       8.814022849777e+03 
       6.848548325535e-02       8.418654185409e+03 
       7.124431573196e-02       7.988067597949e+03 
       7.402489498826e-02       7.530388127897e+03 
       7.683880096586e-02       7.058109987679e+03 
       7.969585206252e-02       6.586442061933e+03 
       8.260462662832e-02       6.131494818856e+03 
       8.557281549394e-02       5.708460532008e+03 
       8.860746701355e-02       5.329980926262e+03 
       9.171516133933e-02       5.004866456297e+03 
       9.490213667682e-02       4.737242607885e+03 
       9.817438207907e-02       4.526097947743e+03 
       1.015377063726e-01       4.365168418622e+03 
       1.049977897127e-01       4.243161349864e+03 
       1.085602222901e-01       4.144484702012e+03 
       1.122305334274e-01       4.050778351699e+03 
       1.160142134565e-01       3.943471200358e+03 
       1.199167302065e-01       3.807204093224e+03 
       1.239435415577e-01       3.633388402899e+03 
       1.281001052667e-01       3.422748008920e+03 
       1.292323597829e-01       3.361420315258e+03 
       1.323918871054e-01       3.185744706702e+03 
       1.368243682515e-01       2.940367398264e+03 
       1.414030527998e-01       2.707667234591e+03 
       1.461334762207e-01       2.506310687165e+03 
       1.510212155697e-01       2.347836957031e+03 
       1.560719022299e-01       2.233888134836e+03 
       1.612912379623e-01       2.155782828632e+03 
       1.666850150304e-01       2.097653274729e+03 
       1.722591411603e-01       2.036548246595e+03 
       1.780196701039e-01       1.953513125708e+03 
       1.839728385851e-01       1.840960816552e+03 
       1.901251104410e-01       1.705989211118e+03 
       1.964832288249e-01       1.566299266103e+03 
       2.030542774325e-01       1.441757768540e+03 
       2.098457518480e-01       1.345825973047e+03 
       2.168656423150e-01       1.279659779779e+03 
       2.241225295161e-01       1.231767464553e+03 
       2.316256953385e-01       1.184272402592e+03 
       2.393852511259e-01       1.122660536698e+03 
       2.474122866130e-01       1.044456973204e+03 
       2.557190436667e-01       9.609895743320e+02 
       2.643191201732e-01       8.880622023471e+02 
       2.732277110351e-01       8.336783153925e+02 
       2.824618953939e-01       7.933962133608e+02 
       2.920409820980e-01       7.545147154692e+02 
       3.019869293699e-01       7.074887001589e+02 
       3.123248600426e-01       6.541880332424e+02 
       3.230837012711e-01       6.044988854351e+02 
       3.342969882825e-01       5.652552570523e+02 
       3.460038870353e-01       5.329003046680e+02 
       3.582505130203e-01       4.992158884462e+02 
       3.710916567347e-01       4.618684707694e+02 
       3.845930769544e-01       4.263480337383e+02 
       3.988346015563e-01       3.965616911716e+02 
       4.139144008814e-01       3.692178912494e+02 
       4.299550036764e-01       3.403286347097e+02 
       4.471119718149e-01       3.122503380291e+02 
       4.655867548616e-01       2.874749072868e+02 
       4.856463443218e-01       2.630251218609e+02 
       5.076544333352e-01       2.386824403616e+02 
       5.321229509156e-01       2.160371595112e+02 
       5.598016360586e-01       1.934013086394e+02 
       5.918431286648e-01       1.713650443196e+02 
       6.301288757913e-01       1.492587395588e+02 
       6.779644722943e-01       1.269493255114e+02 
       7.416802186091e-01       1.038519205063e+02 
       8.343928875808e-01       7.957489792265e+01 
       9.823436137175e-01       5.473229991512e+01 
       1.214819812543e+00       3.335122867369e+01 
